RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arizona3200,64.06,Arizona,3200,ARI,@SEA,,,4.8,13.9,0.9,1.69,1.5,0.5,11,3.11,0,0.61,0,0,1,0,0.73,4.2,0,21.5,29.5,1,8,51,50,0,0,0,0,0,0,0,0,0,0,0,0,1.4,7.37,0,0,0,0,0,0,0,0,0,44,0.74,0.11,4,-300,0,0,66,0.66,0.33,30,5.1,0.8,-2800,0,0,77,0.38,0.22,18,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5579,0.4989,0.0079,0.0475,8.17,10.56,5.06,3.33,0.213,arizona,arizona,a,arizona3200,41710-12546,D,a,Arizona Cardinals,cardinals,4.142857143,14,3200,ARI@SEA,ARI,SEA,,,,,,Cardinals,Cardinals,arizona,arizona3200
atlanta4400,79.68,Atlanta,4400,ATL,JAX,,,8.1,15.3,1.3,1.14,1.8,3,9,6.96,-1,0.81,0,0,4,0,0.73,1.8,0,27.8,20.3,1.3,-7.5,48,59,0,0,0,0,0,0,0,0,0,0,0,0,2.45,4.72,0,0,0,0,0,0,0,0,0,0,0,0,5.2,100,0,0,60,0.4,0.4,50,50,0.8,-1600,0,0,57,0.28,0.42,21,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.535,0.4917,0.0142,0.0433,7.7,10.44,5.67,3.77,0.2096,atlanta,atlanta,a,atlanta4400,41710-12525,D,a,Atlanta Falcons,falcons,5.357142857,14,4400,JAC@ATL,ATL,JAC,,,,,,Falcons,Falcons,atlanta,atlanta4400
baltimore4500,73.75,Baltimore,4500,BAL,@CLE,,,8.6,15.3,1.5,1.31,1.9,14.5,3,7.29,-2,0.23,0,0,4,0,1,-0.5,0,29,19.5,-0.3,-9.5,48.5,76,0,0,0,0,0,0,0,0,0,0,0,0,3.01,6.73,0,0,0,0,0,0,0,0,0,45,0.63,0.02,9.9,0,0,0,100,0.85,0,70,9.5,1.6,-1500,0,0,88,0.52,0.12,25,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4425,0.4772,0.0191,0.038,6.8,9.13,4.08,30,0.146,baltimore,baltimore,b,baltimore4500,41710-12555,D,b,Baltimore Ravens,ravens,9.714285714,14,4500,BAL@CLE,BAL,CLE,,,,,,Ravens,Ravens,baltimore,baltimore4500
carolina3500,68.3,Carolina,3500,CAR,@IND,,,6.6,14.7,0.6,2.53,1.9,3,-1,4.07,1,0.65,0,0,2,0,0.76,1.5,0,19.3,26.8,-0.5,7.5,46,47,0,0,0,0,0,0,0,0,0,0,0,0,2.81,9.74,0,0,0,0,0,0,0,0,0,0,0,0,2.3,400,0,0,75,0,0.25,40,7.4,20,-2500,0,0,95,0.45,0.05,20,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4963,0.5141,0.0157,0.051,7.43,9.63,4.33,2.46,0.2662,carolina,carolina,c,carolina3500,41710-12553,D,c,Carolina Panthers,panthers,7.142857143,14,3500,CAR@IND,CAR,IND,,,,,,Panthers,Panthers,carolina,carolina3500
cincinnati3800,68.23,Cincinnati,3800,CIN,@MIA,,,6.8,15.5,0.9,1.77,1.8,3,0,5.03,6,0.85,0,0,1,0,0.81,-0.4,0,23.8,22.3,1.3,-1.5,46,40,0,0,0,0,0,0,0,0,0,0,0,0,1.59,4.77,0,0,0,0,0,0,0,0,0,77,0.65,0.11,6.3,0,0,0,100,0.75,0,40,4.5,-0.1,-2200,0,0,81,0.4,0.18,22,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4871,0.5201,0.008,0.039,8.07,9.87,5.64,3.54,0.1689,cincinnati,cincinnati,c,cincinnati3800,41710-12528,D,c,Cincinnati Bengals,bengals,3.928571429,14,3800,CIN@MIA,CIN,MIA,,,,,,Bengals,Bengals,cincinnati,cincinnati3800
cleveland3000,32.58,Cleveland,3000,CLE,BAL,,,4.7,12.6,0.9,2.24,1.6,0.5,1,2.46,-7,0.32,0,0,1,0,0.73,-4.2,0,19.5,29,-0.3,9.5,48.5,24,0,0,0,0,0,0,0,0,0,0,0,0,2.62,8.45,0,0,0,0,0,0,0,0,0,45,0.63,0.02,5.3,-1500,0,0,75,0.5,0.25,40,7.8,0.5,-3000,0,0,91,0.43,0.08,23,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4809,0.4879,0.0137,0.0431,7.29,9.93,5.07,2.67,0.2081,cleveland,cleveland,c,cleveland3000,41710-12529,D,c,Cleveland Browns,browns,6.285714286,14,3000,BAL@CLE,CLE,BAL,,,,,,Browns,Browns,cleveland,cleveland3000
dallas3600,71.53,Dallas,3600,DAL,@PHI,,,6.8,15.1,0.8,2.41,1.9,3,2,4.39,-4,0.76,0,0,2,0,0.8,0.4,0,24.5,22.5,-0.5,-2,47,69,0,0,0,0,0,0,0,0,0,0,0,0,1.2,6.88,0,0,0,0,0,0,0,0,0,38,0.73,0.01,4.7,400,0,0,100,0.33,0,60,7.4,-0.5,-2400,0,0,73,0.4,0.26,30,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5129,0.4778,0.0072,0.0385,6.87,11.25,6.4,3.46,0.1722,dallas,dallas,d,dallas3600,41710-12530,D,d,Dallas Cowboys,cowboys,6.428571429,14,3600,DAL@PHI,DAL,PHI,,,,,,Cowboys,Cowboys,dallas,dallas3600
denver5000,86.61,Denver,5000,DEN,DET,,,8.8,15,2.1,-0.09,1.8,10.5,5,8.89,2,0.32,0,0,5,0,0.53,2.9,0,24.8,15.3,2.5,-9.5,40,66,0,0,0,0,0,0,0,0,0,0,0,0,2.32,6.96,0,0,0,0,0,0,0,0,0,58,0.14,0.01,8,1200,0,0,100,0.75,0,40,5.9,-0.4,-1000,0,0,61,0.42,0.38,21,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4836,0.4808,0.0126,0.0312,7.07,8.19,4.57,2.73,0.1374,denver,denver,d,denver5000,41710-12531,D,d,Denver Broncos,broncos,6.642857143,14,5000,DET@DEN,DEN,DET,,,,,,Broncos,Broncos,denver,denver5000
detroit4100,49.34,Detroit,4100,DET,@DEN,,,6.7,13.1,0.6,0.7,1.6,0.5,6,6,-3,0.39,0,0,2,0,0.61,-1.3,0,15.3,24.8,0,9.5,40,34,0,0,0,0,0,0,0,0,0,0,0,0,1.19,5.42,0,0,0,0,0,0,0,0,0,58,0.14,0.01,3.8,-900,0,0,100,0,0,50,5.7,0.2,-1900,0,0,82,0.39,0.17,23,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4966,0.4688,0.007,0.043,7.81,10.33,5.57,40,0.2065,detroit,detroit,d,detroit4100,41710-12532,D,d,Detroit Lions,lions,5.142857143,14,4100,DET@DEN,DET,DEN,,,,,,Lions,Lions,detroit,detroit4100
indianapolis4800,83.39,Indianapolis,4800,IND,CAR,,,8.8,14.5,2,0.55,1.8,6.5,30,8.25,-2,0.35,0,0,4,0,0.53,4.6,0,26.8,19.3,0.5,-7.5,46,53,0,0,0,0,0,0,0,0,0,0,0,0,2.59,6.11,0,0,0,0,0,0,0,0,0,0,0,0,3.4,500,0,0,40,0.4,0.6,50,6.4,0.3,-1200,0,0,88,0.56,0.12,25,D,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5056,0.4465,0.0153,0.0423,7.73,7.94,4.92,2.7,0.2047,indianapolis,indianapolis,i,indianapolis4800,41710-12535,D,i,Indianapolis Colts,colts,6.642857143,14,4800,CAR@IND,IND,CAR,,,,,,Colts,Colts,indianapolis,indianapolis4800
