,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
adams4900rbj,63.21,Josh Adams,4900,NYJ,SF,,,6.04,8.1,4,0.11,1.2,0.5,5.93,0,-14,0,0,0.41,0,0,0.92,-1.9,8,17.3,24.3,-1.5,7,41.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0.3,0.4,0.1,0.1,0.1,62,0.25,0.01,9.2,400,2.3,0.71,100,1,0,10,1.2,-0.5,400,0.29,0.14,10,0.1,0.8,10,RB,220,0.333,0.078,0.134,3,0,0,4,2,70,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,adams,josh adams,j,adams4900rbj,49877-64744:Josh Adams,49877-64744,RB,j,Josh Adams,adams,9.199999809,1,4900,SF@NYJ,NYJ,SF,,,,ryland,ryland,josh,adams4900rbj
adams8600wrd,86.18,Davante Adams,8600,GB,DET,,,16.93,23,10.9,3.39,2,35.5,13.54,5.1,0,10,0.98,0.84,9,0,0.92,3.4,57,29,22,3,-7,51,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.47,0.27,68,0.55,0,34.6,600,2.04,0.49,100,1,0,10,14,4.5,600,1.21,0.25,59,0.31,0.4,22,WR,220,0,0,0,0,11,7,91,27,11.8,0.6,8.1,0.208,0,0.321,0.412,0.373,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8600wrd,49877-45889:Davante Adams,49877-45889,WR,d,Davante Adams,adams,34.59999847,1,8600,DET@GB,GB,DET,,,,ryland,ryland,davante,adams8600wrd
aiyuk4900wrb,75.61,Brandon Aiyuk,4900,SF,@NYJ,,,6.91,10,3.8,1.81,1.4,0.5,5.1,3.1,-13,0.7,1,0.55,1,0,0.63,2.3,0,24.3,17.3,-0.5,-7,41.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.25,0.01,0,-300,0,0,0,0,0,10,0,0,-300,0,0,0,0,0,10,WR,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aiyuk,brandon aiyuk,b,aiyuk4900wrb,49877-85798:Brandon Aiyuk,49877-85798,WR,b,Brandon Aiyuk,aiyuk,,,4900,SF@NYJ,SF,NYJ,,,,ryland,ryland,brandon,aiyuk4900wrb
akers5600rbc,66.83,Cam Akers,5600,LA,@PHI,,,7.4,10.6,4.2,-0.28,1.3,0.5,7.68,1.3,-2,0,0,0.76,1,0,0.52,-0.8,24,22,24,0.5,2,46,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,2.8,0,0.429,1,1,0,63,0.33,0.01,4.8,-200,0.32,0.2,100,0,0,10,4.8,-3,-200,0.32,0.2,100,0,0,10,RB,220,0,0.255,0.333,14,1,1,4,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,akers,cam akers,c,akers5600rbc,49877-89230:Cam Akers,49877-89230,RB,c,Cam Akers,akers,4.800000191,1,5600,LAR@PHI,LAR,PHI,,,,ryland,ryland,cam,akers5600rbc
akins4600tej,65.71,Jordan Akins,4600,HOU,BAL,,,4.65,6.7,2.6,0.65,1,0.5,4,9,-8,0.5,1,0.51,3,0,0.64,0.4,42,21,28.5,-2.3,7.5,49.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,10.9,300,5.45,0.23,100,1,0,10,4.1,-0.3,300,1.17,0.1,68,0.21,0.31,19,TE,220,0,0,0,0,3,2,27,16,11.9,0.2,8.7,0.333,0,0.106,0.12,0.106,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4600tej,49877-57338:Jordan Akins,49877-57338,TE,j,Jordan Akins,akins,10.89999962,1,4600,BAL@HOU,HOU,BAL,,,,ryland,ryland,jordan,akins4600tej
alie-cox4000tem,86.96,Mo Alie-Cox,4000,IND,MIN,,,5.85,8.1,3.6,3.25,1.5,3,2.6,13.6,-13,1.2,1,0.37,2,0,0.68,-2.2,23,26.3,22.8,1.8,-3.5,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,3,0,1.5,0.1,100,0,0,10,10,-0.2,0,1.33,0.04,43,0,0.56,16,TE,220,0,0,0,0,0,0,7,6,12.2,0,5.2,0,0,0.023,0,0.033,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4000tem,49877-24533:Mo Alie-Cox,49877-24533,TE,m,Mo Alie-Cox,alie-cox,3,1,4000,MIN@IND,IND,MIN,,,,ryland,ryland,mo,alie-cox4000tem
allen6900wrk,65.63,Keenan Allen,6900,LAC,KC,,,10.5,14.4,6.6,0.84,1.5,3,9.66,13.1,2,1,1,0.88,2,0,0.48,-0.9,60,19.3,27.8,-2,8.5,47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.53,0.13,0,0,0,5.7,-100,0.71,0.08,0,0,1,10,11.4,0.5,-100,1.27,0.19,52,0.31,0.47,19,WR,220,0,0,0,0,8,6,67,22,11,0.3,80,0.222,0,0.246,0.238,0.24,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen6900wrk,49877-29253:Keenan Allen,49877-29253,WR,k,Keenan Allen,allen,5.699999809,1,6900,KC@LAC,LAC,KC,,,,ryland,ryland,keenan,allen6900wrk
allen8200qbj,81.79,Josh Allen,8200,BUF,@MIA,,,20.38,32.1,8.7,2.83,2.5,10.5,17.55,34.48,-2,6.1,1,0.6,2,0,0.6,6.8,63,24,18.5,0.7,-5.5,42.5,77,17,29,192,59,6.6,5.76,1.3,34,16.1,63.6,14.8,4.5,1.7,7.9,7,13,33,4.8,0.5,0.547,6.2,2.6,1.13,89,0.7,0.11,28.2,300,0.45,0.32,100,1,0,10,19.7,2.5,300,0.51,0.31,94,0.66,0.05,18,QB,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8200qbj,49877-62239:Josh Allen,49877-62239,QB,j,Josh Allen,allen,28.18000031,1,8200,BUF@MIA,BUF,MIA,,,,ryland,ryland,josh,allen8200qbj
amendola5200wrd,79.1,Danny Amendola,5200,DET,@GB,,,8.05,11.2,4.9,2.27,1.5,0.5,5.78,3.1,0,0.7,1,0.84,4,0,0.94,0.5,44,22,29,1.5,7,51,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.27,0.07,68,0.55,0,10.6,100,1.51,0.25,100,1,0,10,6.6,0.2,100,0.89,0.15,75,0.25,0.25,16,WR,220,0,0,0,0,6,4,46,19,10.9,0,6.7,0,0,0.182,0,0.184,0,0,0,0,0,0,0,0,0,0,amendola,danny amendola,d,amendola5200wrd,49877-8117:Danny Amendola,49877-8117,WR,d,Danny Amendola,amendola,10.60000038,1,5200,DET@GB,DET,GB,,,,ryland,ryland,danny,amendola5200wrd
anderson5900wrr,73.54,Robby Anderson,5900,CAR,@TB,,,9.03,12.8,5.2,1.65,1.5,3,7.38,13.4,-5,2,1,0.7,2,0,0.61,-2.9,57,19.8,27.3,-0.5,7.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.2,0.07,85,0.73,0.15,22.5,300,2.81,0.41,100,1,0,10,9.2,1.4,300,1.51,0.16,58,0.29,0.41,17,WR,220,0,0,0,0,6,3,52,27,15.5,0.4,7.5,0.4,0,0.2,0.316,0.237,0,0,0,0,0,0,0,0,0,0,anderson,robby anderson,r,anderson5900wrr,49877-26251:Robby Anderson,49877-26251,WR,r,Robby Anderson,anderson,22.39999962,1,5900,CAR@TB,CAR,TB,,,,ryland,ryland,robby,anderson5900wrr
andrews7500tem,67.63,Mark Andrews,7500,BAL,@HOU,,,11.25,15.2,7.3,0.47,1.5,14.5,10.78,3.4,-1,7.6,1,0.81,8,0,0.65,-0.1,31,28.5,21,-1.3,-7.5,49.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.53,0.2,0,0,0,20.3,100,3.38,0.48,100,1,0,10,9.9,1.2,100,1.6,0.32,72,0.33,0.27,18,TE,220,0,0,0,0,6,3,49,26,13,0.7,8.3,0.5,0,0.236,0.313,0.239,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7500tem,49877-52436:Mark Andrews,49877-52436,TE,m,Mark Andrews,andrews,20.29999924,1,7500,BAL@HOU,BAL,HOU,,,,ryland,ryland,mark,andrews7500tem
