RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3000,0,Arizona,3000,ARI,@BAL,,,5.2,13.8,0.5,2.74,1.7,0.5,2,2.46,0,0.57,0,0,1,0,0.82,0.6,0,16.5,29.5,2.2,13,46,49,0,0,0,0,0,0,0,0,0,0,0,0,1.34,8.83,0,0,0,0,0,0,0,0,0,83,0.45,0,7.5,-600,0,0,100,0.5,0,20,70,1.8,-3000,0,0,94,0.41,0.05,17,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5374,0.522,0.0069,0.0451,7.15,9.19,4.38,3.17,0.2177,arizona,arizona,a,arizona3000,38352-12546:Arizona Cardinals,38352-12546,D,a,Arizona Cardinals,cardinals,7,1,3000,ARI@BAL,ARI,BAL,,,,Cardinals,Cardinals,arizona,arizona3000
baltimore5000,0,Baltimore,5000,BAL,ARI,,,9.1,15.5,2.1,0.21,1.8,14.5,4,8.89,0,0.25,0,0,3,0,0.73,5.1,0,29.5,16.5,1.2,-13,46,51,0,0,0,0,0,0,0,0,0,0,0,0,1.87,6.93,0,0,0,0,0,0,0,0,0,83,0.45,0,8,0,0,0,66,0.33,0.33,30,9.1,1.7,-1000,0,0,86,0.43,0.13,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4513,0.443,0.0118,0.0353,6.51,7.57,3.77,2.44,0.2264,baltimore,baltimore,b,baltimore5000,38352-12555:Baltimore Ravens,38352-12555,D,b,Baltimore Ravens,ravens,13,1,5000,ARI@BAL,BAL,ARI,,,,Ravens,Ravens,baltimore,baltimore5000
buffalo4600,0,Buffalo,4600,BUF,@NYG,,,7.1,14.9,1.2,-0.51,1.5,6.5,6,7.61,0,0.43,0,0,1,0,0.73,-1.5,0,22.8,21.8,0.3,-1,44.5,55,0,0,0,0,0,0,0,0,0,0,0,0,3.23,6.87,0,0,0,0,0,0,0,0,0,82,0.42,0.01,11,600,0,0,100,0.5,0,40,7.9,2.6,-1400,0,0,95,0.5,0.05,20,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4909,0.466,0.0175,0.0369,6.08,7.63,4.19,3.21,0.2541,buffalo,buffalo,b,buffalo4600,38352-12526:Buffalo Bills,38352-12526,D,b,Buffalo Bills,bills,10,1,4600,BUF@NYG,BUF,NYG,,,,Bills,Bills,buffalo,buffalo4600
chicago4500,0,Chicago,4500,CHI,@DEN,,,8,15.5,1,0.71,1.8,10.5,5,7.29,0,0.39,0,0,4,0,0.83,3.1,0,22,19,2.2,-3,41,64,0,0,0,0,0,0,0,0,0,0,0,0,4.28,7.57,0,0,0,0,0,0,0,0,0,89,0.1,0.01,11,0,0,0,75,0.5,0.25,40,11.2,3.1,-1500,0,0,95,0.58,0.04,24,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4655,0.4169,0.0274,0.0315,6.11,7.67,4.42,2.7,0.1739,chicago,chicago,c,chicago4500,38352-12527:Chicago Bears,38352-12527,D,c,Chicago Bears,bears,9,1,4500,CHI@DEN,CHI,DEN,,,,Bears,Bears,chicago,chicago4500
cincinnati3900,0,Cincinnati,3900,CIN,SF,,,7,15.2,1,1.64,1.8,0.5,-2,5.36,0,0.92,0,0,2,0,0.69,0.5,0,23.5,22.5,1.7,-1,46,65,0,0,0,0,0,0,0,0,0,0,0,0,1.81,5.44,0,0,0,0,0,0,0,0,0,86,0.39,0,6,800,0,0,100,0.33,0,30,50,0.3,-2100,0,0,60,0.35,0.4,20,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5302,0.5246,0.0096,0.053,8.24,10.36,5.31,2.75,0.2552,cincinnati,cincinnati,c,cincinnati3900,38352-12528:Cincinnati Bengals,38352-12528,D,c,Cincinnati Bengals,bengals,6,1,3900,SF@CIN,CIN,SF,,,,Bengals,Bengals,cincinnati,cincinnati3900
dallas4700,0,Dallas,4700,DAL,@WAS,,,6.7,14.6,0.7,-1.23,1.4,6.5,1,7.93,0,0.39,0,0,2,0,0.61,3.8,0,26.3,20.3,1,-6,46.5,75,0,0,0,0,0,0,0,0,0,0,0,0,1.6,6.38,0,0,0,0,0,0,0,0,0,84,0.45,0,15.8,0,0,0,100,0.5,0,40,7.2,0,-1300,0,0,85,0.51,0.14,27,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5284,0.4545,0.0096,0.0358,7.33,9.47,5.57,2.77,0.1761,dallas,dallas,d,dallas4700,38352-12530:Dallas Cowboys,38352-12530,D,d,Dallas Cowboys,cowboys,6,1,4700,DAL@WAS,DAL,WAS,,,,Cowboys,Cowboys,dallas,dallas4700
denver4500,0,Denver,4500,DEN,CHI,,,7.5,13.4,1.8,0.21,1.7,6.5,1,7.29,0,0.18,0,0,1,0,0.25,1.4,0,19,22,-1.8,3,41,36,0,0,0,0,0,0,0,0,0,0,0,0,2.76,7,0,0,0,0,0,0,0,0,0,89,0.1,0.01,4.3,0,0,0,25,0.25,0.75,40,7.7,1.5,-1500,0,0,73,0.47,0.26,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5157,0.4807,0.0153,0.0386,7.74,8.31,4.25,2.36,0.203,denver,denver,d,denver4500,38352-12531:Denver Broncos,38352-12531,D,d,Denver Broncos,broncos,0,1,4500,CHI@DEN,DEN,CHI,,,,Broncos,Broncos,denver,denver4500
detroit4000,0,Detroit,4000,DET,LAC,,,6.9,14,1.2,1.22,1.7,0.5,9,5.68,0,0.65,0,0,1,0,0.8,2.2,0,23,24,1,1,47,36,0,0,0,0,0,0,0,0,0,0,0,0,1.13,7.75,0,0,0,0,0,0,0,0,0,0,0,0,8,-100,0,0,100,0.25,0,40,6.3,1.6,-2000,0,0,90,0.5,0.09,22,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5028,0.4564,0.0066,0.0424,7.57,8.53,3.87,2.62,0.2109,detroit,detroit,d,detroit4000,38352-12532:Detroit Lions,38352-12532,D,d,Detroit Lions,lions,7,1,4000,LAC@DET,DET,LAC,,,,Lions,Lions,detroit,detroit4000
green bay3900,0,Green Bay,3900,GB,MIN,,,8,15.7,1,2.64,2.1,0.5,10,5.36,0,0.96,0,0,4,0,0.82,3,0,23,20,-1.3,-3,43,48,0,0,0,0,0,0,0,0,0,0,0,0,1.3,7.45,0,0,0,0,0,0,0,0,0,72,0.81,0.04,9.7,200,0,0,66,0.66,0.33,30,6.7,0.7,-2100,0,0,78,0.56,0.21,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5177,0.47,0.0073,0.0463,7.69,8.63,4.36,30,0.2391,bay,green bay,g,green bay3900,38352-12533:Green Bay Packers,38352-12533,D,g,Green Bay Packers,packers,14,1,3900,MIN@GB,GB,MIN,,,,Bay,Bay,green bay,green bay3900
houston4800,0,Houston,4800,HOU,JAX,,,11.4,18.2,2.8,3.15,2.4,10.5,10,8.25,0,0.67,0,0,5,0,0.11,3.4,0,25.3,17.8,-1.2,-7.5,43,52,0,0,0,0,0,0,0,0,0,0,0,0,2.35,6.87,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1000,0,0,80,0,0.2,50,7.1,0.2,-1200,0,0,88,0.38,0.11,26,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5008,0.4,0.0145,0.0401,7.64,6.69,3.36,1.89,0.2523,houston,houston,h,houston4800,38352-12556:Houston Texans,38352-12556,D,h,Houston Texans,texans,2,1,4800,JAC@HOU,HOU,JAC,,,,Texans,Texans,houston,houston4800
indianapolis3600,0,Indianapolis,3600,IND,@TEN,,,6.6,14.7,1.2,2.21,1.8,0.5,5,4.39,0,0.86,0,0,1,0,0.76,-2.4,0,20.3,23.3,-0.2,3,43.5,38,0,0,0,0,0,0,0,0,0,0,0,0,2.55,6.57,0,0,0,0,0,0,0,0,0,91,0.5,0.01,8,0,0,0,100,0.33,0,30,7.6,20,-2400,0,0,86,0.56,0.13,23,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5401,0.4615,0.0146,0.0353,7.52,8.31,4.92,2.9,0.1729,indianapolis,indianapolis,i,indianapolis3600,38352-12535:Indianapolis Colts,38352-12535,D,i,Indianapolis Colts,colts,7,1,3600,IND@TEN,IND,TEN,,,,Colts,Colts,indianapolis,indianapolis3600
jacksonville3800,0,Jacksonville,3800,JAX,@HOU,,,7.1,13.1,0.7,2.07,1.9,3,8,5.03,0,0.25,0,0,2,0,0.61,1.4,0,17.8,25.3,-0.2,7.5,43,48,0,0,0,0,0,0,0,0,0,0,0,0,2.02,7.06,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-100,0,0,0,0,1,30,5.4,-0.6,-2200,0,0,61,0.28,0.38,21,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4839,0.4256,0.0108,0.0396,7.07,9.13,4.38,30,0.1781,jacksonville,jacksonville,j,jacksonville3800,38352-12554:Jacksonville Jaguars,38352-12554,D,j,Jacksonville Jaguars,jaguars,-4,1,3800,JAC@HOU,JAC,HOU,,,,Jaguars,Jaguars,jacksonville,jacksonville3800
