,week,playid,rating,RylandID_master,name,salary,team,opp,Unnamed: 6, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
0,1120,11505,58.6,sanders5600wre,Emmanuel Sanders,5600,NO,ATL,,,5.9,9.5,4,-0.8,1.1,3,8.6,6.7,-27,0.34,1,0.7,3,0,0.82,3.7,45,26.5,23,-2.3,-3.5,49.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.13,0,0,0,6.4,-500,2.13,0.23,25,0,0.25,40,7.8,-0.1,200,1.19,0.17,55,0.2,0.35,20,WR,0,0,0,0,5,3,50,21,12.8,0.3,9.6,0.25,0,0.186,0.167,0.197,0,0,0,0,0,0,0,0,0,0,sanders,emmanuel sanders,e,sanders5600wre,51732-11505:Emmanuel Sanders,51732-11505,WR,e,Emmanuel Sanders,sanders,9.742856707,7,5600,ATL@NO,NO,ATL,,,,ryland,ryland,emmanuel,sanders5600wre
1,1120,12525,22.2,atlanta3200,Atlanta,3200,ATL,@NO,,,4.6,12.9,-0.5,1.49,1.4,7,5,3.11,-10,0.15,0,0,1,0,0.8,-2.6,0,23,26.5,0.7,3.5,49.5,57,0,0,0,0,0,0,0,0,0,0,0,0,2.4,4.43,0,0,0,0,0,0,0,0,0,0,0,0,4.3,-300,0,0,100,0.5,0,40,4.4,-0.4,-400,0,0,66,0.44,0.33,18,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5092,0.4844,0.0146,0.0492,7.88,8.73,5.86,3.69,0.2443,atlanta,atlanta,a,atlanta3200,51732-12525:Atlanta Falcons,51732-12525,D,a,Atlanta Falcons,falcons,2.777777778,9,3200,ATL@NO,ATL,NO,,,,Falcons,Falcons,atlanta,atlanta3200
2,1120,12528,34.85,cincinnati3700,Cincinnati,3700,CIN,@WAS,,,6.2,13.7,-0.7,1.49,1.7,10.5,5,4.71,-5,0.4,0,0,1,0,0.34,2.6,0,23,25,0.2,2,48,56,0,0,0,0,0,0,0,0,0,0,0,0,2.81,5.44,0,0,0,0,0,0,0,0,0,57,0.75,0.04,-0.7,100,0,0,33,0,0.66,30,3.7,-0.7,100,0,0,73,0.4,0.26,15,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4634,0.4926,0.016,0.0446,7.27,10.14,4.93,2.54,0.2324,cincinnati,cincinnati,c,cincinnati3700,51732-12528:Cincinnati Bengals,51732-12528,D,c,Cincinnati Bengals,bengals,2,9,3700,CIN@WAS,CIN,WAS,,,,Bengals,Bengals,cincinnati,cincinnati3700
3,1120,12529,35.5,cleveland4600,Cleveland,4600,CLE,PHI,,,6.6,14.2,-0.2,-1.01,1.4,3,20,7.61,3,0.87,0,0,2,0,0.19,-0.4,0,24,21.5,-1,-2.5,45.5,57,0,0,0,0,0,0,0,0,0,0,0,0,2.49,5.74,0,0,0,0,0,0,0,0,0,42,0.87,0.8,5.3,-100,0,0,100,0.33,0,30,5.2,-1.4,1600,0,0,80,0.4,0.2,15,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5258,0.553,0.0137,0.0502,7.26,12.53,6.53,3.86,0.2128,cleveland,cleveland,c,cleveland4600,51732-12529:Cleveland Browns,51732-12529,D,c,Cleveland Browns,browns,6,9,4600,PHI@CLE,CLE,PHI,,,,Browns,Browns,cleveland,cleveland4600
4,1120,12530,23.84,dallas3000,Dallas,3000,DAL,@MIN,,,3.9,10.2,-0.6,1.44,1.3,1,5,2.46,-4,0.45,0,0,1,0,0.85,2.2,0,21.5,28.5,2.5,7,50,42,0,0,0,0,0,0,0,0,0,0,0,0,1.16,5.81,0,0,0,0,0,0,0,0,0,0,0,0,5.7,-700,0,0,100,0.33,0,30,3.5,-2.2,-800,0,0,76,0.29,0.23,17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4806,0.5135,0.0063,0.0479,7.01,9.4,4.2,2.45,0.234,dallas,dallas,d,dallas3000,51732-12530:Dallas Cowboys,51732-12530,D,d,Dallas Cowboys,cowboys,2.666666667,9,3000,DAL@MIN,DAL,MIN,,,,Cowboys,Cowboys,dallas,dallas3000
5,1120,12531,22.41,denver3900,Denver,3900,DEN,MIA,,,5.3,12.8,-0.8,-0.06,1.4,1,12,5.36,0,0.72,0,0,1,0,0.26,-4,0,21,25,0,4,46,37,0,0,0,0,0,0,0,0,0,0,0,0,2.08,7.17,0,0,0,0,0,0,0,0,0,47,0.2,0.01,2.3,0,0,0,75,0.5,0.25,40,5.6,-0.9,-600,0,0,93,0.37,0.06,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4774,0.4988,0.0115,0.0375,7.18,10.27,5.43,2.58,0.1494,denver,denver,d,denver3900,51732-12531:Denver Broncos,51732-12531,D,d,Denver Broncos,broncos,4.666666667,9,3900,MIA@DEN,DEN,MIA,,,,Broncos,Broncos,denver,denver3900
6,1120,12532,31.46,detroit3500,Detroit,3500,DET,@CAR,,,5.4,13.4,-0.8,1.33,1.5,1,6,4.07,7,0.95,0,0,1,0,0.85,-2.1,0,25,22,1.5,-3,47,59,0,0,0,0,0,0,0,0,0,0,0,0,1.64,3.82,0,0,0,0,0,0,0,0,0,62,0.66,0.04,3,100,0,0,75,0,0.25,40,3.2,-2.1,-200,0,0,81,0.12,0.18,16,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5345,0.5078,0.009,0.047,7.57,10.47,50,3.5,0.2229,detroit,detroit,d,detroit3500,51732-12532:Detroit Lions,51732-12532,D,d,Detroit Lions,lions,2.555555556,9,3500,DET@CAR,DET,CAR,,,,Lions,Lions,detroit,detroit3500
7,1120,12533,17.25,green bay4200,Green Bay,4200,GB,@IND,,,5.1,12.9,-0.3,-1.22,1.2,3,4,6.32,-5,0.4,0,0,1,0,0.34,0.6,0,25.3,26.8,1.3,1.5,52,61,0,0,0,0,0,0,0,0,0,0,0,0,2.44,6.72,0,0,0,0,0,0,0,0,0,0,0,0,4.5,200,0,0,60,0,0.2,50,5.1,-2,300,0,0,72,0.31,0.22,22,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4847,0.5246,0.0134,0.0457,7.14,8.6,4.57,2.5,0.2248,bay,green bay,g,green bay4200,51732-12533:Green Bay Packers,51732-12533,D,g,Green Bay Packers,packers,4.666666667,9,4200,GB@IND,GB,IND,,,,Bay,Bay,green bay,green bay4200
8,1120,12534,12.65,tennessee3800,Tennessee,3800,TEN,@BAL,,,3.8,9.7,-0.7,-1.23,1,1,3,5.03,-5,0.4,0,0,1,0,0.42,0.7,0,22.3,28.3,1.3,6,50.5,51,0,0,0,0,0,0,0,0,0,0,0,0,2.54,4.57,0,0,0,0,0,0,0,0,0,54,0.79,0.05,3.8,-400,0,0,40,0.2,0.6,50,6.7,-0.1,-200,0,0,71,0.42,0.28,21,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5364,0.5363,0.0152,0.0485,7.12,11.33,5.87,3.87,0.2235,tennessee,tennessee,t,tennessee3800,51732-12534:Tennessee Titans,51732-12534,D,t,Tennessee Titans,titans,4.444444444,9,3800,TEN@BAL,TEN,BAL,,,,Titans,Titans,tennessee,tennessee3800
9,1120,12535,16.61,indianapolis4000,Indianapolis,4000,IND,GB,,,3.8,12.4,-0.8,-1.88,1,1,6,5.68,-2,0.57,0,0,1,0,0.8,0.6,0,26.8,25.3,1.8,-1.5,52,39,0,0,0,0,0,0,0,0,0,0,0,0,3.82,7.64,0,0,0,0,0,0,0,0,0,0,0,0,10.5,-800,0,0,100,1,0,40,9.4,1.9,300,0,0,82,0.64,0.17,17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5265,0.4459,0.0215,0.044,7.28,8.36,4.23,2.8,0.2308,indianapolis,indianapolis,i,indianapolis4000,51732-12535:Indianapolis Colts,51732-12535,D,i,Indianapolis Colts,colts,10.77777778,9,4000,GB@IND,IND,GB,,,,Colts,Colts,indianapolis,indianapolis4000
