RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
murray8700qbk,95.78,Kyler Murray,8700,ARI,MIN,,,24.44,34.5,14.4,5.91,2.8,14.0,18.53,35.1,1.0,0.85,6.7,1.0,3.0,0.0,0.99,0.0,68.0,27.5,23.5,-0.3,-4.0,51.0,67.0,23.0,34.0,251.0,67.0,7.3,6.72,1.8,42.0,0.0,0.0,17.3,65.6,12.2,5.3,2.4,4.8,7.0,17.0,46.0,6.0,0.7,0.5920000000000001,6.44,3.44,1.81,0.0,0.0,0.0,17.7,300,0.45,0.26,50.0,0.5,0.5,20.0,23.3,5.8,2700.0,0.53,0.34,78.0,0.57,0.15,19.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8700qbk
wilson8500qbr,93.68,Russell Wilson,8500,SEA,TEN,,,22.8,33.2,12.4,4.66,2.7,9.1,18.14,23.32,0.0,0.79,5.0,0.92,3.0,0.0,0.79,3.6,64.0,30.0,23.5,0.7,-6.5,53.5,48.0,23.0,34.0,259.0,67.0,7.6,6.91,2.5,42.0,0.0,0.0,17.4,58.4,19.0,7.4,2.4,7.9,5.0,15.0,30.0,5.8,0.1,0.506,5.56,2.88,1.5,62.0,0.7,0.49,27.1,700,0.87,0.5,33.0,0.33,0.0,30.0,22.8,40.0,2500.0,0.54,0.36,85.0,0.55,0.0,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,russell wilson,r,wilson8500qbr
allen8100qbj,93.09,Josh Allen,8100,BUF,@MIA,,,24.18,33.8,14.5,6.82,3.0,15.1,17.36,17.66,-1.0,0.68,0.0,0.0,2.0,0.0,0.82,0.5,64.0,26.5,23.5,0.7,-3.0,50.0,76.0,24.0,36.0,281.0,68.0,7.8,7.71,2.3,37.0,0.0,0.0,12.1,73.3,10.7,6.4,1.7,4.3,6.0,11.0,25.0,4.2,0.4,0.546,6.82,3.47,2.24,88.0,0.64,0.21,17.2,0,0.27,0.2,50.0,0.0,0.0,20.0,25.2,6.4,2100.0,0.58,0.39,90.0,0.59,0.0,22.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen8100qbj
herbert7600qbj,91.59,Justin Herbert,7600,LAC,DAL,,,22.64,33.2,12.0,6.27,3.0,16.2,16.37,16.72,-4.0,0.44,10.0,0.8,2.0,0.0,0.82,1.8,73.0,29.0,26.0,1.5,-3.0,55.0,46.0,26.0,40.0,292.0,66.0,7.3,6.83,2.0,43.0,0.0,0.0,24.3,53.0,20.2,5.0,1.8,5.0,3.0,8.0,14.0,3.9,0.3,0.475,7.56,3.75,1.81,0.0,0.0,0.0,14.4,0,0.27,0.18,33.0,0.0,0.0,30.0,22.7,4.7,1600.0,0.49,0.31,80.0,0.55,0.05,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,herbert,justin herbert,j,herbert7600qbj
prescott8000qbd,89.05,Dak Prescott,8000,DAL,@LAC,,,22.12,32.4,11.8,4.96,2.8,9.9,17.16,8.48,-3.0,0.51,2.5,1.0,2.0,0.0,0.69,-7.6,74.0,26.0,29.0,1.5,3.0,55.0,54.0,33.0,48.0,398.0,69.0,8.3,7.78,2.2,42.0,0.0,0.0,14.1,48.1,14.9,4.6,2.1,3.2,3.0,9.0,15.0,4.0,0.6,0.42100000000000004,1.29,0.82,0.47,0.0,0.0,0.0,28.4,400,0.45,0.34,50.0,0.5,0.0,20.0,30.0,3.4,2000.0,0.56,0.41,27.0,0.22,0.0,18.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prescott,dak prescott,d,prescott8000qbd
hurts7800qbj,88.56,Jalen Hurts,7800,PHI,SF,,,22.16,33.6,10.7,5.39,2.8,7.6,16.77,21.8,2.0,0.89,7.5,1.0,2.0,0.0,0.63,0.4,25.0,23.0,26.0,0.5,3.0,49.0,41.0,11.0,20.0,147.0,56.0,7.2,6.62,1.0,31.0,0.0,0.0,15.3,47.5,27.9,5.0,2.0,7.4,4.0,9.0,26.0,6.0,0.2,0.5429999999999999,1.94,0.69,0.38,77.0,0.41,0.0,28.8,200,0.67,0.41,50.0,0.5,0.0,20.0,90.0,2.4,1800.0,0.34,0.36,33.0,0.22,0.55,18.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hurts,jalen hurts,j,hurts7800qbj
bridgewater7000qbt,84.98,Teddy Bridgewater,7000,DEN,@JAX,,,19.16,30.3,8.0,3.96,2.7,2.4,15.2,21.22,1.0,0.85,2.5,1.0,1.0,0.0,0.43,4.5,61.0,25.5,19.5,0.2,-6.0,45.0,71.0,23.0,33.0,248.0,69.0,7.5,6.42,1.1,40.0,0.0,0.0,22.2,63.4,9.7,3.3,2.1,6.0,3.0,9.0,18.0,5.2,0.3,0.48100000000000004,5.13,2.31,0.81,78.0,0.87,0.57,11.8,400,0.29,0.18,100.0,0.33,0.0,30.0,15.3,1.4,1000.0,0.4,0.25,94.0,0.42,0.0,19.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bridgewater,teddy bridgewater,t,bridgewater7000qbt
tannehill7300qbr,84.17,Ryan Tannehill,7300,TEN,@SEA,,,19.14,29.3,9.0,3.35,2.6,2.2,15.79,14.58,-2.0,0.59,2.5,1.0,1.0,0.0,0.79,-4.1,64.0,23.5,30.0,0.2,6.5,53.5,52.0,19.0,29.0,236.0,64.0,8.0,7.78,2.0,46.0,0.0,0.0,12.7,56.0,27.9,6.9,1.7,5.8,2.0,11.0,16.0,6.4,0.5,0.667,5.18,2.41,1.35,62.0,0.7,0.49,7.7,-400,0.18,0.12,33.0,0.0,0.33,30.0,18.7,30.0,1300.0,0.55,0.29,80.0,0.45,0.1,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tannehill,ryan tannehill,r,tannehill7300qbr
brady8200qbt,83.18,Tom Brady,8200,TB,ATL,,,22.32,35.2,9.5,4.77,2.7,7.0,17.55,29.64,6.0,0.97,4.2,1.0,2.0,0.0,0.63,5.7,63.0,32.8,19.3,-0.5,-13.5,52.0,65.0,25.0,39.0,298.0,65.0,7.6,7.63,2.6,39.0,0.0,0.0,18.8,52.9,22.1,6.7,2.1,2.7,1.0,0.0,0.0,-0.1,0.1,0.14800000000000002,6.59,3.35,1.65,81.0,0.74,0.48,19.7,400,0.39,0.3,66.0,0.33,0.0,30.0,20.6,4.7,2200.0,0.49,0.32,86.0,0.59,0.09,22.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brady,tom brady,t,brady8200qbt
mayfield7100qbb,82.79,Baker Mayfield,7100,CLE,HOU,,,19.1,30.2,8.0,3.71,2.7,2.0,15.39,18.52,3.0,0.92,4.2,0.95,1.0,0.0,0.74,7.1,64.0,31.0,17.5,1.2,-13.5,48.5,48.0,19.0,30.0,231.0,63.0,7.7,7.21,1.5,33.0,0.0,0.0,15.9,49.1,28.8,5.0,1.7,5.4,3.0,7.0,10.0,3.3,0.1,0.46,5.53,3.27,1.67,79.0,0.53,0.0,11.1,0,0.36,0.19,66.0,0.0,0.0,30.0,15.9,0.9,1100.0,0.45,0.25,65.0,0.35,0.25,20.0,QB,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mayfield,baker mayfield,b,mayfield7100qbb
