RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
allen8900qbj,95.26,Josh Allen,8900,BUF,@BAL,,,24.86,35.3,14.5,2.34,2.8,13.5,24.52,22.52,1.0,0.83,1.0,10.0,2.0,0.0,0.92,13.7,67.0,27.0,23.5,-2.3,-3.5,50.5,50.0,24.0,38.0,271.0,65.0,7.1,6.66,2.2,33.0,165.5,323.5,14.0,62.3,11.5,5.8,2.4,4.3,7.0,18.0,46.0,6.4,0.4,0.626,9.53,4.59,2.41,52.0,0.98,0.83,29.4,200,0.56,0.44,100.0,1.0,0.0,90.0,26.7,5.2,2900.0,0.57,0.4,85.0,0.78,0.03,28.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen8900qbj
hurts8600qbj,90.91,Jalen Hurts,8600,PHI,JAX,,,23.3,33.9,12.7,1.36,2.7,17.7,16.96,21.94,-1.0,0.64,1.0,7.2,2.0,0.0,0.92,-0.9,65.0,25.3,18.8,-2.2,-6.5,44.0,49.0,17.0,28.0,218.0,61.0,7.6,6.93,1.0,36.0,128.9,268.0,18.2,46.0,22.2,3.6,1.8,6.0,10.0,16.0,51.0,5.1,0.8,0.589,6.17,3.5,2.17,53.0,0.97,0.83,32.0,600,0.68,0.44,100.0,1.0,0.0,11.0,25.4,4.8,2600.0,0.62,0.39,79.0,0.67,0.05,34.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hurts,jalen hurts,j,hurts8600qbj
jackson8800qbl,81.85,Lamar Jackson,8800,BAL,BUF,,,22.6,32.5,12.7,0.27,2.6,11.5,15.06,22.33,0.0,0.76,1.0,8.0,1.0,0.0,0.92,-13.4,65.0,23.5,27.0,-1.8,3.5,50.5,50.0,20.0,31.0,239.0,65.0,7.5,6.44,1.9,37.0,142.2,312.3,12.8,49.9,27.9,6.1,3.2,8.8,10.0,19.0,63.0,6.1,0.2,0.556,4.35,1.88,1.24,52.0,0.98,0.83,38.3,300,0.96,0.66,100.0,1.0,0.0,60.0,26.7,40.0,2800.0,0.59,0.41,62.0,0.37,0.04,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jackson,lamar jackson,l,jackson8800qbl
murray7800qbk,76.11,Kyler Murray,7800,ARI,@CAR,,,18.48,27.9,9.1,-1.89,2.4,7.5,0.0,20.37,-2.0,0.54,0.4,2.0,1.0,0.0,0.93,0.5,69.0,21.3,22.3,-2.7,1.0,43.5,76.0,24.0,37.0,254.0,66.0,6.9,6.11,1.4,36.0,133.0,286.1,17.3,56.2,17.7,3.8,1.4,5.6,5.0,14.0,29.0,5.0,0.2,0.506,6.0,3.0,1.53,63.0,0.71,0.0,20.3,-400,0.39,0.27,100.0,0.83,0.0,60.0,19.4,-0.4,1800.0,0.43,0.28,66.0,0.45,0.08,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray7800qbk
wilson7100qbr,72.86,Russell Wilson,7100,DEN,@LV,,,16.7,27.4,6.0,-2.29,2.4,2.7,26.98,18.99,0.0,0.76,0.8,4.0,1.0,0.0,0.92,7.4,59.0,21.8,24.3,-0.5,2.5,46.0,42.0,18.0,30.0,211.0,61.0,7.1,6.1,1.4,42.0,121.4,313.8,15.2,53.6,19.8,4.7,1.7,7.4,2.0,8.0,12.0,4.2,0.1,0.415,4.11,1.61,0.89,0.0,0.0,0.0,12.0,-400,0.29,0.17,80.0,0.6,0.2,50.0,15.1,-2.3,1100.0,0.43,0.26,58.0,0.41,0.16,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,russell wilson,r,wilson7100qbr
smith6600qbg,72.80,Geno Smith,6600,SEA,@DET,,,16.86,26.0,7.7,-1.15,2.6,7.4,31.7,18.01,-6.0,0.28,1.0,3.6,1.0,0.0,0.69,9.1,54.0,22.5,26.0,2.5,3.5,48.5,55.0,20.0,28.0,202.0,73.0,7.2,6.06,1.3,39.0,117.9,213.0,11.7,48.2,13.2,4.6,1.4,8.8,2.0,7.0,8.0,3.0,0.1,0.526,1.39,0.56,0.22,0.0,0.0,0.0,14.2,300,0.36,0.25,100.0,0.8,0.0,50.0,12.6,-0.4,600.0,0.37,0.23,50.0,0.22,0.04,22.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smith,geno smith,g,smith6600qbg
herbert8000qbj,71.15,Justin Herbert,8000,LAC,@HOU,,,18.9,30.5,7.3,-1.86,2.4,6.1,21.1,20.76,3.0,0.91,0.88,3.2,1.0,0.0,0.77,-3.2,69.0,25.3,19.8,-1.2,-5.5,45.0,49.0,25.0,39.0,292.0,65.0,7.4,7.15,2.3,42.0,152.4,305.6,19.0,51.0,19.6,5.9,2.1,4.2,3.0,9.0,16.0,4.9,0.2,0.586,7.29,3.82,2.35,0.0,0.0,0.0,18.7,-400,0.41,0.28,100.0,0.75,0.0,40.0,22.8,2.4,2000.0,0.51,0.33,86.0,0.59,0.0,22.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,herbert,justin herbert,j,herbert8000qbj
mariota7300qbm,69.26,Marcus Mariota,7300,ATL,CLE,,,17.64,27.6,7.7,-1.75,2.4,8.7,4.86,19.39,-5.0,0.33,1.0,6.8,1.0,0.0,0.43,3.3,18.0,23.8,24.8,2.8,1.0,48.5,37.0,10.0,16.0,128.0,62.0,8.0,6.05,0.6,20.0,77.6,206.6,9.9,43.2,19.8,3.8,3.8,7.0,3.0,6.0,12.0,4.0,0.3,0.622,1.56,0.5,0.28,0.0,0.0,0.0,16.8,800,0.46,0.26,100.0,0.6,0.0,50.0,8.8,0.8,1300.0,0.43,0.49,33.0,0.14,0.23,21.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mariota,marcus mariota,m,mariota7300qbm
rodgers7400qba,68.87,Aaron Rodgers,7400,GB,NE,,,17.16,27.9,6.4,-2.42,2.3,1.3,17.14,19.58,6.0,0.97,1.0,1.2,1.0,0.0,0.73,9.8,62.0,25.0,15.5,1.2,-9.5,40.5,62.0,23.0,33.0,259.0,69.0,7.7,7.91,2.2,40.0,111.5,239.6,18.4,54.6,16.8,6.7,0.9,6.0,2.0,5.0,6.0,2.9,0.2,0.389,7.29,3.12,1.65,60.0,0.69,0.0,14.7,-400,0.4,0.24,83.0,0.33,0.16,60.0,19.3,0.4,1400.0,0.51,0.31,75.0,0.45,0.08,24.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rodgers,aaron rodgers,a,rodgers7400qba
tannehill6800qbr,67.94,Ryan Tannehill,6800,TEN,@IND,,,15.1,24.0,6.2,-3.3,2.2,0.9,14.38,18.4,-2.0,0.54,0.0,0.0,1.0,0.0,0.64,3.4,65.0,19.5,23.5,-1.3,4.0,43.0,65.0,20.0,29.0,213.0,66.0,7.1,5.92,1.2,34.0,108.9,226.3,17.3,55.8,19.1,4.1,2.8,7.6,3.0,7.0,10.0,3.5,0.4,0.627,5.71,2.82,1.71,0.0,0.0,0.0,7.4,-300,0.25,0.14,27.0,0.27,0.72,11.0,12.4,-5.7,800.0,0.35,0.19,58.0,0.27,0.31,29.0,QB,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tannehill,ryan tannehill,r,tannehill6800qbr
