,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
adams8900wrd,97.70,Davante Adams,8900,GB,@HOU,,,18.2,21.9,10.5,3.98,2.0,19.0,38.1,14.22,3.0,0.89,0.96,6.5,6.0,0.0,0.71,1.5,56.0,29.0,26.5,-0.5,-2.5,55.5,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.43,0.29,0.0,0.0,0.0,9.1,300,0.91,0.18,0.0,0.0,0.33,30.0,15.8,3.8,900.0,1.43,0.28,57.0,0.26,0.31,19.0,WR,720,0.0,0.0,0.0,0.0,11.0,7.0,79.0,23.0,10.8,0.6,6.8,0.25,0.0,0.318,0.43799999999999994,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,davante adams,d,adams8900wrd,51091-45889:Davante Adams,51091-45889,WR,d,Davante Adams,adams,16.26666641,3.0,8900,GB@HOU,GB,HOU,,,,ryland,ryland,davante,adams8900wrd
aiyuk5500wrb,78.20,Brandon Aiyuk,5500,SF,@NE,,,7.8,11.7,4.8,1.33,1.4,1.0,14.5,6.47,6.0,0.93,1.0,0.3,1.0,0.0,0.54,1.6,58.0,20.5,23.5,-0.5,3.0,44.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71,0.57,47.0,0.64,0.0,11.3,700,1.95,0.19,100.0,0.5,0.0,40.0,9.7,3.3,300.0,1.82,0.17,83.0,0.33,0.0,60.0,WR,720,0.0,0.0,0.0,0.0,4.0,2.0,29.0,14.0,11.1,0.3,0.0,0.33299999999999996,0.0,0.105,0.11800000000000001,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aiyuk,brandon aiyuk,b,aiyuk5500wrb,51091-85798:Brandon Aiyuk,51091-85798,WR,b,Brandon Aiyuk,aiyuk,9.680000305,5.0,5500,SF@NE,SF,NE,,,,ryland,ryland,brandon,aiyuk5500wrb
allen6700qbk,87.00,Kyle Allen,6700,WAS,DAL,,,16.8,28.1,6.1,2.19,2.5,1.0,16.86,14.61,-3.0,0.52,1.0,1.9,1.0,0.0,0.67,4.4,66.0,21.8,22.8,-1.0,1.0,44.5,39.0,23.0,38.0,252.0,62.0,6.6,4.21,1.1,32.0,21.3,56.9,16.4,2.9,3.9,8.9,2.0,6.0,10.0,4.1,0.3,0.429,4.13,2.5,1.44,45.0,0.95,0.54,13.3,700,0.42,0.27,50.0,0.25,0.0,40.0,13.6,-0.1,700.0,0.31,0.21,62.0,0.31,0.12,16.0,QB,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen6700qbk,51091-53095:Kyle Allen,51091-53095,QB,k,Kyle Allen,allen,13.32999992,2.0,6700,DAL@WAS,WAS,DAL,,,,ryland,ryland,kyle,allen6700qbk
allen7000wrk,97.65,Keenan Allen,7000,LAC,JAX,,,14.6,18.5,9.0,4.71,2.1,19.0,17.5,9.89,-7.0,0.66,1.0,6.5,6.0,0.0,0.78,0.1,57.0,28.0,20.0,-0.3,-8.0,48.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.47,0.07,0.0,0.0,0.0,14.6,-100,1.33,0.32,100.0,0.33,0.0,30.0,12.8,2.6,0.0,1.36,0.22,81.0,0.43,0.18,16.0,WR,720,0.0,0.0,0.0,0.0,9.0,6.0,70.0,23.0,10.5,0.4,8.6,0.235,0.0,0.276,0.22699999999999998,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,keenan allen,k,allen7000wrk,51091-29253:Keenan Allen,51091-29253,WR,k,Keenan Allen,allen,12.51999969,5.0,7000,JAC@LAC,LAC,JAC,Q,Back,,ryland,ryland,keenan,allen7000wrk
allen8800qbj,97.30,Josh Allen,8800,BUF,@NYJ,,,23.2,34.0,12.5,4.47,2.6,11.0,16.38,18.73,0.0,0.78,0.95,5.6,2.0,0.0,0.92,2.1,62.0,28.3,18.8,-1.0,-9.5,47.0,65.0,18.0,30.0,217.0,61.0,7.1,6.92,1.8,34.0,15.8,72.1,13.1,6.0,1.3,6.5,5.0,11.0,27.0,4.6,0.5,0.614,5.89,2.89,1.61,53.0,0.49,0.02,24.8,700,0.63,0.43,100.0,0.75,0.0,40.0,22.0,4.4,900.0,0.57,0.35,94.0,0.68,0.05,19.0,QB,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen8800qbj,51091-62239:Josh Allen,51091-62239,QB,j,Josh Allen,allen,25.79000092,6.0,8800,BUF@NYJ,BUF,NYJ,,,,ryland,ryland,josh,allen8800qbj
amendola4800wrd,79.25,Danny Amendola,4800,DET,@ATL,,,6.4,8.1,3.2,1.53,1.3,1.0,7.7,4.87,-16.0,0.49,1.0,0.3,2.0,0.0,0.49,3.3,42.0,26.5,27.5,-0.3,1.0,54.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.33,0.07,0.0,0.0,0.0,4.4,-400,1.46,0.15,66.0,0.0,0.33,30.0,6.2,-0.5,-300.0,0.91,0.15,75.0,0.18,0.25,16.0,WR,720,0.0,0.0,0.0,0.0,5.0,3.0,42.0,20.0,11.7,0.0,6.5,0.0,0.0,0.17600000000000002,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amendola,danny amendola,d,amendola4800wrd,51091-8117:Danny Amendola,51091-8117,WR,d,Danny Amendola,amendola,5.359999847,5.0,4800,DET@ATL,DET,ATL,Q,Foot,,ryland,ryland,danny,amendola4800wrd
anderson6400wrr,97.35,Robby Anderson,6400,CAR,@NO,,,13.6,17.7,8.0,5.08,2.1,11.0,10.4,8.52,-5.0,0.7,1.0,4.8,5.0,0.0,0.91,0.2,56.0,21.3,28.3,-0.5,7.0,49.5,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.31,0.13,0.0,0.0,0.0,11.8,300,1.31,0.25,100.0,0.5,0.0,40.0,11.1,30.0,800.0,1.56,0.2,82.0,0.41,0.17,17.0,WR,720,0.0,0.0,0.0,0.0,7.0,4.0,67.0,27.0,14.4,0.3,8.1,0.2,0.0,0.218,0.22699999999999998,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robby anderson,r,anderson6400wrr,51091-26251:Robby Anderson,51091-26251,WR,r,Robby Anderson,anderson,13.81666692,6.0,6400,CAR@NO,CAR,NO,,,,ryland,ryland,robby,anderson6400wrr
arizona3800,11.95,Arizona,3800,ARI,SEA,,,3.9,10.1,-0.5,-1.13,1.0,1.0,7.0,5.03,-4.0,0.45,0.0,0.0,1.0,0.0,0.26,-1.9,0.0,26.0,29.5,-0.5,3.5,55.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,100,0.0,0.0,100.0,0.5,0.0,40.0,5.2,0.0,500.0,0.0,0.0,80.0,0.6,0.2,15.0,DEF,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.5009,0.4404,0.0092,0.0395,7.4,11.6,5.6,3.07,0.18969999999999998,arizona,arizona,a,arizona3800,51091-12546:Arizona Cardinals,51091-12546,D,a,Arizona Cardinals,cardinals,7.0,6.0,3800,SEA@ARI,ARI,SEA,,,,Cardinals,Cardinals,arizona,arizona3800
arnold4400ted,71.05,Dan Arnold,4400,ARI,SEA,,,3.4,4.7,1.9,-0.14,0.8,1.0,6.7,3.54,-9.0,0.48,0.0,0.0,1.0,0.0,0.22,-0.7,30.0,26.0,29.5,-0.5,3.5,55.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.0,0.0,0.0,0.0,3.8,100,2.5,0.13,50.0,0.0,0.0,40.0,3.3,0.8,200.0,1.31,0.11,56.0,0.12,0.31,16.0,TE,720,0.0,0.0,0.0,0.0,2.0,1.0,22.0,15.0,13.2,0.2,8.4,0.25,0.0,0.077,0.11800000000000001,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arnold,dan arnold,d,arnold4400ted,51091-80546:Dan Arnold,51091-80546,TE,d,Dan Arnold,arnold,2.839999962,5.0,4400,SEA@ARI,ARI,SEA,,,,ryland,ryland,dan,arnold4400ted
atlanta3500,21.84,Atlanta,3500,ATL,DET,,,4.6,13.1,-0.3,0.53,1.3,3.0,2.0,4.07,-3.0,0.51,0.0,0.0,2.0,0.0,0.62,-1.6,0.0,27.5,26.5,-2.3,-1.0,54.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,300,0.0,0.0,40.0,0.4,0.6,50.0,5.9,0.9,-100.0,0.0,0.0,64.0,0.47,0.35,17.0,DEF,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.5265,0.5245000000000001,0.0169,0.0447,7.79,9.4,6.43,3.79,0.2057,atlanta,atlanta,a,atlanta3500,51091-12525:Atlanta Falcons,51091-12525,D,a,Atlanta Falcons,falcons,2.333333333,6.0,3500,DET@ATL,ATL,DET,,,,Falcons,Falcons,atlanta,atlanta3500
