,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
agholor5100wrn,0,Nelson Agholor,5100,PHI,@BUF,,,5.8,11.8,0,0.24,1.1,0.5,3.4,5.56,-20,0.69,1,0.6,1,0,0.47,-1.7,60,19.3,20.3,-2,1,39.5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.44,0.25,51,0.9,0.41,3.9,-400,0.89,0.07,25,0,0.25,40,7.1,0.6,-900,1.35,0.12,44,0.24,0.32,25,WR,8,0,0,0,0,5,3,41,26,13.1,0.4,6.7,0.364,0,0.155,0.194,0.158,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5100wrn,39577-29683,WR,n,Nelson Agholor,agholor,7.700000218,7,5100,PHI@BUF,PHI,BUF,,,,,,ryland,ryland,nelson,agholor5100wrn
akins4300tej,19,Jordan Akins,4300,HOU,OAK,,,5.1,9.7,0.1,1.8,1.2,0.5,2.1,3.3,-7,0.79,0,0,4,0,0.61,2.1,32,28.5,23.5,-0.3,-5,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.07,0.07,0,0,0,7.6,400,2.53,0.14,100,0.5,0,40,40,0.4,-900,2.34,0.11,40,0.25,0.4,20,TE,8,0,0,0,0,2,1,23,16,15.2,0.1,9.6,0.167,0,0.074,0.083,0.089,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4300tej,39577-57338,TE,j,Jordan Akins,akins,5.82857132,7,4300,OAK@HOU,HOU,OAK,,,,,,ryland,ryland,jordan,akins4300tej
allen7000qbk,0,Kyle Allen,7000,CAR,@SF,,,13.5,20.6,7.2,-1.7,1.9,0.5,3.32,15.2,-6,0.45,0,0,0,0,0.24,-6.1,55,18.3,22.8,0.3,4.5,41,56,16,25,194,65,7.6,7.87,1.5,39,24.8,55.6,17,6,0,6.4,2,3,4,2.1,0.2,0.25,2.75,1.38,0.88,69,0.09,0.01,10.8,200,0.3,0.16,66,0.33,0.33,30,9.2,0.9,1000,0.32,0.17,30,0.23,0.38,13,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,kyle allen,k,allen7000qbk,39577-53095,QB,k,Kyle Allen,allen,14.15999985,4,7000,CAR@SF,CAR,SF,,,,,,ryland,ryland,kyle,allen7000qbk
allen7500wrk,0,Keenan Allen,7500,LAC,@CHI,,,9.4,13.3,0.2,-1.63,1.3,0.5,8.8,11.03,29,0.79,0.8,3.1,3,0,0.54,1.8,54,18.8,22.3,1.3,3.5,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.5,0.31,53,0.62,0.01,5.3,-600,0.75,0.09,0,0,1,60,12.8,1.1,1500,1.38,0.24,41,0.2,0.44,29,WR,8,0,0,0,0,8,6,78,22,12.5,0.5,7.1,0.35,0,0.27,0.308,0.284,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen7500wrk,39577-29253,WR,k,Keenan Allen,allen,13.81428528,7,7500,LAC@CHI,LAC,CHI,Q,Hamstring,,,,ryland,ryland,keenan,allen7500wrk
allen7700qbj,0,Joshua Allen,7700,BUF,PHI,,,17.4,28.1,9.8,0.83,2.3,6.5,17.26,16.57,1,0.78,1,5.6,1,0,0.65,4.2,66,20.3,19.3,-2,-1,39.5,47,17,30,213,57,6.9,5.47,1.3,42,13.8,63.5,15.1,4.3,4,5.7,8,18,55,6.7,0.7,0.616,3.53,1.27,0.73,51,0.9,0.41,17.2,300,0.45,0.29,100,0.66,0,30,16.5,3.7,1700,0.4,0.25,60,0.5,0.2,20,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,joshua allen,j,allen7700qbj,39577-62239,QB,j,Josh Allen,allen,18.49333318,6,7700,PHI@BUF,BUF,PHI,,,,,,ryland,ryland,josh,allen7700qbj
amendola5800wrd,0,Danny Amendola,5800,DET,NYG,,,6.7,14.4,0.6,-0.45,1.2,0.5,13.5,7.15,-6,0.87,0,0,0,0,0.11,1.3,37,27.8,21.3,0,-6.5,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.14,0,0,0,0,5.2,900,0.87,0.14,33,0.33,0.66,30,5.5,0.8,-200,1,0.15,50,0.16,0.27,18,WR,8,0,0,0,0,5,3,40,20,11.1,0.1,6.4,0,0,0.196,0.059,0.182,0,0,0,0,0,0,0,0,0,0,amendola,danny amendola,d,amendola5800wrd,39577-8117,WR,d,Danny Amendola,amendola,8.240000153,5,5800,NYG@DET,DET,NYG,,,,,,ryland,ryland,danny,amendola5800wrd
anderson6200wrr,0,Robby Anderson,6200,NYJ,@JAX,,,8.7,14.5,0.4,0.64,1.4,3,6.3,8.06,-8,0.7,0.83,2.2,0,0,0.47,1.4,54,16.3,23.3,-1.5,7,39.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.27,80,0.83,0.31,6.5,700,1.03,0.13,25,0.25,0.75,40,8.2,1.7,200,1.19,0.15,38,0.23,0.42,21,WR,8,0,0,0,0,6,3,54,25,14.1,0.3,6.7,0.2,0,0.243,0.4,0.273,0,0,0,0,0,0,0,0,0,0,anderson,robby anderson,r,anderson6200wrr,39577-26251,WR,r,Robby Anderson,anderson,6.849999746,6,6200,NYJ@JAC,NYJ,JAC,,,,,,ryland,ryland,robby,anderson6200wrr
arizona3500,0,Arizona,3500,ARI,@NO,,,5.3,14.3,0.4,1.23,1.5,0.5,1,4.07,3,0.76,0,0,1,0,0.43,-1,0,17.5,30,-2,12.5,47.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0.39,9.85,0,0,0,0,0,0,0,0,0,0,0,0,5,300,0,0,100,0.25,0,40,5.4,0.9,-2500,0,0,87,0.31,0.12,16,DEF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5579,0.5365,0.0021,0.0467,7.38,9.5,4.5,30,0.2039,arizona,arizona,a,arizona3500,39577-12546,D,a,Arizona Cardinals,cardinals,4.285714286,7,3500,ARI@NO,ARI,NO,,,,,,Cardinals,Cardinals,arizona,arizona3500
arnold4000ted,19.4,Daniel Arnold,4000,NO,ARI,,,2.7,4.5,0,0.1,0.7,0.5,3.5,2.6,-25,0.3,0,0,1,0,0.61,4.9,14,30,17.5,0,-12.5,47.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,1000,1.76,0.12,100,0.25,0,40,2.1,-0.7,-1000,1.1,0.05,39,0.04,0.43,23,TE,8,0,0,0,0,1,1,12,9,11.5,0.1,4.3,0,0,0.066,0.05,0.056,0,0,0,0,0,0,0,0,0,0,arnold,daniel arnold,d,arnold4000ted,39577-80546,TE,d,Dan Arnold,arnold,0,1,4000,ARI@NO,NO,ARI,,,,,,ryland,ryland,dan,arnold4000ted
atlanta3000,0,Atlanta,3000,ATL,SEA,,,4.5,13.2,1.1,2.04,1.5,0.5,2,2.46,-3,0.42,0,0,1,0,0.73,2.1,0,20.5,28,-1.3,7.5,48.5,23,0,0,0,0,0,0,0,0,0,0,0,0,2.05,5.21,0,0,0,0,0,0,0,0,0,0,0,0,-1,-900,0,0,0,0,1,40,4.3,0.2,-3000,0,0,65,0.25,0.35,20,DEF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5363,0.5076,0.0111,0.0491,7.66,9.63,4.67,3.33,0.2273,atlanta,atlanta,a,atlanta3000,39577-12525,D,a,Atlanta Falcons,falcons,1,7,3000,SEA@ATL,ATL,SEA,,,,,,Falcons,Falcons,atlanta,atlanta3000
