,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
adams4500rbj,54.5,Joshua Adams,4500,NYJ,MIA,,,3.1,5.8,0.0,-1.83,0.7,0.5,0.0,4.93,-25.0,0.26,0.0,0.3,3.0,0.0,0.36,0.8,16.0,26.0,21.0,1.2,-5.0,47.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.8,0.2,0.385,0.5,0.5,0.0,40.0,0.6,0.01,0.3,0,0.08,0.05,0.0,0.0,1.0,40.0,2.4,-1.8,-1500.0,0.25,0.15,12.0,0.06,0.5,16.0,RB,14,0.2,0.275,0.248,8.0,0.0,0.0,5.0,2.0,11.0,0.0,1.8,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,joshua adams,j,adams4500rbj,41210-64744,RB,j,Josh Adams,adams,0.6000000238418579,2,4500,MIA@NYJ,NYJ,MIA,,,,,,ryland,ryland,josh,adams4500rbj
adams8400wrd,81.29,Davante Adams,8400,GB,WAS,,,14.5,24.2,3.3,1.42,1.7,23.0,6.1,13.08,-2.0,0.25,1.0,5.6,6.0,0.0,0.94,0.1,60.0,27.8,14.8,-0.5,-13.0,42.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.44,0.06,37.0,0.9,0.04,17.5,600,1.64,0.32,100.0,0.33,0.0,30.0,9.9,1.5,2400.0,0.9,0.16,39.0,0.13,0.43,23.0,WR,14,0.0,0.0,0.0,0.0,11.0,7.0,83.0,25.0,11.7,0.5,80.0,0.22699999999999998,0.0,0.312,0.313,0.33399999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adams,davante adams,d,adams8400wrd,41210-45889,WR,d,Davante Adams,adams,13.800000190734865,8,8400,WAS@GB,GB,WAS,,,,,,ryland,ryland,davante,adams8400wrd
akins4900tej,54.18,Jordan Akins,4900,HOU,DEN,,,3.7,7.7,0.0,-1.0,0.8,0.5,6.9,4.7,-13.0,0.66,0.0,0.0,2.0,0.0,0.09,-0.9,35.0,25.3,17.3,-0.2,-8.0,42.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.06,0.0,0.0,0.0,2.8,200,1.22,0.09,100.0,0.0,0.0,30.0,3.9,0.1,-1100.0,1.49,0.11,71.0,0.04,0.09,21.0,TE,14,0.0,0.0,0.0,0.0,2.0,1.0,23.0,16.0,13.1,0.1,9.6,0.25,0.0,0.081,0.069,0.08900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akins,jordan akins,j,akins4900tej,41210-57338,TE,j,Jordan Akins,akins,4.608333269755046,12,4900,DEN@HOU,HOU,DEN,,,,,,ryland,ryland,jordan,akins4900tej
allen6800wrk,85.73,Keenan Allen,6800,LAC,@JAX,,,11.7,20.2,1.9,2.27,1.7,6.5,10.8,9.43,4.0,0.82,0.83,1.9,5.0,0.0,0.96,0.4,55.0,22.8,19.3,-0.2,-3.5,42.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.5,0.25,63.0,0.92,0.08,16.7,0,1.85,0.25,100.0,0.66,0.0,30.0,10.8,-0.3,800.0,1.24,0.2,36.0,0.16,0.5,30.0,WR,14,0.0,0.0,0.0,0.0,8.0,5.0,66.0,22.0,11.8,0.4,7.4,0.21100000000000002,0.0,0.244,0.28600000000000003,0.24600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,keenan allen,k,allen6800wrk,41210-29253,WR,k,Keenan Allen,allen,13.041666666666664,12,6800,LAC@JAC,LAC,JAC,,,,,,ryland,ryland,keenan,allen6800wrk
allen7100qbk,67.29,Kyle Allen,7100,CAR,@ATL,,,16.7,23.6,8.5,1.31,2.4,0.5,20.12,15.39,-3.0,0.64,0.8,2.1,1.0,0.0,0.55,0.6,64.0,22.3,25.8,-0.5,3.5,48.0,38.0,20.0,33.0,226.0,61.0,6.9,5.23,1.4,37.0,24.2,53.9,16.6,4.2,2.4,9.1,2.0,4.0,5.0,3.0,0.2,0.25,4.5,2.43,1.43,0.0,0.0,0.0,17.9,100,0.35,0.24,100.0,0.5,0.0,40.0,11.6,0.6,1100.0,0.3,0.18,47.0,0.31,0.31,19.0,QB,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen7100qbk,41210-53095,QB,k,Kyle Allen,allen,14.747999572753908,10,7100,CAR@ATL,CAR,ATL,,,,,,ryland,ryland,kyle,allen7100qbk
allen7800qbj,72.26,Joshua Allen,7800,BUF,BAL,,,17.7,27.9,9.8,0.93,2.3,0.5,10.74,16.77,14.0,0.97,0.58,5.0,2.0,0.0,0.39,-6.2,67.0,18.8,25.3,0.0,6.5,44.0,36.0,18.0,30.0,215.0,59.0,7.0,6.06,1.3,37.0,14.9,63.4,15.4,4.3,2.7,6.3,7.0,15.0,42.0,5.4,0.8,0.568,5.06,2.0,0.88,40.0,0.77,0.04,25.7,300,0.64,0.36,100.0,1.0,0.0,40.0,21.5,4.2,1800.0,0.53,0.32,80.0,0.65,0.0,20.0,QB,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,joshua allen,j,allen7800qbj,41210-62239,QB,j,Josh Allen,allen,20.71999994913737,12,7800,BAL@BUF,BUF,BAL,,,,,,ryland,ryland,josh,allen7800qbj
allison4600wrg,56.72,Geronimo Allison,4600,GB,WAS,,,4.7,9.3,0.0,0.28,1.0,0.5,1.6,4.42,-26.0,0.53,0.0,0.0,1.0,0.0,0.5,0.1,41.0,27.8,14.8,-0.5,-13.0,42.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.08,37.0,0.9,0.04,2.5,-700,0.75,0.05,66.0,0.0,0.33,30.0,4.5,-1.0,-1400.0,1.21,0.11,36.0,0.09,0.27,22.0,WR,14,0.0,0.0,0.0,0.0,3.0,2.0,20.0,12.0,8.6,0.2,50.0,0.25,0.0,0.11199999999999999,0.091,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allison,geronimo allison,g,allison4600wrg,41210-52560,WR,g,Geronimo Allison,allison,4.4272727966308585,11,4600,WAS@GB,GB,WAS,,,,,,ryland,ryland,geronimo,allison4600wrg
amendola5400wrd,63.35,Danny Amendola,5400,DET,@MIN,,,6.5,12.5,0.5,0.26,1.2,0.5,5.9,6.24,-15.0,0.74,0.0,0.2,0.0,0.0,0.43,2.9,40.0,15.8,27.8,0.8,12.0,43.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.19,0.06,0.0,0.0,0.0,4.9,-200,0.82,0.1,100.0,0.0,0.0,50.0,5.9,0.3,-600.0,1.02,0.15,61.0,0.14,0.19,21.0,WR,14,0.0,0.0,0.0,0.0,5.0,3.0,40.0,17.0,10.9,0.1,70.0,0.0,0.0,0.17800000000000002,0.037000000000000005,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amendola,danny amendola,d,amendola5400wrd,41210-8117,WR,d,Danny Amendola,amendola,7.1818181818181825,11,5400,DET@MIN,DET,MIN,,,,,,ryland,ryland,danny,amendola5400wrd
anderson6400wrr,74.73,Robby Anderson,6400,NYJ,MIA,,,9.6,18.7,2.3,1.08,1.5,6.5,21.5,8.52,-2.0,0.77,1.0,7.0,1.0,0.0,0.47,3.6,57.0,26.0,21.0,1.2,-5.0,47.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.44,0.31,40.0,0.6,0.01,9.7,500,1.85,0.17,75.0,0.5,0.25,40.0,9.7,20.0,400.0,1.45,0.17,45.0,0.31,0.36,22.0,WR,14,0.0,0.0,0.0,0.0,6.0,3.0,55.0,23.0,14.9,0.4,7.7,0.33299999999999996,0.0,0.218,0.316,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robby anderson,r,anderson6400wrr,41210-26251,WR,r,Robby Anderson,anderson,7.549999872843426,12,6400,MIA@NYJ,NYJ,MIA,,,,,,ryland,ryland,robby,anderson6400wrr
andrews6600tem,80.23,Mark Andrews,6600,BAL,@BUF,,,8.4,12.3,0.3,-0.28,1.3,3.0,1.9,8.68,-5.0,0.77,0.5,1.4,8.0,0.0,0.67,0.6,31.0,25.3,18.8,1.0,-6.5,44.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.31,0.13,40.0,0.77,0.04,13.5,-200,2.56,0.5,100.0,0.75,0.0,40.0,10.1,2.5,600.0,1.76,0.33,68.0,0.36,0.13,22.0,TE,14,0.0,0.0,0.0,0.0,5.0,3.0,53.0,27.0,14.1,0.5,10.7,0.462,0.0,0.21899999999999997,0.267,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrews,mark andrews,m,andrews6600tem,41210-52436,TE,m,Mark Andrews,andrews,11.31666692097982,12,6600,BAL@BUF,BAL,BUF,,,,,,ryland,ryland,mark,andrews6600tem
