RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
wilson8600qbr,85.05,Russell Wilson,8600,SEA,TB,,,21.9,29.5,12.4,3.56,2.5,23,39.22,18.34,0,0.28,1,9.4,1,0,0.5,1.8,70,27.5,23.5,-2.3,-4,51,64,19,29,236,66,8.1,7.84,2.1,37,18,58.8,16.4,7.2,0.7,9.1,5,13,28,5.3,0.2,0.462,6.35,2.94,1.06,53,0.7,0.02,20,600,0.54,0.28,100,0.33,0,30,20.8,3.2,2600,0.56,0.3,75,0.48,0.1,29,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wilson,russell wilson,r,wilson8600qbr,39835-22015,QB,r,Russell Wilson,wilson,23.28499985,8,8600,TB@SEA,SEA,TB,,,,,,ryland,ryland,russell,wilson8600qbr
allen7700qbj,81.56,Joshua Allen,7700,BUF,WAS,,,18.8,28.8,10.9,2.23,2.4,6.5,17.6,16.57,4,0.84,1,4.4,1,0,0.65,0.4,66,23.8,13.3,0,-10.5,37,59,17,31,210,56,6.8,5.32,1.3,40,14.4,62.6,15.3,4.2,3.5,6.1,8,18,54,6.6,0.6,0.607,3.73,1.33,0.73,41,0.59,0.04,19,700,0.46,0.31,100,0.66,0,30,18.7,3.9,1700,0.45,0.28,68,0.52,0.1,19,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,joshua allen,j,allen7700qbj,39835-62239,QB,j,Josh Allen,allen,18.31714303,7,7700,WAS@BUF,BUF,WAS,,,,,,ryland,ryland,josh,allen7700qbj
rodgers8100qba,79.48,Aaron Rodgers,8100,GB,@LAC,,,20.2,27.3,11.9,2.84,2.5,14.5,12.94,17.36,-3,0.39,1,4.7,1,0,0.65,-1.8,64,27,23,2.5,-4,50,81,22,35,263,64,7.5,7.07,1.6,41,21.1,55,18.8,4.6,0.6,6.9,2,8,14,5,0.2,0.54,5.94,2.94,1.47,72,0.42,0.01,21.8,100,0.54,0.33,87,0.5,0.12,80,19.7,1.8,2100,0.49,0.31,78,0.32,0.07,28,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rodgers,aaron rodgers,a,rodgers8100qba,39835-6894,QB,a,Aaron Rodgers,rodgers,20.83250046,8,8100,GB@LAC,GB,LAC,,,,,,ryland,ryland,aaron,rodgers8100qba
winston7500qbj,75.46,Jameis Winston,7500,TB,@SEA,,,18.8,25.1,9.1,2.62,2.5,10.5,20.2,16.18,-5,0.3,1,7.2,1,0,0.55,0.1,66,23.5,27.5,0.2,4,51,36,21,35,277,61,7.9,6.49,1.9,43,15.8,67.1,14.6,5.4,3.1,7.9,4,8,18,4.7,0,0.393,5,2.31,1,53,0.7,0.02,18.6,-100,0.37,0.25,100,0.66,0,30,16.6,1.4,1500,0.39,0.25,66,0.38,0.14,21,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winston,jameis winston,j,winston7500qbj,39835-24849,QB,j,Jameis Winston,winston,19.42571368,7,7500,TB@SEA,TB,SEA,,,,,,ryland,ryland,jameis,winston7500qbj
stafford7900qbm,75,Matthew Stafford,7900,DET,@OAK,,,19.5,28.5,10.6,2.54,2.5,14.5,25.84,16.96,-1,0.54,0.97,10,1,0,0.67,6.4,68,24.5,27,-0.3,2.5,51.5,49,22,34,247,64,7.2,6.27,1.4,37,12,69,16.1,4.1,1.8,7.4,1,4,5,2.8,0,0.355,5.13,1.94,0.81,72,0.27,0,17.7,600,0.43,0.27,100,0.4,0,50,14.7,-0.4,1900,0.38,0.22,77,0.36,0.04,22,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stafford,matthew stafford,m,stafford7900qbm,39835-6654,QB,m,Matthew Stafford,stafford,20.81714303,7,7900,DET@OAK,DET,OAK,,,,,,ryland,ryland,matthew,stafford7900qbm
carr7300qbd,66.39,Derek Carr,7300,OAK,DET,,,17.8,27.1,10.6,2.01,2.4,10.5,19.56,15.79,-2,0.54,1,9.1,1,0,0.24,3.7,63,27,24.5,0.2,-2.5,51.5,51,22,32,236,68,7.2,6.71,1.3,33,17.8,46.7,31.2,4.1,1.3,6.7,1,2,2,1.7,0,0.15,3.73,2,0.73,72,0.27,0,16,700,0.51,0.26,100,0.66,0,30,13.2,-1.1,1300,0.36,0.21,76,0.38,0.04,21,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7300qbd,39835-45859,QB,d,Derek Carr,carr,14.92857143,7,7300,DET@OAK,OAK,DET,,,,,,ryland,ryland,derek,carr7300qbd
darnold7300qbs,65.96,Sam Darnold,7300,NYJ,@MIA,,,16.7,24.4,9,0.91,2.3,6.5,13.5,15.79,-5,0.41,0.83,3.1,1,0,0.55,4.6,62,23,19.5,1.5,-3.5,42.5,61,20,33,219,61,6.6,4.38,1.2,33,18.7,62.5,15.4,3.6,4.2,8.6,2,6,8,3.3,0,0.304,2.93,1.13,0.67,82,0.65,0.18,8.4,600,0.22,0.14,50,0.25,0.5,40,8.2,-0.5,1300,0.21,0.13,38,0.23,0.42,21,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,darnold,sam darnold,s,darnold7300qbs,39835-63589,QB,s,Sam Darnold,darnold,11.64500046,4,7300,NYJ@MIA,NYJ,MIA,,,,,,ryland,ryland,sam,darnold7300qbs
trubisky6500qbm,64.21,Mitch Trubisky,6500,CHI,@PHI,,,14.7,21.5,7.4,0.48,2.3,3,6.5,14.22,-8,0.28,0.75,4.4,1,0,0.5,3.8,61,18,23,-1.5,5,41,35,20,29,192,66,6.4,5.62,1.1,29,25.2,55,17,3.8,2.4,5.5,3,7,12,3.9,0.1,0.45,3.25,1.56,0.94,52,0.39,0.01,9.4,-300,0.19,0.13,66,0.33,0.33,30,11.7,-1.2,500,0.34,0.19,50,0.23,0.34,26,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trubisky,mitch trubisky,m,trubisky6500qbm,39835-38628,QB,m,Mitchell Trubisky,trubisky,10.6299998,6,6500,CHI@PHI,CHI,PHI,,,,,,ryland,ryland,mitchell,trubisky6500qbm
wentz7400qbc,64.1,Carson Wentz,7400,PHI,CHI,,,17.3,24.9,8.6,1.32,2.3,0.5,15.06,15.98,5,0.78,0.36,3.8,1,0,0.33,-2.8,65,23,18,-1.5,-5,41,65,21,33,239,64,7.1,6.59,1.7,36,15,50.7,32.7,5.2,2.1,5.7,3,6,10,2.9,0.1,0.478,4.31,1.94,1.19,52,0.39,0.01,12.7,-400,0.35,0.2,60,0.2,0.4,50,12.9,0.5,1400,0.33,0.2,53,0.35,0.32,28,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wentz,carson wentz,c,wentz7400qbc,39835-70324,QB,c,Carson Wentz,wentz,17.71750069,8,7400,CHI@PHI,PHI,CHI,,,,,,ryland,ryland,carson,wentz7400qbc
rivers7200qbp,63.33,Philip Rivers,7200,LAC,GB,,,17.7,27.7,9.2,2.11,2.5,3,11.76,15.59,5,0.86,1,5,1,0,0.06,-0.6,62,23,27,1.5,4,50,19,23,34,271,66,7.8,6.92,1.6,37,26.8,57.3,14.5,4.7,2.6,6.1,0,1,1,2.3,0,0.214,5.24,2.29,1.18,72,0.42,0.01,13,-1000,0.32,0.22,66,0.16,0.33,60,16.3,-0.7,1200,0.43,0.26,70,0.4,0.16,30,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rivers,philip rivers,p,rivers7200qbp,39835-7968,QB,p,Philip Rivers,rivers,16.5,8,7200,GB@LAC,LAC,GB,,,,,,ryland,ryland,philip,rivers7200qbp
