,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah4500rba,76.5,Ameer Abdullah,4500,LV,ARI,,,5.68,7.4,4,0.25,1.3,0.4,5.43,20,0.99,0,1,5,0,0.89,-1.8,21,28.5,23,1.7,-5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3.2,0,0.46,0.94,0.38,0.06,0,0,0,0,0,0,0,0,0,0,30,5.2,-0.5,-1500,0.72,0.25,50,0.22,0.22,18,RB,9.14.22,0,0.099,0.507,3,3,2,19,9,7.6,0.1,0,0,0.571,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,abdullah,ameer abdullah,a,abdullah4500rba,80468-27229,RB,a,Ameer Abdullah,abdullah,0,1,4500,ARI@LV,LV,ARI,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah4500rba
adams8800wrd,84.57,Davante Adams,8800,LV,ARI,,,18.03,24.6,11.4,1.84,2,22.6,16.19,-1,0.78,10,0.95,8,0,0.97,0.5,56,28.5,23,1.7,-5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0.76,0.41,0,0,0,25.1,300,0,0,33,0.33,0,30,18.3,2.1,2800,1.69,0.33,59,0.31,0.22,22,WR,9.14.22,0,0,0,0,10,7,99,32,12.7,0.7,0,0.37,0,0.326,0.297,0.365,59.2,38.4,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8800wrd,80468-45889,WR,d,Davante Adams,adams,25.10000038,1,8800,ARI@LV,LV,ARI,,,,,,WR/FLEX,ryland,ryland,davante,adams8800wrd
agholor5100wrn,47.35,Nelson Agholor,5100,NE,@PIT,,,4.23,6.1,2.3,-3.53,0.8,0.8,7.76,-8,0.6,0,0,0,0,0.6,-2,45,21.8,18.8,-0.2,-3,40.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,77,0.63,0,3.4,200,0,0,66,0,0.33,30,5.2,-2.1,-900,1.24,0.12,54,0.13,0.27,22,WR,9.14.22,0,0,0,0,4,2,28,17,12.5,0.1,0,0.167,0,0.133,0.1,0.119,22,23.7,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5100wrn,80468-29683,WR,n,Nelson Agholor,agholor,2.299999952,1,5100,NE@PIT,NE,PIT,,,,,,WR/FLEX,ryland,ryland,nelson,agholor5100wrn
aiyuk5700wrb,65.77,Brandon Aiyuk,5700,SF,SEA,,,8.1,11.5,4.7,-1.02,1.4,2.6,9.12,-4,0.69,1.3,1,1,0,0.78,-0.4,53,24.8,15.8,-1.2,-9,40.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.41,0.18,66,0.73,0.28,5.7,100,0,0,33,0,0,30,8.7,-0.7,-300,1.55,0.16,60,0.3,0.21,23,WR,9.14.22,0,0,0,0,5,3,51,23,14.8,0.3,0,0.5,0,0.178,0.208,0.2,29.2,25.4,0,0,0,0,0,0,0,0,0,0,aiyuk,brandon aiyuk,b,aiyuk5700wrb,80468-85798,WR,b,Brandon Aiyuk,aiyuk,5.699999809,1,5700,SEA@SF,SF,SEA,,,,,,WR/FLEX,ryland,ryland,brandon,aiyuk5700wrb
akers5500rbc,80.6,Cam Akers,5500,LA,ATL,,,8,10.4,5.6,0.07,1.5,0.4,7.93,26,0.99,0.8,0,6,0,0.98,-1.6,22,28.3,18.3,-2.2,-10,46.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6,0,2.4,0.39,0.11,0.06,0,0,0,0,-800,0,0,0,0,0,30,5.7,-0.5,-500,1.41,0.26,13,0.04,0.04,23,RB,9.14.22,0,0.016,0.464,2,1,1,5,3,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,akers,cam akers,c,akers5500rbc,80468-89230,RB,c,Cam Akers,akers,0,1,5500,ATL@LAR,LAR,ATL,,,,,,RB/FLEX,ryland,ryland,cam,akers5500rbc
alie-cox4800tem,64.14,Mo Alie-Cox,4800,IND,@JAX,,,4.37,6.2,2.5,-1.4,0.9,0.5,5.77,4,0.96,0,0,1,0,0.35,-2.6,35,23.5,20.5,-1.5,-3,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.24,0.18,75,1,0.42,3.6,0,0,0,33,0,0,30,50,-0.5,-1200,1.85,0.14,57,0.09,0.14,21,TE,9.14.22,0,0,0,0,2,1,19,14,13.2,0.3,0,0.333,0,0.092,0.16,0.095,10.3,10.7,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4800tem,80468-24533,TE,m,Mo Alie-Cox,alie-cox,3.599999905,1,4800,IND@JAC,IND,JAC,,,,,,TE/FLEX,ryland,ryland,mo,alie-cox4800tem
allgeier4600rbt,56.77,Tyler Allgeier,4600,ATL,@LA,,,2.64,3.6,1.7,-3.04,0.6,0,5.68,41,0.99,0,0,0,0,0.97,-0.6,0,18.3,28.3,0.8,10,46.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,10,2.5,0,-1400,0,0,0,0,0.5,20,RB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier4600rbt,80468-90428,RB,t,Tyler Allgeier,allgeier,,,4600,ATL@LAR,ATL,LAR,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier4600rbt
anderson5900wrr,62.3,Robbie Anderson,5900,CAR,@NYG,,,8.48,12,4.9,-1.1,1.4,2.1,9.58,9,0.95,0,0,2,0,0.78,-2.5,57,21.3,22.3,0.5,1,43.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.35,0.24,80,0.59,0,18.7,600,0,0,33,0.33,0,30,70,-1.6,-100,1.02,0.12,52,0.19,0.28,21,WR,9.14.22,0,0,0,0,6,3,28,12,8.9,0.3,0,0.5,0,0.198,0.308,0.14,21.6,26.8,0,0,0,0,0,0,0,0,0,0,anderson,robbie anderson,r,anderson5900wrr,80468-26251,WR,r,Robbie Anderson,anderson,18.70000076,1,5900,CAR@NYG,CAR,NYG,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5900wrr
andrews7400tem,87.94,Mark Andrews,7400,BAL,MIA,,,11.9,16,7.8,0.06,1.6,12.9,11.84,1,0.91,7.5,1,8,0,0.82,-0.4,55,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.65,0.18,79,0.58,0,7.7,-500,0,0,0,0,0.33,30,14.8,30,1400,1.58,0.27,66,0.33,0.19,21,TE,9.14.22,0,0,0,0,9,6,83,27,12.9,0.6,0,0.391,0,0.265,0.45,0.333,58.3,30.3,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7400tem,80468-52436,TE,m,Mark Andrews,andrews,7.699999809,1,7400,MIA@BAL,BAL,MIA,,,,,,TE/FLEX,ryland,ryland,mark,andrews7400tem
arizona3600,37.12,Arizona,3600,ARI,@LV,,,5.16,10.8,-0.5,0.07,1.4,1.3,5.09,-3,0.46,0,0,1,0,0.3,2.5,0,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,6.45,0,0,0,0,0,0,0,0,0,0,0,0,2.3,100,0,0,33,0,0.66,30,6.2,-0.9,-2400,0,0,76,0.38,0.19,21,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.3,0.5157,0.4774,0.0123,0.0426,7.17,11.27,5.8,4.09,0.1893,arizona,arizona,a,arizona3600,80468-12546,D,a,Arizona Cardinals,cardinals,-2,1,3600,ARI@LV,ARI,LV,,,,,,DEF,Cardinals,Cardinals,arizona,arizona3600
atlanta3200,52.43,Atlanta,3200,ATL,@LA,,,4.86,10.1,-0.4,1.05,1.5,1.6,3.81,-5,0.35,0,0,1,0,0.4,2,0,18.3,28.3,0.8,10,46.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,4.07,0,0,0,0,0,0,0,0,0,0,0,0,6,-400,0,0,100,1,0,10,4.2,-0.6,-2800,0,0,84,0.47,0.15,19,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,0.5083,0.543,0.0117,0.0456,7.07,12.06,5.2,2.79,0.2176,atlanta,atlanta,a,atlanta3200,80468-12525,D,a,Atlanta Falcons,falcons,6,1,3200,ATL@LAR,ATL,LAR,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3200
atwell4700wrt,40.26,Tutu Atwell,4700,LA,ATL,,,2.01,3,1,-4.83,0.4,0.1,6.84,7,0.93,0,0,0,0,0.13,-0.3,4,28.3,18.3,-2.2,-10,46.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,-1300,0,0,0,0,0,23,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atwell,tutu atwell,t,atwell4700wrt,80468-92976,WR,t,Tutu Atwell,atwell,0,1,4700,ATL@LAR,LAR,ATL,,,,,,WR/FLEX,ryland,ryland,tutu,atwell4700wrt
baltimore4500,52.9,Baltimore,4500,BAL,MIA,,,6.28,13.4,-0.8,-1.71,1.4,1.8,7.99,4,0.88,0,0,2,0,0.59,0.5,0,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,6.02,0,0,0,0,0,0,0,0,0,79,0.58,0,8.3,-300,0,0,100,0.33,0,30,6.2,-1.2,-1500,0,0,85,0.28,0.09,21,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.4,0.4938,0.4314,0.0098,0.0445,8.05,8.13,4.5,3.17,0.1923,baltimore,baltimore,b,baltimore4500,80468-12555,D,b,Baltimore Ravens,ravens,11,1,4500,MIA@BAL,BAL,MIA,,,,,,DEF,Ravens,Ravens,baltimore,baltimore4500
