,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah4700rba,36.09,Ameer Abdullah,4700,LV,@TEN,,,2.24,3,1.5,-3.69,0.5,0.1,5.93,-10,0.44,0,0,2,0,0.3,-3.9,21,23.8,21.8,1.3,-2,45.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3.2,0,0.46,0.94,0.38,0.06,79,0.66,0.04,2.8,200,2.8,0.28,50,0,0,40,4.9,-0.6,-1300,0.72,0.23,57,0.21,0.21,19,RB,9/21/2022,0,0.101,0.337,3,3,2,19,10,80,0.1,0,0,0.571,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,abdullah,ameer abdullah,a,abdullah4700rba,80801-27229,RB,a,Ameer Abdullah,abdullah,1.399999976,2,4700,LV@TEN,LV,TEN,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah4700rba
adams8700wrd,82.34,Davante Adams,8700,LV,@TEN,,,16.15,22.3,10,0.18,1.9,8,15.97,13,0.97,1,5.4,6,0,0.97,1,56,23.8,21.8,1.3,-2,45.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0.71,0.41,79,0.66,0.04,12.4,200,1.04,0.21,40,0.4,0.4,50,16.9,2.2,2700,1.53,0.3,52,0.34,0.3,23,WR,9/21/2022,0,0,0,0,11,7,95,30,12.5,0.8,0,0.385,0,0.325,0.351,0.348,57.9,38.4,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8700wrd,80801-45889,WR,d,Davante Adams,adams,16.64999962,2,8700,LV@TEN,LV,TEN,,,,,,WR/FLEX,ryland,ryland,davante,adams8700wrd
agholor5900wrn,47.53,Nelson Agholor,5900,NE,BAL,,,6.79,9.6,4,-2.79,1.2,0.9,9.58,1,0.84,1,0.4,0,0,0.08,6.7,43,20.8,23.3,-0.7,2.5,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,69,0.62,0.09,11,1000,2,0.33,75,0.5,0.25,40,6.9,-1.3,-100,1.54,0.16,56,0.21,0.26,23,WR,9/21/2022,0,0,0,0,4,2,34,19,13.6,0.2,0,0.167,0,0.14,0.136,0.141,22.2,24,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5900wrn,80801-29683,WR,n,Nelson Agholor,agholor,11.14999962,2,5900,BAL@NE,NE,BAL,,,,,,WR/FLEX,ryland,ryland,nelson,agholor5900wrn
akers5800rbc,65.02,Cam Akers,5800,LA,@ARI,,,7.7,10,5.4,-0.98,1.3,2.1,8.68,-3,0.69,0.33,1.2,1,0,0.94,-1.2,21,26,22.5,-0.8,-3.5,48.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0.522,0.39,0.11,0.06,0,0,0,7.2,-500,0.69,0.38,60,0.2,0,50,6.3,0,-200,0.87,0.3,24,0.08,0.04,25,RB,9/21/2022,0,0.156,0.324,5,1,1,7,4,5.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,akers,cam akers,c,akers5800rbc,80801-89230,RB,c,Cam Akers,akers,3.599999905,2,5800,LAR@ARI,LAR,ARI,,,,,,RB/FLEX,ryland,ryland,cam,akers5800rbc
alie-cox4600tem,65.7,Mo Alie-Cox,4600,IND,KC,,,3.94,5.6,2.2,-1.36,0.9,0.1,5.3,3,0.91,0,0,1,0,0.35,-1.6,36,22.5,28,-2.3,5.5,50.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.24,0.18,0,0,0,2.1,-200,0.85,0.06,75,0,0,40,4.7,-0.5,-1400,1.73,0.13,59,0.09,0.13,22,TE,9/21/2022,0,0,0,0,2,1,19,14,12.8,0.2,0,0.333,0,0.09,0.16,0.092,10.7,11.2,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox4600tem,80801-24533,TE,m,Mo Alie-Cox,alie-cox,2.5,2,4600,KC@IND,IND,KC,,,,,,TE/FLEX,ryland,ryland,mo,alie-cox4600tem
allen7500wrk,61.03,Keenan Allen,7500,LAC,JAX,,,10.05,13.8,6.3,-3.18,1.3,2.6,13.23,18,0.99,0,0,1,0,0.71,1.1,57,23,19.5,-7.3,-3.5,42.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.65,0.35,0,0,0,3.9,100,0.98,0.18,0,0,0.75,40,11.5,0,1500,1.11,0.2,50,0.13,0.31,22,WR,9/21/2022,0,0,0,0,9,6,66,23,10.3,0.4,0,0.286,0,0.243,0.167,0.229,47.2,27.8,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen7500wrk,80801-29253,WR,k,Keenan Allen,allen,8.600000381,1,7500,JAC@LAC,LAC,JAC,Q,Hamstring,,,,WR/FLEX,ryland,ryland,keenan,allen7500wrk
allen9000qbj,89.7,Josh Allen,9000,BUF,@MIA,,,25.9,37,14.8,3.18,2.9,14.3,22.72,1,0.83,1,7.4,2,0,0.84,2.1,66,29,24,1.7,-5,53,67,24,37,268,65,7.3,6.92,2.4,34,163.6,327.7,13.2,62.2,11.6,6.5,2.4,3.9,7,17,44,6.3,0.4,0.555,8.29,3.76,2,88,0.68,0.07,30.2,300,0.73,0.55,87,0.87,0,80,27.1,50,3000,0.59,0.41,85,0.77,0.03,27,QB,9/21/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen9000qbj,80801-62239,QB,j,Josh Allen,allen,31.57999992,2,9000,BUF@MIA,BUF,MIA,,,,,,QB,ryland,ryland,josh,allen9000qbj
allgeier4800rbt,63.17,Tyler Allgeier,4800,ATL,@SEA,,,5.78,7.5,4,-0.4,1.2,0.5,6.18,0,0.89,0,0,0,0,0.92,0.6,19,20.5,21.5,0.5,1,42,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,3,0,0,0,0,0,74,0.51,0,3,0,0.3,0.16,66,0,0,30,2.8,-0.8,-1200,0.28,0.15,50,0,0.25,40,RB,9/21/2022,0,0.333,0.311,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier4800rbt,80801-90428,RB,t,Tyler Allgeier,allgeier,3,1,4800,ATL@SEA,ATL,SEA,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier4800rbt
anderson5700wrr,65.41,Robbie Anderson,5700,CAR,NO,,,8.29,11.9,4.7,-0.83,1.5,2.8,9.12,8,0.93,0,0,2,0,0.76,-1,58,19.5,22,-1,2.5,41.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.38,0.25,76,0.56,0.06,6.7,400,1.03,0.13,40,0.4,0.4,50,7.1,-0.5,-300,0.98,0.12,52,0.23,0.28,21,WR,9/21/2022,0,0,0,0,7,3,34,16,9.8,0.3,0,0.5,0,0.213,0.385,0.179,22.5,27.9,0,0,0,0,0,0,0,0,0,0,anderson,robbie anderson,r,anderson5700wrr,80801-26251,WR,r,Robbie Anderson,anderson,10.69999981,2,5700,NO@CAR,CAR,NO,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5700wrr
andrews7700tem,85.85,Mark Andrews,7700,BAL,@NE,,,11.71,15.8,7.6,-0.84,1.5,10.6,12.55,1,0.91,1,1.9,8,0,0.83,-0.3,54,23.3,20.8,1.8,-2.5,44,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.65,0.18,69,0.62,0.09,17.8,-200,1.88,0.37,60,0.6,0.2,50,16.1,4.3,1700,1.67,0.3,69,0.43,0.17,23,TE,9/21/2022,0,0,0,0,9,6,84,26,12.7,0.6,0,0.391,0,0.271,0.4,0.333,59.9,31.1,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7700tem,80801-52436,TE,m,Mark Andrews,andrews,14.44999981,2,7700,BAL@NE,BAL,NE,,,,,,TE/FLEX,ryland,ryland,mark,andrews7700tem
