RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mackinnon10400cn,86.22,Nathan MacKinnon,10400,C,0,COL,TOR-JCampbell,18.88,23.6,14.2,-1.08,1.8,32.8,1,1,25,0,-12.3,7,0,2,3.7,3,-161,6.5,74,-133,18.4,2.8,54,11,25,95,28.1,71,0,14,7,0.43,1.03,1.46,20.71,4.23,4.22,4.68,0.9,0.1,0.52,4.73,17.86,12.21,12.75,0.14,0.38,3.85,1.3,1.49,0.87,0,0,0.29,0.65,0.59,0.06,3.64,0.38,1.63,2,21.48,5.59,5,6.63,0.75,0.08,0.75,5.75,16.88,16.63,0,0.75,4.2,1.13,21,6,5.33,0.67,7,1,21.72,3.28,0,1,44.92,49.56,43.22,39.09,46.63,3.55,0.33,2.5,0.27,47.5,39.2,39.88,46.8,3.88,0.29,2.4,0.08,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,mackinnon,nathan mackinnon,n,mackinnon10400cn
stephenson5800cc,84.32,C. Stephenson,5800,C,0,VGK,CHI-MFleury,9.52,12.1,7,-1,1.6,1.6,2,2,4,0,4.3,4,0,2,3.8,2.4,-250,6,92,-189,10,2.1,45,21,36,104,11.6,25,41,25,12,0.23,0.5,0.73,18.62,2.35,1.49,1.69,0.88,0.15,0.66,2.14,13.95,13.2,10.5,0.03,0.1,2.23,0.24,0.26,0.92,0.02,0.02,0.18,0.39,0.41,0.01,1.96,0.08,1,1.08,18.72,3.46,1.17,1.75,0.67,0.07,0.42,1.58,14.75,11,0.08,0.25,2.11,0.25,13,1.4,1,0.4,1.6,0.6,18.33,2.24,0.2,0,48.36,48.95,46.58,43.89,39.87,2.73,0.21,2.69,0.29,51.69,43.56,38.62,40.89,3,0.26,3.67,0.39,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,stephenson,c. stephenson,c,stephenson5800cc
barkov9400ca,82.42,Aleksander Barkov,9400,C,0,FLA,CAR-ALYON,15.55,19.5,11.6,-2.36,1.7,16,1,1,18,0,-6.3,0,0,2,3.3,3.3,-109,6.5,27,110,15.6,2.5,49,12,25,95,15.9,33,33,11,9,0.53,0.64,1.17,20.81,3.37,3.38,3.61,0.93,0.16,0.62,4,14.68,10.43,11.63,0.16,0.19,3.95,0.87,0.97,0.9,0.04,0,0.34,0.44,0.26,0.01,3.08,0.8,0.4,1.2,19.39,3.71,4,4.6,0.87,0.2,1.2,5.2,12,11.6,0.4,0.2,3.06,0.8,12,5.2,4,1.2,4.6,1.2,19.39,3.06,0.4,0.2,44.4,47.45,39.99,39.19,47.7,3.32,0.25,3.32,0.18,49.44,38.25,42.56,51,3.78,0.21,3.25,0,56.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,barkov,aleksander barkov,a,barkov9400ca
aho9200cs,81.84,Sebastian Aho,9200,C,0,CAR,FLA-SBobrovsky,15.12,19,11.3,-2.38,1.6,18.1,1,1,12,0,4,10,2,1,3.3,3.3,-109,6.5,73,-139,16.3,1.2,44,15,31,100,22.4,44,22,22,9,0.47,0.6,1.07,19.73,3.25,2.9,3.46,0.84,0.16,0.44,3.33,14.66,11.51,10.93,0.17,0.17,3.26,0.77,0.95,0.81,0.03,0.02,0.27,0.42,0.58,0.05,3.19,0.8,0.8,1.6,18.17,5.28,3.2,5,0.64,0.25,0.8,4,11,10.2,0.2,0.2,3.36,0.8,13.67,2.67,2.33,0.33,3.33,0.67,17.78,3.55,0,0.33,47.66,47.7,39.19,39.99,47.45,2.96,0.3,3,0.26,51,42.56,38.25,49.44,2.88,0.35,3,0.22,54.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,aho,sebastian aho,s,aho9200cs
granlund5300cm,81.03,Mikael Granlund,5300,C,0,NAS,ARI-KVejmelka,9.74,12.3,7.2,0.24,1.8,13.3,1,1,4,0,3.6,87,0,2,3.7,2.5,-230,6,79,-227,9.8,0.9,44,14,35,97,6.8,30,30,0,10,0.22,0.47,0.69,20.12,2.06,1.47,1.58,0.93,0.15,0.66,2.13,12.27,13.02,9.47,0.08,0.12,2.64,0.3,0.31,0.96,0,0,0.14,0.35,0.34,0.01,1.86,0,0.63,0.63,20.68,1.83,0.63,0.88,0.71,0,0.38,1,11.63,13.25,0,0.38,2.31,0,13.2,1.2,0.6,0.6,1,0,21.92,2.73,0,0.4,43.01,42.52,44.2,41.99,39.09,2.75,0.26,3.08,0.26,40.9,42.71,40.9,38.86,2.8,0.36,3.86,0.19,41.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,granlund,mikael granlund,m,granlund5300cm
karlsson4900cw,80.28,William Karlsson,4900,C,0,VGK,CHI-MFleury,10.65,13.4,7.9,1.97,2.2,6.4,1,1,6,0,2.1,77,0,2,3.8,2.4,-250,6,92,-189,9.4,0.7,39,13,36,104,8.9,50,41,16,12,0.23,0.43,0.67,18.54,2.17,1.91,2.1,0.91,0.12,0.56,2.46,14.59,11.47,10.33,0.02,0.08,2.45,0.32,0.38,0.85,0,0.01,0.21,0.34,0.12,0.01,2.72,0.23,0.31,0.54,18.58,1.74,1.77,2.62,0.68,0.13,0.54,2.31,14.31,10.08,0,0,2.36,0.08,15,3.2,2.4,0.8,4,0.6,18.96,3.17,0,0,48.36,48.95,46.58,43.89,39.87,2.73,0.21,2.69,0.29,51.69,43.56,38.62,40.89,3,0.26,3.67,0.39,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,karlsson,william karlsson,w,karlsson4900cw
trocheck5700cv,79.84,Vincent Trocheck,5700,C,0,CAR,FLA-SBobrovsky,12.95,16.3,9.6,2.63,2.3,3.2,2,1,6,0,-0.9,15,2,1,3.3,3.3,-109,6.5,73,-139,10.8,1.7,44,18,41,98,9,37,25,0,8,0.3,0.48,0.77,18.07,2.56,2.28,2.62,0.87,0.13,0.58,2.86,12.83,10.69,9.89,0.14,0.14,3.17,0.47,0.57,0.83,0,0,0.17,0.34,0.76,0.01,2.18,0.13,0.5,0.63,19.64,1.92,1.38,2.63,0.52,0.09,0.75,2.13,15.25,11.63,0,0.13,3.02,0.13,14.67,1,0.67,0.33,2,0.33,18.1,3.47,0,0,47.66,47.7,39.19,39.99,47.45,2.96,0.3,3,0.26,51,42.56,38.25,49.44,2.88,0.35,3,0.22,54.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,trocheck,vincent trocheck,v,trocheck5700cv
hughes8100cj,79.69,Jack Hughes,8100,C,0,NJD,CLB-JKorpisalo,11.23,14.1,8.3,-4.01,1.4,8,1,1,13,0,3.4,1,0,2,3.2,3.5,110,6.5,32,128,11.5,1.7,36,16,25,92,19.4,75,16,25,12,0.28,0.42,0.7,18.95,2.22,2.59,2.87,0.9,0.11,0.28,2.88,14.63,12.1,10.89,0.03,0.11,2.79,0.39,0.45,0.86,0,0,0.26,0.31,0.22,0.01,2.97,0.5,0.83,1.33,19.69,4.05,3.25,4.5,0.72,0.15,0.5,3.75,18.58,15.33,0.08,0.17,2.55,0.33,21,5,4.2,0.8,5.4,0.4,19.39,1.83,0.2,0.4,50.14,45.49,49.08,44.59,43.53,2.69,0.17,2.57,0.26,46,51.5,45.67,44.75,2.75,0.18,2.75,0.41,38.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,hughes,jack hughes,j,hughes8100cj
kadri9800cn,79.45,Nazem Kadri,9800,C,0,COL,TOR-JCampbell,9.65,12.2,7.1,-9.08,1,25.6,2,1,10,0,-1.1,0,0,2,3.7,3,-161,6.5,74,-133,12.1,1.7,40,13,40,95,13.1,28,28,0,7,0.27,0.62,0.88,16.97,3.11,2.99,3.45,0.87,0.09,0.29,3.28,13.99,10.67,9.99,0.09,0.19,3,0.7,0.88,0.8,0,0,0.17,0.43,0.91,0.01,2.4,0.33,1.5,1.83,17.81,6.17,2.33,4.5,0.52,0.14,0.17,2.5,13.67,9,0,0.5,4.4,0.67,14.67,2.33,2.33,0,5,1.67,17.18,3.15,0,0.33,44.92,49.56,43.22,39.09,46.63,3.55,0.33,2.5,0.27,47.5,39.2,39.88,46.8,3.88,0.29,2.4,0.08,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,kadri,nazem kadri,n,kadri9800cn
hartman7000cr,78.59,Ryan Hartman,7000,C,0,MIN,WAS-ZFucale,6.9,8.8,5,-6.08,1,4.8,1,1,9,0,-1.8,4,0,2,3.3,3.4,-100,6.5,37,110,10,3.4,51,29,25,94,14.3,50,12,12,8,0.27,0.31,0.58,16.38,2.12,2.23,2.82,0.79,0.12,0.65,2.88,11.77,12.28,8.91,0.01,0.05,1.83,0.31,0.45,0.69,0.01,0.01,0.25,0.24,0.75,0,2.57,0.29,0.71,1,21.17,2.83,3.14,5.43,0.58,0.09,0.43,3.57,11.86,14,0,0.29,3.81,0.43,12,3.5,3.5,0,7,2.5,24.16,6.16,0,0,38.63,40.77,41.3,44.43,43.86,3.07,0.22,2.66,0.22,37.14,40.78,44.14,46.78,4,0.25,2.78,0.16,41.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,hartman,ryan hartman,r,hartman7000cr
