RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
matthews10400ca,91.44,Auston Matthews,10400,C,0,TOR,MTL-JAllen,25.19,31.5,18.9,5.23,2.4,33.6,1,1,25,0,1,28,0,2,4.8,2.5,-372,7,70,-450,22.5,4.9,57,17,17,94,30.4,78,21,0,14,0.8,0.57,1.36,20.76,3.93,4.75,6.08,0.78,0.17,0.84,5.59,18.25,12.98,14.05,0.18,0.18,3.14,0.98,1.26,0.77,0,0,0.61,0.39,0.16,0.05,4.61,1.08,0.75,1.83,20.94,5.24,5.92,7.67,0.77,0.18,1.08,7,19.58,12,0.17,0.25,3.59,1.33,17.63,7.13,6.13,1,7.63,2.25,20.39,3.63,0.25,0.38,49.46,49.13,45.73,42.62,41.73,2.67,0.28,3.1,0.24,49.31,50.29,43.23,40.21,2.71,0.32,3.4,0.25,36.83,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,matthews,auston matthews,a,matthews10400ca
mcdavid10100cc,90.91,Connor McDavid,10100,C,0,EDM,COL-DKuemper,21.98,27.5,16.5,2.63,2.2,9.6,1,1,24,0,2.6,25,0,2,3.3,3.4,-104,6.5,52,123,22.6,3.8,64,13,18,90,27,85,7,0,14,0.59,1.05,1.65,22.33,4.43,3.9,4.71,0.83,0.15,0.36,4.26,19.36,14.48,14.66,0.12,0.46,3.74,0.93,1.11,0.84,0,0.01,0.47,0.58,0.52,0.08,4.08,0.87,1.07,1.93,21.18,5.47,4.53,5.93,0.76,0.19,0.2,4.73,19.73,14.6,0.13,0.4,3.37,0.73,19.86,5.86,5.86,0,7.29,0.86,20.91,2.8,0.14,0.29,47.93,47.11,43.13,43.01,48.9,2.9,0.28,2.85,0.22,50.57,45.92,46.29,48.92,2.8,0.29,2.92,0.11,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,mcdavid,connor mcdavid,c,mcdavid10100cc
zibanejad7800cm,86.93,Mika Zibanejad,7800,C,0,NYR,OTT-AForsberg,17.44,21.8,13.1,2.81,2.2,9.6,1,1,4,0,0,21,0,2,3.8,2.4,-247,6,82,-265,16.1,1.9,48,14,20,87,12.8,40,6,33,15,0.44,0.61,1.06,19.59,3.25,2.83,3.82,0.74,0.16,0.59,3.42,11,12.57,8.62,0.19,0.14,2.94,0.93,1.35,0.69,0.01,0.04,0.24,0.42,0.18,0.01,2.37,0.33,0.67,1,18.97,3.16,1.8,2.93,0.61,0.19,0.27,2.07,10.67,10.8,0.13,0,2.77,0.53,12.75,1.63,1.5,0.13,2.57,0.63,18.96,2.31,0,0,44.85,39.56,46.81,45.96,43.3,2.61,0.26,3.04,0.19,43.86,42.92,38.5,49.31,2.33,0.31,2.36,0.18,44.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,zibanejad,mika zibanejad,m,zibanejad7800cm
mackinnon9600cn,86.48,Nathan MacKinnon,9600,C,0,COL,EDM-MKOSKINEN,23.78,29.7,17.8,5.46,2.5,13.6,1,1,22,0,-0.9,9,2,1,3.4,3.3,-113,6.5,48,-148,19,2.6,46,10,25,96,20.1,46,7,23,13,0.51,0.91,1.42,21.28,4,4.72,5.68,0.83,0.11,0.56,5.28,18.27,14.55,13.19,0.14,0.35,3.78,1.21,1.57,0.77,0,0,0.37,0.56,0.6,0.04,3.94,0.5,0.83,1.33,21.46,3.72,4.25,5.58,0.76,0.12,0.25,4.5,18.92,17.17,0.08,0.33,3.52,1.08,19.67,4.5,4.33,0.17,6.17,1.5,21.39,3.14,0,0.17,48.81,48.9,43.01,43.13,47.11,3.35,0.28,3.01,0.22,48.92,46.29,45.92,50.57,2.85,0.35,3,0.16,50.17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,mackinnon,nathan mackinnon,n,mackinnon9600cn
lindholm8100ce,86.45,Elias Lindholm,8100,C,0,CGY,SEA-PGrubauer,17.35,21.8,12.9,2.11,2.1,3.2,1,1,5,0,0.6,25,0,2,3.7,2.4,-230,6,86,-196,15.7,2.1,56,10,20,88,15.3,53,6,20,15,0.55,0.45,1,19.82,3.03,2.75,3.43,0.8,0.2,0.62,3.37,14.8,11.55,11.46,0.12,0.11,2.73,0.51,0.69,0.73,0.01,0.01,0.42,0.33,0.22,0.02,2.74,0.6,0.27,0.87,19.03,2.74,2.87,3.36,0.85,0.21,0.8,3.67,14.73,13,0.13,0.07,2.43,0.6,14,3.5,2.88,0.63,3,0.75,19.61,3.1,0.13,0,49.95,50.96,42.13,40.24,42.65,2.84,0.22,2.74,0.25,56.86,44.27,41.79,46.73,2.6,0.23,3.25,0.21,47.67,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,lindholm,elias lindholm,e,lindholm8100ce
draisaitl9900cl,84.12,Leon Draisaitl,9900,C,0,EDM,COL-DKuemper,1.12,1.4,0.8,-17.82,0.1,9.6,2,1,19,0,-3,3,0,2,3.3,3.4,-104,6.5,52,123,20.4,2.3,52,13,25,90,23.7,71,7,14,14,0.68,0.76,1.44,22.93,3.77,3.6,4.69,0.77,0.19,0.32,3.92,16.57,15.37,12.26,0.3,0.23,3.84,1.28,1.72,0.74,0.01,0,0.37,0.53,0.55,0.04,3.44,0.86,0.71,1.57,21.43,4.4,4.43,6.38,0.69,0.19,0.71,5.14,16.21,15.71,0.21,0.14,3.52,1.36,15.33,6,5.5,0.5,7.8,1.83,19.51,2.91,0.33,0.17,47.93,47.11,43.13,43.01,48.9,2.9,0.28,2.85,0.22,50.57,45.92,46.29,48.92,2.8,0.29,2.92,0.11,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,draisaitl,leon draisaitl,l,draisaitl9900cl
stephenson5400cc,81.29,C. Stephenson,5400,C,0,VGK,ARI-KVejmelka,9.75,12.3,7.2,0.05,1.8,19.2,3,2,6,0,-0.7,7,0,3,4.2,2,-470,6,87,-385,10.3,1.4,44,19,33,100,11.5,57,28,42,14,0.23,0.5,0.73,19.21,2.28,1.56,1.83,0.86,0.15,0.61,2.17,14.02,13.9,10.41,0.03,0.1,2.28,0.28,0.33,0.85,0.02,0.02,0.18,0.39,0.32,0.02,1.81,0.21,0.71,0.93,19.64,2.84,1.64,2.07,0.79,0.13,0.29,1.93,14.64,15,0.14,0.14,2.45,0.71,16.6,2.2,1.6,0.6,2,0.6,20.31,2.36,0,0,51.47,49.6,47.93,45.06,39.16,2.64,0.19,2.93,0.27,49.86,57.64,46.57,37.21,2.79,0.18,2.47,0.3,41.71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,stephenson,c. stephenson,c,stephenson5400cc
larkin8700cd,81.13,Dylan Larkin,8700,C,0,DET,CLB-EMerzlikins,18.92,23.7,14.2,2.45,2.2,18.4,1,1,9,0,2.1,9,0,3,3.4,3.2,-124,6.5,68,114,13,1.3,47,7,30,84,12,35,0,28,14,0.44,0.52,0.96,19.72,2.92,2.93,3.86,0.76,0.15,0.42,3.36,13.99,14.46,10.61,0.08,0.11,2.9,0.53,0.78,0.68,0,0.01,0.36,0.4,0.77,0,3.11,0.21,0.5,0.71,21.07,2.02,2.93,3.79,0.77,0.07,0.36,3.29,15.36,14.57,0.07,0,2.79,0.36,13.86,3.57,2.86,0.71,4,1,20.79,3.83,0.14,0,44.48,40.01,49.17,47.73,44.3,2.75,0.17,2.84,0.21,43,46.14,47.5,42.29,2.93,0.17,3.27,0.27,47.14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,larkin,dylan larkin,d,larkin8700cd
tavares7600cj,81.01,John Tavares,7600,C,0,TOR,MTL-JAllen,17.18,21.6,12.8,2.96,2.3,15.2,2,1,9,0,2.4,7,0,2,4.8,2.5,-372,7,70,-450,14.2,0.6,51,9,32,94,15.2,50,21,28,14,0.38,0.63,1,17.99,3.33,3.02,4.13,0.73,0.12,0.53,3.56,14.56,13.28,11.05,0.13,0.17,2.87,0.85,1.14,0.75,0,0,0.25,0.45,0.36,0.01,2.94,0.43,0.57,1,17.89,3.35,2.79,4.14,0.67,0.15,0.5,3.29,13.5,12.21,0.21,0.29,3.25,0.93,10.88,3.88,3.25,0.63,4.88,1.75,18.06,3.64,0.38,0.5,49.46,49.13,45.73,42.62,41.73,2.67,0.28,3.1,0.24,49.31,50.29,43.23,40.21,2.71,0.32,3.4,0.25,36.83,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,tavares,john tavares,j,tavares7600cj
kerfoot4900ca,80.25,Alexander Kerfoot,4900,C,0,TOR,MTL-JAllen,10.24,12.9,7.6,1.56,2.1,11.2,2,0,1,0,2.4,3,0,2,4.8,2.5,-372,7,70,-450,9.3,1.8,43,26,38,93,9.8,42,14,42,14,0.16,0.46,0.62,15.29,2.43,1.42,1.83,0.78,0.11,0.77,2.19,11.71,11.61,8.93,0,0.03,0.26,0.02,0.05,0.4,0,0.03,0.16,0.4,0.21,0.04,2,0.21,0.36,0.57,14.74,2.32,1.64,1.85,0.89,0.13,1,2.64,11.5,12.43,0,0,0.02,0,11.75,2.5,1.88,0.63,2.14,0.13,14.93,0.03,0,0,49.46,49.13,45.73,42.62,41.73,2.67,0.28,3.1,0.24,49.31,50.29,43.23,40.21,2.71,0.32,3.4,0.25,36.83,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,kerfoot,alexander kerfoot,a,kerfoot4900ca
