,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
acciari4000cn,51.55,Noel Acciari,4000,C,0,STL,CGY-JMarkstrom,6.62,8.4,4.8,-0.21,1.7,3,0,1,0,2.5,72,0,2,2.7,3.5,143,6,49,122,6.8,0.3,44,19,28,97,6,53,15,46,13,0.17,0.17,0.34,12.95,1.57,1.24,1.75,0.71,0.14,0.92,2.15,8.99,10.44,6.97,0,0,0.14,0.01,0.01,1,0,0.03,0.17,0.14,0.3,0.04,1.26,0.07,0.21,0.29,14.36,1.21,0.79,1.08,0.73,0.09,1,1.79,8.08,12.42,0,0,0.08,0.08,8.71,1.71,0.71,1,1.14,0.14,16.36,0.09,0,0,39.65,40.11,39.62,47.85,52.1,2.94,0.27,3.3,0.18,37.54,39.55,47.08,54.55,2.92,0.34,2.6,0.27,53.8,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,acciari,n,acciari4000cn,85900-62861,C,n,Noel Acciari,acciari,7.733333043,42,4000,CGY@STL,STL,CGY,,,,,,C/UTIL,acciari4000cn
addison4300dc,48.5,Calen Addison,4300,D,0,MIN,NYI-I.Sorokin,6.88,8.7,5,-1.35,1.6,3,1,1,0,-3.9,61,0,2,2.9,2.8,-114,5.5,35,-114,7,-0.6,21,10,28,90,8.3,36,27,63,11,0.08,0.42,0.5,16.14,1.86,1.27,1.77,0.72,0.07,0.56,1.83,11.98,10.51,9.04,0,0.31,3.37,0.33,0.41,0.79,0,0,0.08,0.1,0.38,0,1.35,0.08,0.38,0.46,16.13,1.71,1.46,2.17,0.67,0.05,0.54,2,11.83,9.08,0,0.31,3.81,0.67,12,2.5,2,0.5,2.83,1.17,16.41,3.29,0,0.5,46.54,44.26,48.12,41.89,42.75,3.18,0.24,2.78,0.17,43.33,47.33,42,43.42,3.08,0.22,2.91,0.22,42.17,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,addison,c,addison4300dc,85900-97055,D,c,Calen Addison,addison,7.80256379,39,4300,MIN@NYI,MIN,NYI,,,,,,D/UTIL,addison4300dc
aho4000ds,47.35,Sebastian Aho,4000,D,0,NYI,MIN-F.Gustavsson,15.95,20.1,11.8,8.37,4,2,2,1,0,-3.7,17,0,2,2.8,2.9,-105,5.5,65,-105,4.5,-1,38,16,40,97,6.6,76,23,23,13,0.08,0.21,0.29,16.16,1.08,1.05,0,0,0.08,1,2.05,0,0,0,0,0.02,0,0,0,0,0,0,0.08,0.19,0.25,0,1.45,0.08,0.15,0.23,19.91,0.69,1.46,0,0,0.05,1.31,2.77,0,0,0,0,0,0,0,3.5,1.83,1.67,0,0,19.5,0,0,0,44.05,42.75,41.89,48.12,44.26,2.66,0.22,3.26,0.26,43.42,42,47.33,43.33,2.45,0.11,3.75,0.22,47.5,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,aho,s,aho4000ds,85900-82154,D,s,Sebastian Aho,aho,5.452631499,38,4000,MIN@NYI,NYI,MIN,,,,,,D/UTIL,aho4000ds
aho7300cs,88.08,Sebastian Aho,7300,C,0,CAR,CLB-JKorpisalo,15.84,19.8,11.8,2.24,2.2,1,2,9,0,0,60,0,2,4.3,2.4,-327,6.5,91,-330,13.9,-1.4,63,22,29,102,12.5,28,14,28,14,0.4,0.51,0.91,19.15,2.85,2.67,3.94,0.68,0.15,0.33,3,13.57,10.97,10.44,0.1,0.19,3.21,0.6,1.06,0.56,0.03,0.02,0.27,0.3,0.6,0.05,2.95,0.25,0.5,0.75,19.3,2.33,2.63,4,0.66,0.1,0.38,3,13.57,8,0,0.38,4.2,0.43,13,3.17,2.67,0.5,4,1,20.15,4.34,0,0.5,51.51,51.49,50.36,38.01,43.51,3.12,0.2,3.08,0.23,51.62,50.46,34.38,43.77,3.75,0.27,3.17,0.34,43.29,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,aho,s,aho7300cs,85900-73946,C,s,Sebastian Aho,aho,14.68529376,34,7300,CAR@CBJ,CAR,CBJ,,,,,,C/UTIL,aho7300cs
alexandrov3100cn,33.91,Nikita Alexandrov,3100,C,0,STL,CGY-JMarkstrom,3.6,4.6,2.6,-1.38,1.2,4,0,0,0,-2.7,86,0,2,2.7,3.5,143,6,49,122,5.3,0,10,4,8,69,8.6,40,40,60,5,0.15,0.15,0.31,8.74,2.13,1,1.15,0.87,0.15,0.38,1.38,6.62,8.15,5,0,0,0.03,0,0,0,0,0,0.15,0.15,0.15,0,1.06,0.4,0.2,0.6,7.88,4.57,1.2,1.4,0.86,0.33,0.2,1.4,6.4,7.2,0,0,0,0,6.4,1.4,1.2,0.2,1.4,0,7.88,0,0,0,39.65,40.11,39.62,47.85,52.1,2.94,0.27,3.3,0.18,37.54,39.55,47.08,54.55,2.92,0.34,2.6,0.27,53.8,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,alexandrov,n,alexandrov3100cn,85900-113932,C,n,Nikita Alexandrov,alexandrov,5.257142748,14,3100,CGY@STL,STL,CGY,,,,,,C/UTIL,alexandrov3100cn
amadio5300wm,66.78,Michael Amadio,5300,W,0,VGK,FLA-S.Bobrovsky,6.67,8.5,4.8,-2.94,1.3,1,0,1,0,1.9,34,0,5,3.4,3.3,-115,6.5,64,-134,5.8,-0.1,35,20,43,85,11.2,66,41,33,12,0.23,0.15,0.38,12.45,1.83,1.25,1.55,0.81,0.19,0.3,1.55,12.75,10.61,9.13,0.02,0,0.24,0.03,0.03,1,0,0,0.22,0.15,0.35,0,2.06,0.42,0.33,0.75,14.28,3.15,2.08,2.55,0.82,0.2,0.08,2.17,15.2,10.7,0.08,0,0.75,0.09,16.2,1.6,1.4,0.2,2,0.2,14.74,1.25,0,0,46.04,49.71,40.62,47.23,50.58,2.68,0.22,3.54,0.24,48.45,44.85,42.82,44.62,2.5,0.4,3.42,0.34,42.29,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,amadio,m,amadio5300wm,85900-59142,W,m,Michael Amadio,amadio,6.932143075,28,5300,FLA@VGK,VGK,FLA,,,,,,W/UTIL,amadio5300wm
anderson4700wj,63.06,Josh Anderson,4700,W,0,MTL,NAS-J.Saros,10.27,13,7.6,1.83,2.2,2,2,6,0,-2.3,12,0,3,2.9,3.8,145,6.5,31,130,8.3,0.1,54,25,40,87,8.1,69,30,30,13,0.28,0.12,0.4,16.59,1.45,2.06,3,0.69,0.13,0.57,2.63,12,13.44,8.86,0.05,0,1.92,0.29,0.44,0.67,0,0,0.23,0.12,1.04,0,2.61,0.29,0.07,0.36,16.84,1.28,2.29,3.5,0.65,0.12,0.79,3.07,9,11.54,0.07,0,1.94,0.43,9,3.43,2.43,1,3.86,0.71,15.88,2.17,0.14,0,45.15,40.96,47.02,46.07,43.73,3.12,0.16,3.5,0.24,37.92,51.46,46.31,44.85,3,0.17,3.42,0.2,42,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,anderson,j,anderson4700wj,85900-42772,W,j,Josh Anderson,anderson,8.333333333,39,4700,NSH@MON,MON,NSH,,,,,,W/UTIL,anderson4700wj
andersson6900dr,78.65,Rasmus Andersson,6900,D,0,CGY,STL-T.Greiss,10.84,13.6,8.1,-2.98,1.6,1,1,9,0,-3.1,4,0,2,3.5,2.7,-171,6,51,-146,11.5,0,66,27,33,103,11.2,69,15,30,13,0.12,0.54,0.66,23.56,1.68,2.01,2.86,0.7,0.06,1.49,3.5,18.53,15.62,14.71,0.03,0.22,2.96,0.46,0.69,0.67,0.01,0.01,0.08,0.31,0.5,0,1.68,0.07,0.5,0.57,25.66,1.33,2,2.92,0.69,0.04,1.86,3.86,20.33,15.75,0,0.21,3.39,0.58,20.2,3.67,1.83,1.83,2.8,1.2,24.99,2.75,0,0.33,50.94,52.1,47.85,39.62,40.11,3.04,0.21,2.61,0.22,54.55,47.08,39.55,37.54,2.8,0.21,3.25,0.18,35.71,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,andersson,r,andersson6900dr,85900-66688,D,r,Rasmus Andersson,andersson,11.81666638,42,6900,CGY@STL,CGY,STL,,,,,,D/UTIL,andersson6900dr
armia3700wj,56.84,Joel Armia,3700,W,0,MTL,NAS-J.Saros,9.31,11.8,6.8,2.82,2.5,3,2,3,0,-2.2,51,0,3,2.9,3.8,145,6.5,31,130,6,-0.1,45,13,21,87,6.7,69,15,23,13,0.13,0.12,0.25,14.13,1.06,1.73,2.34,0.74,0.08,0.55,2.28,10.28,11.02,7.4,0.02,0.02,0.84,0.23,0.27,0.88,0.02,0,0.1,0.1,0.3,0,1.74,0.23,0.08,0.31,14.32,1.3,1.54,2.23,0.69,0.15,0.77,2.31,8.75,11.75,0,0,0.81,0.46,9.67,2,1.33,0.67,2,0,15.31,0.45,0,0,45.15,40.96,47.02,46.07,43.73,3.12,0.16,3.5,0.24,37.92,51.46,46.31,44.85,3,0.17,3.42,0.2,42,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,armia,j,armia3700wj,85900-42983,W,j,Joel Armia,armia,5.931034483,29,3700,NSH@MON,MON,NSH,,,,,,W/UTIL,armia3700wj
asplund3200cr,58.25,Rasmus Asplund,3200,C,0,BUF,WPG-CHellebuyck,4.62,5.9,3.3,-0.57,1.4,2,0,1,0,-3.4,82,0,2,3.2,3.5,111,6.5,44,108,5.2,-0.9,40,17,38,86,6.4,9,9,18,11,0.07,0.22,0.3,12.67,1.42,1.4,1.88,0.75,0.05,0.21,1.61,9.71,9.05,7.5,0,0.01,0.42,0.06,0.09,0.67,0.01,0,0.06,0.21,0.09,0.01,1.5,0,0.67,0.67,11.68,3.44,0.67,1,0.67,0,0,0.67,6,13,0,0,0,0,9,1,1,0,2,0,12.9,0,0,0,44.12,43.1,46.21,42.66,43.76,3.19,0.26,2.86,0.21,43.18,43.92,44.45,45.83,3.27,0.31,2.82,0.26,50,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,asplund,r,asplund3200cr,85900-84403,C,r,Rasmus Asplund,asplund,5.28333346,24,3200,WPG@BUF,BUF,WPG,,,,,,C/UTIL,asplund3200cr
