Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nathan MacKinnon (26346896),Nathan MacKinnon,26346896,C/UTIL,9200,FLA@COL 01/10/2023 09:30PM ET,COL,19.22
C,Tage Thompson (26346898),Tage Thompson,26346898,C/UTIL,9000,SEA@BUF 01/10/2023 07:00PM ET,BUF,19.02
LW,Jason Robertson (26347124),Jason Robertson,26347124,W/UTIL,8600,DAL@NYI 01/10/2023 07:30PM ET,DAL,17.43
G,Andrei Vasilevskiy (26347966),Andrei Vasilevskiy,26347966,G,8500,CLS@TB 01/10/2023 07:00PM ET,TB,15.64
RW,Nikita Kucherov (26347126),Nikita Kucherov,26347126,W/UTIL,8400,CLS@TB 01/10/2023 07:00PM ET,TB,15.76
G,Tristan Jarry (26347967),Tristan Jarry,26347967,G,8400,VAN@PIT 01/10/2023 07:00PM ET,PIT,16.79
G,Brian Elliott (26347970),Brian Elliott,26347970,G,8300,CLS@TB 01/10/2023 07:00PM ET,TB,13.61
G,Jacob Markstrom (26347968),Jacob Markstrom,26347968,G,8300,CGY@STL 01/10/2023 08:00PM ET,CGY,9.78
G,Dan Vladar (26347969),Dan Vladar,26347969,G,8300,CGY@STL 01/10/2023 08:00PM ET,CGY,11.96
G,Casey DeSmith (26347972),Casey DeSmith,26347972,G,8200,VAN@PIT 01/10/2023 07:00PM ET,PIT,13.33
G,Pyotr Kochetkov (26347971),Pyotr Kochetkov,26347971,G,8200,NJ@CAR 01/10/2023 07:00PM ET,CAR,14.41
RW,Matthew Tkachuk (26347128),Matthew Tkachuk,26347128,W/UTIL,8200,FLA@COL 01/10/2023 09:30PM ET,FLA,15.56
G,Alexandar Georgiev (26347973),Alexandar Georgiev,26347973,G,8100,FLA@COL 01/10/2023 09:30PM ET,COL,15.73
LW,Timo Meier (26347130),Timo Meier,26347130,W/UTIL,8100,SJ@ARI 01/10/2023 09:00PM ET,SJ,16.21
LW,Kirill Kaprizov (26347132),Kirill Kaprizov,26347132,W/UTIL,8000,MIN@NYR 01/10/2023 07:00PM ET,MIN,16.53
G,Antti Raanta (26347974),Antti Raanta,26347974,G,8000,NJ@CAR 01/10/2023 07:00PM ET,CAR,10.88
G,James Reimer (26347975),James Reimer,26347975,G,8000,SJ@ARI 01/10/2023 09:00PM ET,SJ,10.95
G,Kaapo Kahkonen (26347976),Kaapo Kahkonen,26347976,G,8000,SJ@ARI 01/10/2023 09:00PM ET,SJ,7.37
