entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3036657619,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-161910,85900-58332,85900-55375,85900-66737,85900-70199,85900-82174,85900-70483,85900-8495,85900-83235,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3036657620,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-62445,85900-73946,85900-146131,85900-21523,85900-62195,85900-70199,85900-59209,85900-73885,85900-11301,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3036657621,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41592,85900-97108,85900-161390,85900-59276,85900-41394,85900-54521,85900-66611,85900-82045,85900-83235,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3036657622,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-70279,85900-42772,85900-58880,85900-103032,85900-85132,85900-66737,85900-70483,85900-15339,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3036657623,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-81983,85900-66737,85900-70483,85900-14178,85900-41394,85900-82006,85900-79820,85900-83235,,,,,,,,,,,,,,,,,,,
3036657624,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-23041,85900-82850,85900-153812,85900-70904,85900-41394,85900-66759,85900-74155,85900-97147,85900-15400,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3036657625,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-73946,85900-82850,85900-104140,85900-12439,85900-59135,85900-70199,85900-146131,85900-59276,85900-83235,,85900-59218:David Pastrnak,85900-59218,W,David,David Pastrnak,Pastrnak,23.81999969,40,10500,SEA@BOS,BOS,SEA,,,,,,W/UTIL
3036657626,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-58332,85900-70279,85900-104016,85900-70483,85900-103523,85900-68655,85900-81983,85900-73940,85900-149734,,85900-70924:Tage Thompson,85900-70924,C,Tage,Tage Thompson,Thompson,22.49230801,39,10400,WPG@BUF,BUF,WPG,,,,,,C/UTIL
3036657628,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-59261,85900-62445,85900-55375,85900-70483,85900-39261,85900-41394,85900-70279,85900-8655,85900-83235,,85900-41391:Nathan MacKinnon,85900-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.27857099,28,10300,COL@CHI,COL,CHI,,,,,,C/UTIL
3036657629,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-62445,85900-12728,85900-39253,85900-62195,85900-73909,85900-70125,85900-70905,85900-83235,,85900-82170:Jason Robertson,85900-82170,W,Jason,Jason Robertson,Robertson,20.90238153,42,10100,DAL@NYR,DAL,NYR,,,,,,W/UTIL
