RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arizona3500,59.6,Arizona,3500,ARI,CLE,,,7.3,14,0.8,3.23,2.1,3,5,4.07,-8,0.41,0,0,1,0,0.69,-0.6,0,23,26,0.7,3,49,36,0,0,0,0,0,0,0,0,0,0,0,0,1.24,7.64,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0.66,0.33,30,4.8,0.6,-2500,0,0,77,0.33,0.22,18,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5595,0.4968,0.0069,0.0486,8.26,10.69,5.25,3.25,0.2105,arizona,arizona,a,arizona3500,41460-12546,D,a,Arizona Cardinals,cardinals,4.076923077,13,3500,CLE@ARI,ARI,CLE,,,,,,Cardinals,Cardinals,arizona,arizona3500
atlanta3500,59.31,Atlanta,3500,ATL,@SF,,,5.5,14.8,0.8,1.43,1.6,0.5,11,4.07,4,0.87,0,0,1,0,0.61,0.6,0,19.8,30.3,2,10.5,50,39,0,0,0,0,0,0,0,0,0,0,0,0,2.79,5.75,0,0,0,0,0,0,0,0,0,56,0.54,0,8.2,0,0,0,60,0.4,0.4,50,5.4,1.1,-2500,0,0,57,0.28,0.42,21,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5279,0.4856,0.0162,0.0444,7.75,10.44,5.6,3.54,0.2096,atlanta,atlanta,a,atlanta3500,41460-12525,D,a,Atlanta Falcons,falcons,4.923076923,13,3500,ATL@SF,ATL,SF,,,,,,Falcons,Falcons,atlanta,atlanta3500
carolina3200,69.95,Carolina,3200,CAR,SEA,,,6,13.1,0.9,2.89,1.9,3,3,3.11,-14,0.25,0,0,1,0,0.82,5.5,0,21.3,27.3,-0.2,6,48.5,18,0,0,0,0,0,0,0,0,0,0,0,0,2.77,9.59,0,0,0,0,0,0,0,0,0,55,0.57,0.01,2,-500,0,0,75,0,0.25,40,7.6,2.2,-2800,0,0,95,0.5,0.05,20,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4852,0.5307,0.0156,0.0476,7.17,9.44,4.4,2.36,0.2517,carolina,carolina,c,carolina3200,41460-12553,D,c,Carolina Panthers,panthers,7.461538462,13,3200,SEA@CAR,CAR,SEA,,,,,,Panthers,Panthers,carolina,carolina3200
chicago3800,62.9,Chicago,3800,CHI,@GB,,,6,14,0.9,0.97,1.6,0.5,1,5.03,-6,0.65,0,0,2,0,0.61,0,0,18,22,0,4,40,43,0,0,0,0,0,0,0,0,0,0,0,0,1.68,6.7,0,0,0,0,0,0,0,0,0,17,0.69,0.04,4,-400,0,0,100,0,0,70,7.8,-0.5,-2200,0,0,96,0.3,0.03,26,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.474,0.4609,0.0103,0.0296,6.49,8.81,4.33,2.43,0.1702,chicago,chicago,c,chicago3800,41460-12527,D,c,Chicago Bears,bears,7.230769231,13,3800,CHI@GB,CHI,GB,,,,,,Bears,Bears,chicago,chicago3800
cincinnati3000,64.88,Cincinnati,3000,CIN,NE,,,5.7,12.7,0.8,3.24,1.9,0.5,1,2.46,-11,0.34,0,0,2,0,0.73,1.8,0,15.8,26.3,0.5,10.5,42,18,0,0,0,0,0,0,0,0,0,0,0,0,1.56,5.27,0,0,0,0,0,0,0,0,0,38,0.54,0.03,8,0,0,0,100,1,0,40,50,0.1,-3000,0,0,81,0.45,0.18,22,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.4941,0.5083,0.0081,0.0372,8.19,9.93,5.64,3.36,0.1678,cincinnati,cincinnati,c,cincinnati3000,41460-12528,D,c,Cincinnati Bengals,bengals,4.153846154,13,3000,NE@CIN,CIN,NE,,,,,,Bengals,Bengals,cincinnati,cincinnati3000
cleveland4400,74.19,Cleveland,4400,CLE,@ARI,,,7.5,15.1,1.4,0.54,1.7,0.5,-2,6.96,7,0.92,0,0,1,0,0.76,2.5,0,26,23,1.7,-3,49,64,0,0,0,0,0,0,0,0,0,0,0,0,2.69,8.46,0,0,0,0,0,0,0,0,0,0,0,0,7.7,-100,0,0,100,0.66,0,30,8.2,10,-1600,0,0,95,0.45,0.04,22,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4788,0.4682,0.0146,0.0385,7.04,9.4,4.79,2.58,0.1915,cleveland,cleveland,c,cleveland4400,41460-12529,D,c,Cleveland Browns,browns,6.923076923,13,4400,CLE@ARI,CLE,ARI,,,,,,Browns,Browns,cleveland,cleveland4400
dallas3400,75.74,Dallas,3400,DAL,LA,,,6.7,14.9,1.5,2.95,2,3,4,3.75,6,0.7,0,0,1,0,0.83,3.1,0,23.8,24.8,-1.7,1,48.5,26,0,0,0,0,0,0,0,0,0,0,0,0,1.08,6.83,0,0,0,0,0,0,0,0,0,0,0,0,4.5,-700,0,0,100,0.33,0,60,7.4,-0.5,-2600,0,0,73,0.4,0.26,30,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5108,0.4896,0.0062,0.0375,70,11.44,6.27,3.54,0.1639,dallas,dallas,d,dallas3400,41460-12530,D,d,Dallas Cowboys,cowboys,6.615384615,13,3400,LAR@DAL,DAL,LAR,,,,,,Cowboys,Cowboys,dallas,dallas3400
denver3800,51.34,Denver,3800,DEN,@KC,,,6,13.6,0.9,0.97,1.6,0.5,5,5.03,-6,0.49,0,0,2,0,0.25,-0.7,0,16.5,26.5,-1,10,43,52,0,0,0,0,0,0,0,0,0,0,0,0,2.33,6.81,0,0,0,0,0,0,0,0,0,27,0.85,0.26,9,100,0,0,100,0.75,0,40,5.9,-0.4,-2200,0,0,60,0.4,0.4,20,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4767,0.4776,0.0126,0.0312,6.82,80,4.29,2.64,0.1406,denver,denver,d,denver3800,41460-12531,D,d,Denver Broncos,broncos,6.769230769,13,3800,DEN@KC,DEN,KC,,,,,,Broncos,Broncos,denver,denver3800
detroit4100,66.84,Detroit,4100,DET,TB,,,7.6,14.8,1.4,1.6,1.9,6.5,3,6,-10,0.42,0,0,1,0,0.25,1.1,0,20.3,25.8,-1.2,5.5,46,37,0,0,0,0,0,0,0,0,0,0,0,0,1.05,5.4,0,0,0,0,0,0,0,0,0,0,0,0,3,500,0,0,80,0,0.2,50,5.6,0.1,-1900,0,0,82,0.39,0.17,23,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4843,0.4785,0.006,0.0414,7.58,10.53,5.33,3.85,0.2089,detroit,detroit,d,detroit4100,41460-12532,D,d,Detroit Lions,lions,5.307692308,13,4100,TB@DET,DET,TB,,,,,,Lions,Lions,detroit,detroit4100
green bay4200,71.36,Green Bay,4200,GB,CHI,,,8.3,14.6,1.1,1.98,2,6.5,13,6.32,-8,0.39,0,0,4,0,0.73,-1.2,0,22,18,-1,-4,40,57,0,0,0,0,0,0,0,0,0,0,0,0,2.47,6.83,0,0,0,0,0,0,0,0,0,17,0.69,0.04,3.8,700,0,0,50,0.25,0.5,40,5.1,-1.5,-1800,0,0,68,0.36,0.32,25,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5161,0.5302,0.0137,0.0428,8.09,10.31,4.87,3.42,0.1879,bay,green bay,g,green bay4200,41460-12533,D,g,Green Bay Packers,packers,6.461538462,13,4200,CHI@GB,GB,CHI,,,,,,Bay,Bay,green bay,green bay4200
