RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3200,0,Arizona,3200,ARI,CAR,,,7.4,15.9,1.2,4.29,2.3,3,0,3.11,0,0.88,0,0,3,0,1,5.7,0,24.3,21.8,2.8,-2.5,46,66,0,0,0,0,0,0,0,0,0,0,0,0,1.14,8.37,0,0,0,0,0,0,0,0,0,0,0,0,5.7,-400,0,0,100,0.33,0,30,6.9,1.9,-2800,0,0,94,0.41,0.05,17,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5247,0.52,0.0059,0.0429,6.93,8.25,3.88,2.83,0.2197,arizona,arizona,a,arizona3200,38547-12546:Arizona Cardinals,38547-12546,D,a,Arizona Cardinals,cardinals,4.5,2,3200,CAR@ARI,ARI,CAR,,,,Cardinals,Cardinals,arizona,arizona3200
atlanta3800,0,Atlanta,3800,ATL,@IND,,,6.6,14.9,1.5,1.57,1.7,0.5,1,5.03,0,0.88,0,0,2,0,0.82,-2.6,0,23.5,24.5,1.2,1,48,58,0,0,0,0,0,0,0,0,0,0,0,0,2.31,5.86,0,0,0,0,0,0,0,0,0,0,0,0,5.3,300,0,0,66,0.33,0.33,30,4.9,0.8,-2200,0,0,76,0.28,0.23,21,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5346,0.5272,0.0132,0.0517,7.63,11.19,5.53,30,0.2179,atlanta,atlanta,a,atlanta3800,38547-12525:Atlanta Falcons,38547-12525,D,a,Atlanta Falcons,falcons,5,2,3800,ATL@IND,ATL,IND,,,,Falcons,Falcons,atlanta,atlanta3800
baltimore3400,0,Baltimore,3400,BAL,@KC,,,6,13.6,0.7,2.25,1.8,0.5,0,3.75,0,0.49,0,0,1,0,0.81,-1.2,0,23.8,28.3,0,4.5,52,36,0,0,0,0,0,0,0,0,0,0,0,0,1.74,6.45,0,0,0,0,0,0,0,0,0,73,0.85,0.57,8.3,-1600,0,0,100,0.33,0,30,8.9,1.4,-2600,0,0,87,0.41,0.12,24,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.453,0.4404,0.0111,0.0344,6.67,7.87,40,2.7,0.2119,baltimore,baltimore,b,baltimore3400,38547-12555:Baltimore Ravens,38547-12555,D,b,Baltimore Ravens,ravens,8.5,2,3400,BAL@KC,BAL,KC,,,,Ravens,Ravens,baltimore,baltimore3400
buffalo4600,0,Buffalo,4600,BUF,CIN,,,8.3,14.3,1.3,0.69,1.8,3,11,7.61,0,0.49,0,0,3,0,0.73,-0.3,0,24.5,19,1,-5.5,43.5,51,0,0,0,0,0,0,0,0,0,0,0,0,3.12,6.24,0,0,0,0,0,0,0,0,0,81,0.56,0.02,9.5,600,0,0,100,0.5,0,40,8.2,2.7,-1400,0,0,95,0.5,0.05,20,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4776,0.4798,0.0172,0.0343,5.86,6.94,3.75,2.93,0.2523,buffalo,buffalo,b,buffalo4600,38547-12526:Buffalo Bills,38547-12526,D,b,Buffalo Bills,bills,8,2,4600,CIN@BUF,BUF,CIN,,,,Bills,Bills,buffalo,buffalo4600
carolina3700,0,Carolina,3700,CAR,@ARI,,,7.8,15.8,1.5,3.09,2.1,0.5,13,4.71,0,0.97,0,0,1,0,0.8,1.8,0,21.8,24.3,-2.2,2.5,46,34,0,0,0,0,0,0,0,0,0,0,0,0,2.24,5.41,0,0,0,0,0,0,0,0,0,0,0,0,7,200,0,0,100,0.33,0,30,5.7,0,-2300,0,0,90,0.47,0.09,21,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4944,0.4529,0.013,0.0484,7.49,8.63,4.29,2.42,0.2391,carolina,carolina,c,carolina3700,38547-12553:Carolina Panthers,38547-12553,D,c,Carolina Panthers,panthers,5,2,3700,CAR@ARI,CAR,ARI,,,,Panthers,Panthers,carolina,carolina3700
cincinnati3400,0,Cincinnati,3400,CIN,@BUF,,,6.8,12.6,0.6,3.05,2,0.5,5,3.75,0,0.32,0,0,2,0,0.8,0.7,0,19,24.5,0.5,5.5,43.5,49,0,0,0,0,0,0,0,0,0,0,0,0,1.72,5.17,0,0,0,0,0,0,0,0,0,81,0.56,0.02,3.7,300,0,0,66,0.33,0.33,30,4.6,-0.1,-2600,0,0,57,0.33,0.42,21,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5364,0.5347,0.0089,0.0543,8.43,10.4,5.29,2.85,0.2564,cincinnati,cincinnati,c,cincinnati3400,38547-12528:Cincinnati Bengals,38547-12528,D,c,Cincinnati Bengals,bengals,2,2,3400,CIN@BUF,CIN,BUF,,,,Bengals,Bengals,cincinnati,cincinnati3400
dallas5000,0,Dallas,5000,DAL,MIA,,,11.5,15.5,1.3,2.61,2.3,18.5,12,8.89,0,0.14,0,0,4,0,0.82,11.8,0,34.3,12.3,0.3,-22,46.5,67,0,0,0,0,0,0,0,0,0,0,0,0,1.62,5.39,0,0,0,0,0,0,0,0,0,0,0,0,14,300,0,0,75,0.5,0.25,40,6.6,-0.8,-1000,0,0,80,0.46,0.19,26,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5422,0.4519,0.0096,0.0382,7.32,10.13,5.87,2.86,0.1776,dallas,dallas,d,dallas5000,38547-12530:Dallas Cowboys,38547-12530,D,d,Dallas Cowboys,cowboys,3.5,2,5000,MIA@DAL,DAL,MIA,,,,Cowboys,Cowboys,dallas,dallas5000
denver3800,0,Denver,3800,DEN,@GB,,,6.4,14.1,0.6,1.37,1.7,0.5,0,5.03,0,0.7,0,0,2,0,0.73,3.8,0,17.5,24.5,-0.5,7,42,35,0,0,0,0,0,0,0,0,0,0,0,0,2.79,6.88,0,0,0,0,0,0,0,0,0,69,0.81,0.99,3.6,-700,0,0,20,0.2,0.8,50,7.6,1.4,-2200,0,0,69,0.47,0.3,23,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4963,0.4831,0.0154,0.0377,7.5,8.19,4.25,2.5,0.1985,denver,denver,d,denver3800,38547-12531:Denver Broncos,38547-12531,D,d,Denver Broncos,broncos,0.5,2,3800,DEN@GB,DEN,GB,,,,Broncos,Broncos,denver,denver3800
detroit3500,0,Detroit,3500,DET,@PHI,,,7.1,13.8,0.9,3.03,2,3,13,4.07,0,0.37,0,0,1,0,0.69,-2.8,0,20.5,24.5,0,4,45,52,0,0,0,0,0,0,0,0,0,0,0,0,1.11,6.49,0,0,0,0,0,0,0,0,0,86,0.45,0,7.8,-600,0,0,100,0.5,0,40,6.5,1.8,-2500,0,0,90,0.54,0.09,22,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4917,0.4574,0.0065,0.04,7.6,80,3.93,2.77,0.2167,detroit,detroit,d,detroit3500,38547-12532:Detroit Lions,38547-12532,D,d,Detroit Lions,lions,8,2,3500,DET@PHI,DET,PHI,,,,Lions,Lions,detroit,detroit3500
green bay4500,0,Green Bay,4500,GB,DEN,,,8.1,14.5,0.9,0.81,1.8,3,13,7.29,0,0.54,0,0,6,0,0.76,3.6,0,24.5,17.5,-1,-7,42,65,0,0,0,0,0,0,0,0,0,0,0,0,1.15,7.29,0,0,0,0,0,0,0,0,0,69,0.81,0.99,12.7,800,0,0,100,1,0,30,6.7,0.7,-1500,0,0,78,0.56,0.21,23,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4971,0.4763,0.0063,0.0446,7.55,8.63,4.29,3.13,0.2246,bay,green bay,g,green bay4500,38547-12533:Green Bay Packers,38547-12533,D,g,Green Bay Packers,packers,13,2,4500,DEN@GB,GB,DEN,,,,Bay,Bay,green bay,green bay4500
