RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
allen8500qbj,92.65,Josh Allen,8500,BUF,HOU,,,25.6,38.1,13.1,3.86,3.0,21.5,21.02,21.74,0.0,0.79,1.0,10.0,1.0,0.0,0.99,3.4,65.0,32.0,15.0,-0.8,-17.0,47.0,48.0,24.0,36.0,269.0,67.0,7.4,7.38,2.1,37.0,0.0,0.0,12.1,72.6,10.6,5.8,1.7,3.7,6.0,11.0,26.0,4.3,0.4,0.5710000000000001,7.06,3.24,1.94,68.0,1.0,0.72,24.0,400,0.48,0.33,100.0,0.33,0.0,30.0,24.6,3.6,2500.0,0.56,0.38,90.0,0.54,0.0,22.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen8500qbj
hurts7900qbj,92.29,Jalen Hurts,7900,PHI,KC,,,22.52,34.2,10.8,1.96,2.9,10.6,28.18,20.56,0.0,0.79,1.0,9.6,2.0,0.0,0.79,5.6,32.0,24.0,30.5,-0.8,6.5,54.5,20.0,12.0,22.0,167.0,57.0,7.5,6.63,1.0,38.0,0.0,0.0,17.6,48.2,26.9,4.5,2.3,6.8,5.0,10.0,33.0,6.1,0.3,0.529,2.5,0.94,0.63,75.0,0.69,0.04,24.4,300,0.57,0.39,100.0,1.0,0.0,30.0,11.0,1.8,1900.0,0.37,0.35,44.0,0.33,0.5,18.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hurts,jalen hurts,j,hurts7900qbj
murray8200qbk,91.50,Kyler Murray,8200,ARI,@LA,,,23.02,32.8,13.3,1.87,2.8,8.5,22.62,21.15,-1.0,0.68,1.0,3.2,2.0,0.0,0.99,-1.5,67.0,25.0,28.5,1.2,3.5,53.5,35.0,23.0,34.0,261.0,69.0,7.7,7.12,1.8,43.0,0.0,0.0,18.3,65.3,12.4,5.3,2.1,4.5,7.0,16.0,43.0,5.7,0.6,0.597,6.25,3.44,1.75,0.0,0.0,0.0,29.7,-200,0.72,0.46,100.0,0.66,0.0,30.0,23.1,3.3,2200.0,0.53,0.34,78.0,0.52,0.15,19.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8200qbk
wilson7700qbr,83.79,Russell Wilson,7700,SEA,@SF,,,20.7,31.8,9.6,0.53,2.7,5.7,22.56,20.17,-2.0,0.59,1.0,1.6,1.0,0.0,0.86,3.4,62.0,24.8,27.3,-0.2,2.5,52.0,59.0,23.0,33.0,261.0,68.0,7.7,6.94,2.1,42.0,0.0,0.0,17.0,59.5,18.5,6.4,2.4,8.1,5.0,14.0,28.0,5.7,0.1,0.488,5.31,2.75,1.25,86.0,0.21,0.0,22.3,-100,0.64,0.42,100.0,0.66,0.0,30.0,20.9,0.3,1700.0,0.5,0.34,85.0,0.5,0.0,20.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,russell wilson,r,wilson7700qbr
mahomes8700qbp,82.85,Patrick Mahomes,8700,KC,@PHI,,,23.98,36.0,12.0,1.85,2.8,12.0,32.72,22.13,0.0,0.79,1.0,6.0,1.0,0.0,0.86,-4.3,67.0,30.5,24.0,0.2,-6.5,54.5,80.0,25.0,39.0,317.0,66.0,8.1,8.13,2.5,40.0,0.0,0.0,17.4,55.9,31.3,6.4,1.5,3.9,4.0,11.0,20.0,4.6,0.1,0.5,5.88,3.06,1.18,75.0,0.69,0.04,27.7,-100,0.6,0.39,100.0,1.0,0.0,30.0,21.9,2.6,2700.0,0.48,0.33,80.0,0.57,0.14,21.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mahomes,patrick mahomes,p,mahomes8700qbp
jackson8000qbl,82.38,Lamar Jackson,8000,BAL,@DEN,,,21.24,33.1,9.3,0.48,2.7,4.4,19.44,20.76,4.0,0.94,1.0,2.0,1.0,0.0,0.99,-7.2,61.0,21.5,22.5,0.0,1.0,44.0,68.0,15.0,24.0,181.0,63.0,7.3,6.8,1.8,34.0,0.0,0.0,16.1,52.8,28.1,7.5,3.3,6.3,10.0,23.0,68.0,6.5,0.6,0.5670000000000001,4.44,2.56,0.75,77.0,0.13,0.0,22.6,-300,0.0,0.0,100.0,0.5,0.0,40.0,21.5,1.5,2000.0,0.58,0.35,77.0,0.5,0.09,22.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jackson,lamar jackson,l,jackson8000qbl
fields6400qbj,79.39,Justin Fields,6400,CHI,DET,,,17.66,28.2,7.2,0.04,2.8,5.4,8.26,17.62,-10.0,0.12,1.0,3.2,1.0,0.0,0.69,0.9,30.0,22.5,19.5,-1.3,-3.0,42.0,38.0,4.0,11.0,46.0,40.0,3.9,0.17,0.0,16.0,0.0,0.0,17.1,65.7,17.1,0.0,2.7,25.2,4.0,6.0,15.0,3.3,0.3,0.35700000000000004,2.67,1.33,0.67,70.0,0.92,0.65,5.0,-100,0.25,0.17,33.0,0.0,0.66,30.0,8.2,-2.3,400.0,0.41,0.27,66.0,0.16,0.33,60.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fields,justin fields,j,fields6400qbj
darnold7200qbs,78.88,Sam Darnold,7200,CAR,@DAL,,,19.18,29.2,9.2,-0.01,2.7,3.0,33.54,19.19,-2.0,0.59,1.0,6.4,1.0,0.0,0.69,1.7,63.0,24.3,28.3,1.5,4.0,52.5,33.0,18.0,30.0,209.0,62.0,6.9,5.44,0.8,33.0,0.0,0.0,17.4,62.5,12.3,2.7,2.3,8.0,3.0,6.0,10.0,3.2,0.4,0.486,3.0,1.33,0.93,0.0,0.0,0.0,22.4,700,0.53,0.32,100.0,1.0,0.0,40.0,13.8,-1.7,1200.0,0.38,0.22,61.0,0.5,0.16,18.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,darnold,sam darnold,s,darnold7200qbs
bridgewater6800qbt,76.81,Teddy Bridgewater,6800,DEN,BAL,,,17.58,28.9,6.3,-0.82,2.6,1.4,6.8,18.4,2.0,0.89,1.0,1.6,1.0,0.0,0.74,1.2,62.0,22.5,21.5,-1.0,-1.0,44.0,32.0,22.0,32.0,245.0,69.0,7.6,6.68,1.1,40.0,0.0,0.0,19.8,63.2,12.4,3.4,1.9,5.9,3.0,9.0,19.0,4.9,0.3,0.483,5.06,2.13,1.0,77.0,0.13,0.0,17.8,200,0.47,0.27,100.0,0.66,0.0,30.0,15.7,-0.3,800.0,0.41,0.25,94.0,0.42,0.0,19.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bridgewater,teddy bridgewater,t,bridgewater6800qbt
rodgers7600qba,75.93,Aaron Rodgers,7600,GB,PIT,,,19.78,31.5,8.0,-0.19,2.6,0.8,24.12,19.97,8.0,0.98,1.0,2.4,1.0,0.0,0.84,0.4,61.0,25.8,19.3,-0.5,-6.5,45.0,71.0,22.0,31.0,253.0,71.0,8.0,8.61,2.8,44.0,0.0,0.0,20.1,57.7,16.9,9.0,1.3,4.3,2.0,5.0,8.0,3.5,0.2,0.45899999999999996,5.31,3.13,1.69,66.0,0.95,0.54,18.9,-400,0.58,0.34,75.0,0.75,0.25,40.0,23.5,2.6,1600.0,0.66,0.38,81.0,0.72,0.09,22.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rodgers,aaron rodgers,a,rodgers7600qba
prescott7700qbd,74.53,Dak Prescott,7700,DAL,CAR,,,21.58,32.2,11.0,1.41,2.8,9.5,27.02,20.17,-4.0,0.44,1.0,2.4,1.0,0.0,0.79,-6.0,69.0,28.3,24.3,1.0,-4.0,52.5,67.0,28.0,38.0,309.0,74.0,8.1,7.44,2.0,38.0,0.0,0.0,11.6,43.7,16.3,5.3,2.1,5.5,3.0,6.0,7.0,2.2,0.0,0.17600000000000002,1.65,0.94,0.41,0.0,0.0,0.0,19.0,100,0.44,0.26,66.0,0.33,0.33,30.0,21.8,0.4,1700.0,0.5,0.32,22.0,0.11,0.05,18.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prescott,dak prescott,d,prescott7700qbd
stafford7800qbm,74.00,Matthew Stafford,7800,LA,ARI,,,21.44,33.7,9.2,1.07,2.7,7.2,20.3,20.37,2.0,0.89,1.0,4.8,1.0,0.0,0.84,-3.2,58.0,28.5,25.0,-1.3,-3.5,53.5,65.0,20.0,30.0,249.0,65.0,8.2,7.8,1.8,42.0,0.0,0.0,18.1,62.6,22.2,6.0,1.7,6.3,1.0,5.0,5.0,3.1,0.0,0.444,5.19,1.56,0.94,0.0,0.0,0.0,24.0,400,0.68,0.41,100.0,1.0,0.0,30.0,17.4,-0.8,1800.0,0.51,0.3,68.0,0.47,0.15,19.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford7800qbm
cousins7500qbk,73.65,Kirk Cousins,7500,MIN,CLE,,,20.02,32.6,7.5,0.24,2.7,3.0,11.12,19.78,4.0,0.94,0.88,2.8,1.0,0.0,0.74,-2.2,70.0,25.3,26.3,-0.5,1.0,51.5,37.0,24.0,34.0,285.0,70.0,8.2,8.26,2.4,38.0,0.0,0.0,18.1,56.2,20.5,7.1,1.2,6.3,1.0,5.0,9.0,4.8,0.1,0.5670000000000001,5.81,3.25,1.5,0.0,0.0,0.0,24.1,300,0.57,0.33,100.0,1.0,0.0,30.0,19.6,30.0,1500.0,0.5,0.28,85.0,0.76,0.09,21.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7500qbk
