RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mackinnon10300cn,96.61,Nathan MacKinnon,10300,C,0,COL,BUF-U.Luukkonen,23.78,29.7,17.8,4.02,2.3,65.5,1,1,28,0,0.7,56,0,2,3.8,2.9,-182,6.5,86,-260,20.7,2.3,75,35,20,95,22.9,81,45,18,11,0.52,0.83,1.35,21.62,3.75,5.21,6.55,0.8,0.1,0.52,5.73,19.89,15.25,14.6,0.16,0.3,3.78,1.47,1.95,0.75,0,0,0.36,0.53,0.67,0.01,4.54,0.27,1.18,1.45,22.34,3.89,5.64,7.45,0.76,0.05,0.55,6.18,18.36,16.73,0.09,0.45,4.94,2.45,17.67,6.5,6,0.5,7.83,4,23.41,5.53,0.17,0.33,44.2,50.67,43.86,44.48,42.72,3.22,0.29,2.83,0.25,44.27,40.5,43.36,45.21,3.91,0.28,3.5,0.31,44.43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,mackinnon,nathan mackinnon,n,mackinnon10300cn
hughes9500cj,95.02,Jack Hughes,9500,C,0,NJD,NAS-J.Saros,17.9,22.4,13.4,-0.21,1.9,19.7,1,1,20,0,1.7,9,0,3,3.9,2.8,-202,6.5,86,-176,17.8,2.7,65,29,15,86,19.5,69,46,30,13,0.52,0.62,1.14,19.6,3.49,3.77,4.93,0.76,0.14,0.26,4.03,16.71,13.33,12.51,0.12,0.19,3.13,0.69,0.93,0.74,0,0,0.41,0.43,0.03,0.03,3.86,0.64,0.64,1.29,18.62,4.16,4.57,5.64,0.81,0.14,0.07,4.64,16.29,10.57,0.07,0.29,3.67,0.92,15.71,4.43,4.29,0.14,4.86,0.67,18.34,3.31,0,0.14,47.58,48.35,44.6,44.28,43.45,2.84,0.17,3.55,0.22,49.79,46.25,43,44.17,3.29,0.2,3.25,0.23,48.8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,hughes,jack hughes,j,hughes9500cj
stamkos9800cs,94.63,Steven Stamkos,9800,C,0,TB,PHI-C.Hart,16.91,21.2,12.7,-1.82,1.7,8,2,1,12,0,0.5,1,0,2,3.7,2.5,-220,6,72,-235,18.3,2.3,74,34,20,98,18.1,75,16,25,12,0.52,0.69,1.21,18.96,3.83,3.19,4.18,0.76,0.16,0.58,3.77,12.78,12.56,9.67,0.19,0.26,4.07,1.34,1.78,0.75,0,0,0.33,0.42,0.69,0.03,2.79,0.46,0.92,1.38,18.95,4.37,3.15,4.31,0.73,0.15,0.46,3.62,10.85,10.23,0.15,0.31,4.62,1.31,11.83,2.67,2.33,0.33,3.83,1.5,19.53,3.5,0.33,0.17,45.77,43.29,49.22,43.07,42.27,3.4,0.26,2.83,0.28,42.77,47,41.31,45.2,3.85,0.32,3.07,0.3,42.43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,stamkos,steven stamkos,s,stamkos9800cs
lindholm6600ce,91.47,Elias Lindholm,6600,C,0,CGY,MTL-J.Allen,15.58,19.5,11.6,3.42,2.4,18.4,1,1,7,0,1.2,28,0,2,4.3,2.4,-310,6.5,54,-220,14.5,0.9,71,31,25,95,13.1,57,42,42,14,0.48,0.41,0.89,19.94,2.68,2.72,3.62,0.75,0.18,0.65,3.37,15.21,12.2,11.66,0.14,0.05,3.07,0.62,0.94,0.67,0,0.02,0.34,0.34,0.32,0.01,3.19,0.33,0.53,0.87,19.26,2.71,2.53,3.2,0.79,0.13,0.87,3.4,13.8,11.4,0.13,0.07,3.02,0.53,13.43,3.14,2.57,0.57,3.29,0.86,19.07,3.13,0.14,0,47.02,51.96,46.13,40.63,40.99,3.06,0.2,3.48,0.21,47.67,44.92,41.53,43.85,2.93,0.16,3.69,0.19,45.33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,lindholm,elias lindholm,e,lindholm6600ce
hintz8000cr,91.02,Roope Hintz,8000,C,0,DAL,ANA-A.Stolarz,17.16,21.5,12.8,2.12,2.1,21.3,1,1,9,0,0.9,2,0,3,3.9,2.2,-309,6,80,-320,14.2,1.1,65,35,32,93,13.1,69,23,23,13,0.42,0.55,0.97,18.2,3.2,2.47,3.6,0.69,0.17,0.69,3.16,14.05,12.14,10.57,0.1,0.23,2.69,0.51,0.72,0.71,0.02,0.01,0.3,0.31,0.34,0.01,2.92,0.38,0.77,1.15,17.65,3.91,2.23,2.92,0.76,0.17,0.38,2.62,15.08,11.69,0.08,0.46,2.34,0.58,17.33,2.5,2.17,0.33,3,0.6,18.7,3.05,0,0.17,48.25,45.06,47.89,46.74,42.35,3,0.22,3.04,0.26,47.86,49.86,42.93,42.86,2.57,0.36,3.57,0.32,41.57,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,hintz,roope hintz,r,hintz8000cr
point8000cb,90.88,Brayden Point,8000,C,0,TB,PHI-C.Hart,15.23,19.1,11.4,0.19,1.9,4.8,1,1,10,0,0.9,12,0,2,3.7,2.5,-220,6,72,-235,14.3,0,57,22,23,98,16.4,83,41,16,12,0.41,0.51,0.91,19.67,2.78,2.73,3.78,0.72,0.15,0.46,3.19,13.68,13.08,10.19,0.19,0.2,3.94,0.96,1.16,0.83,0,0,0.22,0.31,0.4,0.01,2.84,0.46,0.77,1.23,20.32,3.63,2.85,3.85,0.74,0.16,0.54,3.38,14.92,12.92,0.31,0.31,4.39,1,16.83,3,2.67,0.33,4,1,20.75,2.9,0.5,0.5,45.77,43.29,49.22,43.07,42.27,3.4,0.26,2.83,0.28,42.77,47,41.31,45.2,3.85,0.32,3.07,0.3,42.43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,point,brayden point,b,point8000cb
seguin5900ct,90.42,Tyler Seguin,5900,C,0,DAL,ANA-A.Stolarz,11.93,15,8.9,1.2,2,9.6,2,2,5,0,1.3,1,0,3,3.9,2.2,-309,6,80,-320,11.2,1.3,64,28,35,92,9.8,53,23,46,13,0.27,0.41,0.68,17.6,2.32,2.56,3.45,0.74,0.11,0.37,2.93,12.71,14.43,9.4,0.04,0.11,2.48,0.62,0.72,0.86,0,0,0.23,0.3,0.44,0.03,2.41,0.14,0.64,0.79,16.48,2.88,1.79,2.5,0.71,0.08,0.29,2.07,13.64,12.36,0,0,1.85,0.43,14.29,2.29,2,0.29,2.43,0.43,16.8,2.08,0,0,48.25,45.06,47.89,46.74,42.35,3,0.22,3.04,0.26,47.86,49.86,42.93,42.86,2.57,0.36,3.57,0.32,41.57,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,seguin,tyler seguin,t,seguin5900ct
crosby9400cs,89.55,Sidney Crosby,9400,C,0,PIT,VGK-L.Thompson,16.11,20.2,12,-1.8,1.7,14.4,1,1,11,0,-0.7,2,0,2,3.4,3.3,-120,6.5,43,-137,18.1,1.9,75,42,24,90,18.1,76,30,23,13,0.49,0.85,1.34,20.07,4.01,3.02,4.02,0.75,0.16,0.55,3.57,17.19,14.16,12.92,0.11,0.27,3.5,0.76,0.91,0.84,0,0,0.38,0.58,0.52,0.05,2.66,0.57,0.86,1.43,19.73,4.35,2.21,3.43,0.65,0.26,0.43,2.64,17.14,14.14,0.07,0.07,3.2,0.21,18.29,2.71,2.71,0,4.14,0.43,18.69,2.71,0.14,0.14,48.89,48.75,45.98,45.16,50.37,3.11,0.22,2.45,0.25,47.5,50.86,45.57,45.71,2.79,0.1,2.64,0.27,45.29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,crosby,sidney crosby,s,crosby9400cs
hischier9000cn,88.02,Nico Hischier,9000,C,0,NJD,NAS-J.Saros,16.08,20.1,12,-1.01,1.8,13.3,2,1,6,0,-2.7,1,0,3,3.9,2.8,-202,6.5,86,-176,14.2,2.3,64,34,23,85,16.6,76,30,15,13,0.4,0.6,1,19.46,3.08,2.6,3.58,0.73,0.16,0.64,3.24,13.37,11.99,10.37,0.08,0.13,3.03,0.61,0.97,0.63,0,0.03,0.32,0.44,0.15,0.03,2.67,0.43,0.71,1.14,20.13,3.4,2.86,4.07,0.7,0.15,0.57,3.43,14.14,11.21,0.21,0.07,3.55,0.62,13.57,3.71,3.29,0.43,4,1,20.19,3.12,0.14,0.14,47.58,48.35,44.6,44.28,43.45,2.84,0.17,3.55,0.22,49.79,46.25,43,44.17,3.29,0.2,3.25,0.23,48.8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,hischier,nico hischier,n,hischier9000cn
miller7800cj,87.85,J.T. Miller,7800,C,0,VAN,FLA-S.Knight,14.27,17.9,10.6,-0.36,1.8,4.8,1,1,8,0,-1,6,0,2,3.3,3.5,-100,6.5,44,126,17.4,2.9,73,42,17,80,17.7,91,50,8,12,0.45,0.85,1.3,20.89,3.73,2.5,3.59,0.7,0.18,0.74,3.24,14.24,13.58,10.47,0.15,0.39,3.33,0.67,0.96,0.7,0,0.03,0.3,0.44,0.73,0.03,2.84,0.43,0.86,1.29,21.07,3.67,2.36,3.5,0.67,0.18,0.64,3,14.86,13.64,0.29,0.36,4.07,1,14.17,2.33,2,0.33,3,1.5,19.86,3.26,0.17,0.33,43.1,44.7,40.01,47.46,51.98,3.08,0.27,3.46,0.23,43.14,43.21,48.14,50.93,3.5,0.29,3.86,0.22,47.29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,miller,j.t. miller,j,miller7800cj
