RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
matthews10000ca,96.08,Auston Matthews,10000,C,0,TOR,CHI-PMrazek,21.85,27.3,16.4,2.71,2.2,1,1,23,0,0.5,27,2,1,4.2,2.4,-302,6.5,89,-255,22.3,3,68,35,19,98,20.6,40,20,10,10,0.67,0.66,1.33,20.49,3.9,4.51,6.45,0.7,0.15,1.16,5.67,17.73,13.62,13.44,0.18,0.15,3.78,1.18,1.71,0.69,0,0,0.49,0.51,0.28,0.04,3.25,0.67,0.67,1.33,18.91,4.22,4,6,0.67,0.17,2.67,6.67,17.67,18,0,0.17,3.06,0.83,13.5,3.5,2.5,1,4,0,17.08,3.53,0,0.5,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,matthews,auston matthews,a,matthews10000ca
tavares8000cj,87.01,John Tavares,8000,C,0,TOR,CHI-PMrazek,16.58,20.8,12.4,1.54,2.1,2,1,9,0,-1.9,65,2,1,4.2,2.4,-302,6.5,89,-255,15.3,0.5,70,30,27,99,17.2,60,50,40,10,0.38,0.58,0.96,17.76,3.24,3.13,4.49,0.7,0.12,0.54,3.67,13.11,12.01,9.81,0.15,0.25,3.53,1.05,1.47,0.72,0,0,0.23,0.33,0.45,0.01,2.86,0.36,0.55,0.91,17.99,3.03,3.73,4.91,0.76,0.1,0.64,4.36,14.82,14.55,0.18,0.18,2.94,1.27,13.75,3,3,0,3.75,1,18.46,3.14,0.25,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,tavares,john tavares,j,tavares8000cj
hughes10100cj,86.43,Jack Hughes,10100,C,0,NJD,WPG-CHellebuyck,18.04,22.6,13.5,-1.31,1.8,1,1,16,0,-1.6,34,2,1,3.2,2.9,-125,6,55,-126,20.9,3.7,67,35,12,87,29.9,60,40,0,10,0.67,0.69,1.36,20.19,4.04,4.27,5.37,0.8,0.16,0.23,4.5,16.76,12.89,12.47,0.14,0.26,3.31,1.01,1.25,0.81,0,0,0.53,0.43,0.06,0.03,3.91,0.86,1.14,2,20.76,5.78,4.71,5.43,0.87,0.18,0.57,5.29,14.29,16.43,0,0.57,2.29,1.29,16.5,6,6,0,7,1,19.62,3.7,0,1,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,hughes,jack hughes,j,hughes10100cj
o'reilly4500cr,82.83,Ryan O'Reilly,4500,C,0,TOR,CHI-PMrazek,9.92,12.5,7.3,2.07,2.2,2,2,5,0,-1.9,93,2,1,4.2,2.4,-302,6.5,89,-255,11.2,1.7,52,29,32,96,16,33,22,0,9,0.34,0.33,0.68,18.88,2.16,2.13,2.63,0.81,0.16,0.55,2.68,12.21,13.02,9.07,0.1,0.07,2.24,0.33,0.54,0.62,0.01,0.01,0.23,0.25,0.23,0.01,2.23,0.5,0.5,1,17.5,3.43,2,2.5,0.8,0.25,0.75,2.75,13.25,14.5,0,0,1.52,0.25,13.25,2.75,2,0.75,2.5,0.25,17.5,1.52,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,o'reilly,ryan o'reilly,r,o'reilly4500cr
hischier7400cn,80.75,Nico Hischier,7400,C,0,NJD,WPG-CHellebuyck,14.14,17.7,10.5,0.33,1.9,2,1,16,0,-3.7,65,2,1,3.2,2.9,-125,6,55,-126,15.2,1.5,72,29,18,87,14.7,70,10,20,10,0.39,0.63,1.01,19.62,3.09,2.9,3.88,0.75,0.13,0.68,3.58,14.1,12.68,10.68,0.09,0.16,3.18,0.68,1.03,0.66,0.03,0.03,0.28,0.44,0.1,0.03,2.96,0.27,0.45,0.73,18.53,2.36,3.55,4.64,0.76,0.08,1.18,4.73,16.55,15.45,0,0.18,2.13,0.73,16.83,4.67,3.17,1.5,4.17,0.83,19.18,2.64,0,0.17,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,hischier,nico hischier,n,hischier7400cn
kerfoot4500ca,79.86,Alexander Kerfoot,4500,C,0,TOR,CHI-PMrazek,6.61,8.4,4.8,-1.24,1.5,4,0,1,0,0.4,58,2,1,4.2,2.4,-302,6.5,89,-255,8,-0.2,54,27,45,98,7,60,20,40,10,0.14,0.33,0.47,14.83,1.9,1.57,2.11,0.74,0.09,0.76,2.32,11.1,10.79,8.26,0.02,0.01,0.44,0.08,0.11,0.8,0.02,0.02,0.1,0.3,0.34,0.02,1.64,0,0.45,0.45,14.09,1.92,1.73,2.36,0.73,0,0.64,2.36,13.18,9.45,0,0,0.27,0.09,16.25,3.25,2,1.25,2.25,0.25,15.55,0.69,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,kerfoot,alexander kerfoot,a,kerfoot4500ca
jenner7700cb,78.80,Boone Jenner,7700,C,0,CLB,ARI-CIngram,15.96,20,11.9,1.54,2.1,1,1,22,0,-2.1,7,2,1,3.3,3.4,-100,6.5,42,114,13.4,0.7,48,18,13,90,16.3,90,45,9,11,0.34,0.32,0.66,20.36,1.94,3.13,4.64,0.67,0.11,1.07,4.2,14.91,16.02,10.89,0.11,0.04,2.91,0.52,1,0.52,0,0,0.23,0.29,0.54,0.04,3.49,0.42,0.25,0.67,20.45,1.97,3.67,5.83,0.63,0.11,1.33,5,15.33,15.33,0,0.08,3.2,0.58,14.4,5.6,4.4,1.2,7.2,2.4,21.08,4.06,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,jenner,boone jenner,b,jenner7700cb
dubois7500cp,78.39,Pierre-Luc Dubois,7500,C,0,WPG,NJD-MBlackwood,13.06,16.4,9.7,-0.95,1.7,1,2,15,0,0.9,50,1,3,2.9,3.2,105,6,45,105,14.3,1.1,69,30,28,85,12.8,75,12,25,8,0.34,0.54,0.88,18.72,2.82,2.92,4.35,0.67,0.12,0.57,3.49,13.62,13.69,10.81,0.15,0.15,3.38,0.94,1.21,0.78,0,0,0.19,0.39,1.21,0,3.26,0.3,0.2,0.5,19.9,1.51,3.6,5.22,0.69,0.08,0.3,3.9,14.4,11.2,0,0.1,4.92,1.4,15.33,4,3.67,0.33,5.33,1.67,20.11,4.43,0,0.33,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,dubois,pierre-luc dubois,p,dubois7500cp
hayton4500cb,76.26,Barrett Hayton,4500,C,0,ARI,CLB-EMerzlikins,13.01,16.3,9.7,5.16,2.9,1,1,11,0,-1.4,94,2,1,3.4,3.3,-120,6.5,58,-135,7.9,1,62,29,37,88,12.4,81,54,18,11,0.17,0.27,0.43,16.35,1.58,1.89,2.51,0.75,0.09,0.49,2.38,10.74,11.8,7.75,0.02,0.06,1.54,0.31,0.38,0.82,0,0,0.14,0.21,0.4,0.02,2.92,0.17,0.42,0.58,19.96,1.74,3,4.08,0.73,0.06,0.75,3.75,14.67,14.5,0.08,0.17,2.77,0.75,13.33,4.5,3.67,0.83,4.67,1.5,20.29,2.7,0,0.17,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,hayton,barrett hayton,b,hayton4500cb
acciari4100cn,74.60,Noel Acciari,4100,C,0,TOR,CHI-PMrazek,6.06,7.8,4.4,-0.97,1.5,4,0,1,0,0.4,50,2,1,4.2,2.4,-302,6.5,89,-255,6.8,0.2,49,20,32,97,3.9,33,0,44,9,0.16,0.16,0.31,13.48,1.38,1.36,1.85,0.74,0.12,0.89,2.25,9.18,10.68,7.13,0,0,0.18,0.01,0.01,1,0,0.02,0.16,0.13,0.25,0.04,1.9,0,0,0,16.33,0,2.2,2.89,0.76,0,0.9,3.1,11.3,11.4,0,0,0.37,0,12.5,4,3.25,0.75,3.75,0,15.44,0.08,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,acciari,noel acciari,n,acciari4100cn
