RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
bergeron6600cp,94.16,Patrice Bergeron,6600,C,0,BOS,CLB-M.Hutchinson,16.76,21,12.5,4.6,2.5,8,1,1,15,0,3.1,94,0,2,4.6,2.1,-490,6.5,94,-455,15.4,1.3,72,34,23,98,14.6,71,21,35,14,0.4,0.46,0.86,17.64,2.93,3.52,4.62,0.76,0.11,0.69,4.21,13.92,9.17,10.7,0.12,0.12,3.35,0.84,1.2,0.7,0.02,0.01,0.26,0.34,0.34,0.03,2.99,0.46,0.38,0.85,16.6,3.07,3.23,4.31,0.75,0.14,0.31,3.54,11.54,8.92,0.15,0.15,3.52,0.92,9.71,3,2.43,0.57,3.57,1.43,16.07,3.85,0.14,0.29,50.09,45,52.39,41.76,44.3,3.41,0.21,2.86,0.24,44.07,58.08,40.5,46.17,3.57,0.14,2.25,0.33,46.86,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,bergeron,patrice bergeron,p,bergeron6600cp
eichel7900cj,92.13,Jack Eichel,7900,C,0,VGK,SJ-J.Reimer,16.89,21.1,12.6,2.06,2.1,10.1,1,1,8,0,4.3,97,0,2,3.8,2.9,-182,6.5,76,-205,16.2,0.7,61,28,20,88,16.1,71,21,28,14,0.45,0.48,0.93,18.98,2.94,3.51,4.27,0.82,0.13,0.79,4.29,14.42,15.17,10.8,0.03,0.15,2.65,0.61,0.77,0.78,0,0,0.43,0.33,0.08,0.03,2.75,0.5,0.64,1.14,18.17,3.76,2.36,2.85,0.83,0.21,0.71,3.07,12.62,17.23,0,0.14,2.36,0.15,13.33,2.83,2.17,0.67,3,0.5,17.68,2.63,0,0,47.94,48.28,47.21,50,45.9,2.49,0.22,3.1,0.16,43.38,48.54,58.15,45.23,2.38,0.23,3.69,0.17,43.33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,eichel,jack eichel,j,eichel7900cj
mcdavid10600cc,91.43,Connor McDavid,10600,C,0,EDM,LA-J.Korpisalo,25.93,32.4,19.5,5.56,2.4,18.8,1,1,18,0,-1.4,94,0,2,3.8,2.8,-180,6.5,60,-145,26,5.8,83,50,13,105,25.4,85,14,78,14,0.74,1.17,1.91,22.52,5.09,4.18,5.34,0.78,0.18,0.44,4.62,18.52,15.45,13.96,0.24,0.53,3.74,1.1,1.47,0.75,0.03,0.04,0.48,0.6,0.46,0.05,3.09,0.71,1.29,2,22.07,5.44,3.29,4.54,0.72,0.22,0.43,3.71,15.62,14.46,0.29,0.64,3.72,1.08,16.14,3.57,3.14,0.43,4.29,2.29,22.51,3.57,0.43,0.71,44.83,47.55,44.09,44.24,47.35,3.22,0.33,3.24,0.26,45.85,40.25,39.92,50.08,3.31,0.4,3.08,0.27,49.83,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,mcdavid,connor mcdavid,c,mcdavid10600cc
hughes9900cj,89.97,Jack Hughes,9900,C,0,NJD,NYR-I.Shesterkin,19.94,24.9,14.9,1,2,13.3,1,1,23,0,-1.2,29,0,3,3.5,3.1,-136,6.5,20,-125,20,2.2,62,30,18,91,17.5,56,43,25,16,0.58,0.63,1.21,19.93,3.64,4.34,5.39,0.81,0.13,0.41,4.75,16.83,13.14,12.28,0.11,0.25,3.13,0.97,1.19,0.82,0,0,0.47,0.38,0.08,0.03,3.72,0.27,0.53,0.8,20.08,2.39,4.27,5.64,0.76,0.06,1,5.27,17,16.15,0.13,0.13,2.86,0.71,16.43,6.57,5.29,1.29,6.86,1.14,20.71,3.16,0.29,0.14,51.83,50.59,46.3,45.02,45,2.76,0.19,2.74,0.19,56.14,49.85,47.21,41.31,2.21,0.26,2.69,0.11,41.57,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYR,hughes,jack hughes,j,hughes9900cj
hischier7000cn,89.89,Nico Hischier,7000,C,0,NJD,NYR-I.Shesterkin,14.98,18.8,11.2,2,2.1,11.7,2,1,13,0,0.1,94,0,3,3.5,3.1,-136,6.5,20,-125,15.4,1.3,75,31,17,90,16.2,80,20,46,15,0.38,0.58,0.97,19.52,2.98,3.07,4.06,0.76,0.12,0.74,3.81,14.4,12.22,10.95,0.07,0.12,3.01,0.67,0.93,0.73,0.03,0.02,0.28,0.44,0.09,0.03,2.71,0.33,0.67,1,19.74,3.04,3.13,4.57,0.69,0.11,1.07,4.2,16.43,12.29,0,0.07,2.75,0.43,17.14,3.71,3.14,0.57,4.71,0.43,19.95,3.12,0,0.14,51.83,50.59,46.3,45.02,45,2.76,0.19,2.74,0.19,56.14,49.85,47.21,41.31,2.21,0.26,2.69,0.11,41.57,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYR,hischier,nico hischier,n,hischier7000cn
draisaitl10200cl,88.62,Leon Draisaitl,10200,C,0,EDM,LA-J.Korpisalo,20.83,26.1,15.6,1.28,2,12.8,2,1,15,0,-0.5,8,0,2,3.8,2.8,-180,6.5,60,-145,20.8,1.6,74,34,20,106,25.2,93,6,66,15,0.6,0.99,1.59,21.58,4.42,3.16,4.4,0.72,0.19,0.43,3.59,16.08,15.43,12.2,0.35,0.34,3.84,1.28,1.75,0.73,0.01,0.01,0.24,0.64,0.29,0,2.83,0.79,1.14,1.93,21.27,5.44,3.36,5.31,0.63,0.23,0.5,3.86,18.31,11.69,0.43,0.5,3.8,1.31,18.57,3.71,3.29,0.43,5.29,2.14,21.3,3.71,0.29,0.71,44.83,47.55,44.09,44.24,47.35,3.22,0.33,3.24,0.26,45.85,40.25,39.92,50.08,3.31,0.4,3.08,0.27,49.83,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,draisaitl,leon draisaitl,l,draisaitl10200cl
stutzle8500ct,86.22,Tim Stutzle,8500,C,0,OTT,PHI-F.Sandstrom,19,23.8,14.2,2.94,2.2,26.4,1,1,10,0,-1.6,29,0,3,3.8,2.9,-180,6.5,82,-155,17.3,3.7,66,43,26,89,19.3,78,14,42,14,0.52,0.67,1.19,20.76,3.44,2.85,3.94,0.72,0.18,0.69,3.54,16.35,14.06,12.21,0.14,0.26,3.82,0.72,1.06,0.67,0.05,0,0.33,0.4,0.62,0.07,3.09,0.57,0.79,1.36,22.25,3.67,2.86,4,0.71,0.2,0.64,3.5,16.43,14.71,0.07,0.14,4.07,0.71,16.57,3.29,2.43,0.86,3.57,1.14,22.77,3.78,0.14,0.29,46.96,45.24,48.72,44.6,43.36,3.56,0.25,2.88,0.26,45.29,46.27,47.07,43.18,3.43,0.21,3.55,0.31,41.33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,stutzle,tim stutzle,t,stutzle8500ct
malkin7300ce,85.61,Evgeni Malkin,7300,C,0,PIT,NAS-J.Saros,17.5,21.9,13.1,3.9,2.4,14.4,2,1,9,0,-1.1,61,0,2,3.9,2.8,-205,6.5,72,-200,15.2,1.2,68,33,26,96,14.6,80,20,26,15,0.35,0.66,1.01,18.81,3.22,2.97,3.86,0.77,0.12,0.44,3.41,15.45,12.99,11.83,0.12,0.29,3.96,0.82,1.16,0.71,0,0,0.23,0.37,0.7,0,2.79,0.14,0.93,1.07,19.09,3.36,2.64,3.21,0.82,0.05,0.71,3.36,16,12.5,0.07,0.5,4.13,0.57,17.29,3.57,2.71,0.86,3.57,1,18.92,3.95,0,0.29,52.42,51.92,48.07,47.01,44.13,3.3,0.21,3.36,0.21,55.43,49.8,43.57,38.8,3.64,0.24,3.07,0.15,37,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,malkin,evgeni malkin,e,malkin7300ce
crosby8100cs,84.46,Sidney Crosby,8100,C,0,PIT,NAS-J.Saros,19.54,24.4,14.6,4.3,2.4,16,1,1,19,0,-1.5,84,0,2,3.9,2.8,-205,6.5,72,-200,16.8,0.2,69,34,27,96,16.3,66,13,40,15,0.42,0.75,1.17,20.24,3.47,3.11,4.23,0.73,0.13,0.61,3.72,18.76,15.08,13.88,0.1,0.19,3.73,0.74,0.88,0.84,0,0,0.32,0.56,0.65,0.01,3.24,0.29,0.64,0.93,20.54,2.72,3.71,4.71,0.79,0.08,0.79,4.5,20.86,13.71,0.14,0.14,3.95,0.93,20.71,4.14,3.29,0.86,4,0.43,20.57,3.77,0,0,52.42,51.92,48.07,47.01,44.13,3.3,0.21,3.36,0.21,55.43,49.8,43.57,38.8,3.64,0.24,3.07,0.15,37,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,crosby,sidney crosby,s,crosby8100cs
barkov7500ca,83.67,Aleksander Barkov,7500,C,0,FLA,MTL-S.Montembeault,19.36,24.2,14.5,5.35,2.6,11.2,1,1,16,0,-3.3,96,2,1,3.9,2.8,-204,6.5,63,-240,16.9,1,61,29,22,101,19.8,84,7,53,13,0.38,0.75,1.13,21.16,3.2,3.15,4.15,0.76,0.12,0.67,3.82,15.18,11.27,11.33,0.12,0.29,4.11,0.84,1.16,0.72,0,0.02,0.26,0.44,0.19,0,3.29,0.33,1.08,1.42,21.51,3.96,3.58,4.67,0.77,0.09,0.75,4.33,15.08,10.42,0,0.33,4.36,1.08,14.25,4.13,3.38,0.75,4.75,1.88,21.55,4.3,0,0.13,50.41,50.78,48.44,41.92,41.68,3.32,0.22,3.28,0.26,53.15,52.53,38.77,41.33,3.31,0.26,2.93,0.3,42.71,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,barkov,aleksander barkov,a,barkov7500ca
