,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
acciari4000cn,45.6,Noel Acciari,4000,C,0,STL,TB-AVasilevskiy,6.41,8.2,4.6,-0.42,1.6,3,0,1,0,-0.7,66,0,2,2.6,3.6,159,6,27,130,6.9,0.4,45,19,28,97,6.4,57,42,14,14,0.17,0.18,0.35,12.98,1.62,1.25,1.75,0.71,0.13,0.9,2.15,9.06,10.43,7.03,0,0,0.14,0.01,0.01,1,0,0.03,0.17,0.15,0.29,0.04,1.42,0.07,0.29,0.36,14.59,1.48,0.93,1.23,0.75,0.08,1,1.93,9,12.5,0,0,0.09,0.08,9.57,1.86,0.86,1,1.29,0.14,16.55,0.11,0,0,40.26,40.14,43.45,48.1,44.25,2.92,0.27,3.25,0.2,37.46,41.42,48.46,47.5,2.92,0.34,2.92,0.17,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,acciari,n,acciari4000cn,85980-62861,C,n,Noel Acciari,acciari,7.813953488,43,4000,TB@STL,STL,TB,,,,,,C/UTIL,acciari4000cn
addison4200dc,62.4,Calen Addison,4200,D,0,MIN,ARI-K.Vejmelka,9.59,12.1,7.1,1.58,2.3,3,1,2,0,-2.6,28,0,2,4.1,2.1,-370,6,92,-365,6.9,-0.7,20,9,29,91,8.1,36,63,27,11,0.08,0.41,0.49,16.16,1.82,1.24,1.73,0.72,0.07,0.55,1.8,12,10.42,9.08,0,0.31,3.44,0.32,0.4,0.79,0,0,0.08,0.1,0.37,0,1.49,0.08,0.38,0.46,16.25,1.7,1.31,2,0.65,0.06,0.54,1.85,11.58,9.08,0,0.31,4.08,0.58,12.33,2.17,1.83,0.33,2.5,1.17,16.38,3.85,0,0.5,47.27,44.27,49.78,41.82,37.88,3.2,0.23,3.33,0.26,43.58,45.62,42.17,40.54,3.25,0.18,3.33,0.35,41.86,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,addison,c,addison4200dc,85980-97055,D,c,Calen Addison,addison,7.607499695,40,4200,ARI@MIN,MIN,ARI,,,,,,D/UTIL,addison4200dc
aho3900ds,64,Sebastian Aho,3900,D,0,NYI,MTL-S.Montembeault,15.77,19.8,11.7,8.4,4,2,2,2,0,-0.9,28,0,2,3.4,2.2,-240,5.5,87,-230,4.5,-1.1,38,16,41,97,5.8,69,30,15,13,0.08,0.2,0.28,16.2,1.04,1.03,0,0,0.08,1,2.03,0,0,0,0,0.02,0,0,0,0,0,0,0.08,0.19,0.25,0,1.3,0.08,0.08,0.15,19.49,0.46,1.31,0,0,0.06,1.38,2.69,0,0,0,0,0,0,0,3.17,1.5,1.67,0,0,19.5,0,0,0,44.79,42.77,46.3,48.27,41.37,2.65,0.22,3.52,0.24,41.75,47,47.58,39.36,2.45,0.11,3.77,0.41,43.83,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,aho,s,aho3900ds,85980-82154,D,s,Sebastian Aho,aho,5.353846232,39,3900,MON@NYI,NYI,MON,,,,,,D/UTIL,aho3900ds
aho7500cs,84.15,Sebastian Aho,7500,C,0,CAR,PIT-CDesmith,15.77,19.8,11.8,1.76,2.1,1,2,8,0,-1.1,51,1,2,3.6,2.5,-210,6,82,-156,14.2,-1.2,64,23,28,102,13.9,35,28,21,14,0.4,0.53,0.93,19.17,2.91,2.7,3.96,0.68,0.15,0.33,3.03,13.63,10.89,10.48,0.1,0.19,3.22,0.63,1.09,0.58,0.03,0.02,0.27,0.32,0.6,0.05,3.11,0.22,0.67,0.89,19.03,2.81,3,4.25,0.71,0.07,0.33,3.33,13.75,7.88,0,0.33,3.95,0.75,13.29,3.57,3.14,0.43,4.29,1.29,19.67,4.03,0,0.43,48.74,51.51,45.88,37.8,47.94,3.15,0.19,2.84,0.19,51.92,45.09,33.77,42.55,3.92,0.23,3.36,0.14,42.17,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,aho,s,aho7500cs,85980-73946,C,s,Sebastian Aho,aho,14.99714355,35,7500,PIT@CAR,CAR,PIT,,,,,,C/UTIL,aho7500cs
alexandrov3500cn,29.9,Nikita Alexandrov,3500,C,0,STL,TB-AVasilevskiy,3.63,4.7,2.6,-2.17,1,4,0,1,0,-4.7,66,0,2,2.6,3.6,159,6,27,130,5.4,0.1,11,4,8,69,8.3,50,50,33,6,0.14,0.14,0.29,8.78,1.98,1,1.21,0.82,0.14,0.57,1.57,6.79,8.36,5.07,0,0,0.03,0,0,0,0,0,0.14,0.14,0.14,0,0.94,0.33,0.17,0.5,8.11,3.7,1.17,1.5,0.78,0.29,0.67,1.83,6.83,7.83,0,0,0,0,6.83,1.83,1.17,0.67,1.5,0,8.11,0,0,0,40.26,40.14,43.45,48.1,44.25,2.92,0.27,3.25,0.2,37.46,41.42,48.46,47.5,2.92,0.34,2.92,0.17,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,alexandrov,n,alexandrov3500cn,85980-113932,C,n,Nikita Alexandrov,alexandrov,5.333333333,15,3500,TB@STL,STL,TB,,,,,,C/UTIL,alexandrov3500cn
allison4300ww,29.84,Wade Allison,4300,W,0,PHI,WAS-D.Kuemper,5.9,7.5,4.3,-1.76,1.4,3,0,1,0,-5.4,28,0,3,2.5,3.7,182,6,28,130,5,0,18,5,20,87,6.1,33,50,16,12,0.2,0.04,0.24,12.14,1.19,1.56,2.36,0.66,0.13,0.96,2.52,10.72,11.52,8.64,0,0,0.62,0.08,0.08,1,0,0,0.2,0.04,0.32,0,1.45,0.2,0,0.2,11.95,1,1.3,2.5,0.52,0.15,1,2.3,11.4,10.2,0,0,0.11,0,12.5,3,2,1,3,0,12.47,0.12,0,0,46.49,42.44,45.97,48.85,45.29,3,0.13,2.88,0.19,45,47.33,46.75,49.5,3.36,0.19,2.73,0.23,49.17,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,allison,w,allison4300ww,85980-128513,W,w,Wade Allison,allison,6.900000254,24,4300,PHI@WSH,PHI,WSH,,,,,,W/UTIL,allison4300ww
amadio5100wm,64.13,Michael Amadio,5100,W,0,VGK,EDM-S.Skinner,9.29,11.8,6.8,0.07,1.8,3,2,4,0,-1,28,0,2,3.5,3.1,-132,6.5,30,-156,5.7,-0.2,34,19,44,86,11.2,66,33,41,12,0.23,0.15,0.38,12.41,1.84,1.25,1.54,0.81,0.18,0.3,1.54,12.74,10.63,9.11,0.02,0,0.23,0.03,0.03,1,0,0,0.21,0.15,0.34,0,1.71,0.42,0.33,0.75,14.53,3.1,2.08,2.45,0.85,0.2,0.08,2.17,15.9,11.2,0.08,0,0.75,0.09,15.8,1.4,1.2,0.2,1.8,0,13.88,0.64,0,0,46.31,49.81,44.54,47.46,47.69,2.65,0.23,3.44,0.24,49.36,41.08,44,47.92,2.3,0.39,3.55,0.26,47.57,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,amadio,m,amadio5100wm,85980-59142,W,m,Michael Amadio,amadio,6.748275757,29,5100,EDM@VGK,VGK,EDM,,,,,,W/UTIL,amadio5100wm
andersen8300gf,76.65,Frederik Andersen,8300,G,0,CAR,PIT-C.DeSmith,17.68,22.2,13.1,-0.09,2.1,1,0,9,0,-2.6,40,1,0,3.6,2.5,-210,6,82,-156,16.7,0.5,25,18,14,102,20.8,7,0,0,14,2.35,0,0,0,0,27.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,47.94,0,0,0,0,0,0,33.77,42.55,0,0,0,0,42.17,1/14/2023,0,24.8,0.62,0.3,59.92,0.08,21,2,1,1,39.63,3.33,34.26,3.37,0.19,3.3,0.22,2.67,29,4,0.21,4,0.23,30.17,PIT,andersen,f,andersen8300gf,85980-23072,G,f,Frederik Andersen,andersen,13.6,10,8300,PIT@CAR,CAR,PIT,,,,,,G,andersen8300gf
anderson3700dm,66.35,Mikey Anderson,3700,D,0,LA,NJD-M.Blackwood,6.39,8.1,4.7,-0.55,1.7,1,0,1,0,-3.3,85,0,3,3.4,3.3,-117,6.5,34,-126,6.2,-0.8,57,14,17,96,7.4,92,7,30,13,0.04,0.21,0.25,21.17,0.71,1.11,1.66,0.67,0.04,1.51,2.62,17.06,15.53,12.74,0,0,0.1,0.01,0.01,1,0,0,0.04,0.21,0.3,0,1.19,0,0.31,0.31,22.17,0.84,1.38,1.75,0.79,0,1.69,3.08,16.58,13.92,0,0,0.2,0,16.5,2.83,1.17,1.67,1.33,0,22.05,0.09,0,0,46.52,48.5,43.95,43.04,49.12,3.22,0.2,2.81,0.19,44.83,45.77,42.58,50.46,3.73,0.29,3.42,0.17,44.43,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,anderson,m,anderson3700dm,85980-103753,D,m,Mikey Anderson,anderson,6.64888916,45,3700,NJ@LA,LA,NJ,,,,,,D/UTIL,anderson3700dm
anderson4600wj,41.73,Josh Anderson,4600,W,0,MTL,NYI-I.Sorokin,8.63,10.9,6.3,0.39,1.9,2,2,2,0,-4,22,1,2,2.2,3.4,197,5.5,13,188,8.2,0.1,55,25,40,87,8.1,69,30,30,13,0.27,0.12,0.39,16.6,1.41,2.06,2.99,0.69,0.13,0.58,2.64,12.02,13.48,8.88,0.05,0,1.92,0.29,0.43,0.67,0,0,0.23,0.12,1.02,0,2.26,0.21,0.07,0.29,16.77,1.04,2.14,3.14,0.68,0.1,0.86,3,9.15,12.31,0.07,0,1.87,0.43,9.5,3.17,2,1.17,3.5,0.33,15.85,1.34,0,0,45.11,41.37,48.27,46.3,42.77,3.08,0.16,2.78,0.16,39.36,47.58,47,41.75,3,0.21,3.18,0.17,38.67,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,anderson,j,anderson4600wj,85980-42772,W,j,Josh Anderson,anderson,8.284999847,40,4600,MON@NYI,MON,NYI,,,,,,W/UTIL,anderson4600wj
