RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
crosby8300cs,95.23,Sidney Crosby,8300,C,0,PIT,SJ-K.Kahkonen,19.07,23.9,14.3,3.42,2.3,1,1,10,0,7.4,59,0,2,4.1,2.6,-250,6.5,82,-240,17.8,1.0,74,37,25,93,15.6,76,23,23,13,0.49,0.79,1.28,20.28,3.79,3.03,4.07,0.75,0.16,0.61,3.64,17.16,14.7,12.91,0.12,0.27,3.78,0.8,0.94,0.85,0.0,0.0,0.37,0.52,0.48,0.03,2.91,0.29,0.79,1.07,20.8,3.09,2.5,3.57,0.7,0.11,0.57,3.07,16.57,15.93,0.07,0.29,4.58,0.57,14.5,3.38,2.75,0.63,3.63,1.0,19.73,3.66,0.13,0.5,48.26,48.71,48.38,46.16,42.77,3.33,0.22,2.92,0.16,48.57,45.0,45.21,46.77,3.93,0.2,2.62,0.24,42.17,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,crosby,s,crosby8300cs,86475-8594,C,s,Sidney Crosby,crosby,17.039583841959637,48.0,8300,SJ@PIT,PIT,SJ,,,,,,C/UTIL,crosby8300cs
mcdavid10600cc,94.73,Connor McDavid,10600,C,0,EDM,CHI-P.Mrazek,28.05,35.1,21.0,7.68,2.6,1,1,23,0,-1.0,77,0,3,4.5,2.2,-420,6.5,88,-320,24.0,4.1,81,41,15,108,25.4,92,7,38,13,0.68,1.07,1.75,22.23,4.72,4.03,5.18,0.78,0.17,0.39,4.42,18.71,15.24,14.25,0.21,0.46,3.85,1.03,1.35,0.76,0.01,0.03,0.46,0.58,0.43,0.05,3.76,0.69,1.0,1.69,21.92,4.63,5.0,5.92,0.85,0.14,0.38,5.38,17.83,13.17,0.15,0.54,3.28,1.33,18.83,5.67,5.5,0.17,6.67,1.83,22.53,2.28,0.33,0.5,50.58,47.32,50.23,44.53,39.1,3.22,0.29,2.8,0.25,49.17,50.93,42.67,38.0,3.08,0.32,2.86,0.13,37.86,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,mcdavid,c,mcdavid10600cc,86475-64102,C,c,Connor McDavid,mcdavid,25.77142956792092,49.0,10600,CHI@EDM,EDM,CHI,,,,,,C/UTIL,mcdavid10600cc
stamkos8900cs,93.74,Steven Stamkos,8900,C,0,TB,LA-J.Quick,18.95,23.7,14.2,2.07,2.1,1,1,17,0,0.9,23,0,2,3.7,2.5,-225,6.0,83,-200,18.6,2.0,72,34,23,100,19.7,85,14,28,14,0.53,0.68,1.2,18.89,3.81,3.29,4.32,0.76,0.16,0.66,3.94,13.22,12.81,9.95,0.17,0.3,4.03,1.35,1.76,0.77,0.0,0.0,0.36,0.38,0.69,0.03,3.31,0.53,0.67,1.2,19.05,3.78,3.73,4.86,0.77,0.14,0.47,4.2,16.14,14.0,0.13,0.33,3.82,1.36,16.5,4.43,4.14,0.29,5.0,1.5,19.96,4.37,0.0,0.14,44.93,44.35,43.85,43.63,48.31,3.4,0.27,3.09,0.25,48.29,42.85,43.64,46.0,3.14,0.3,3.15,0.15,46.67,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,stamkos,s,stamkos8900cs,86475-8655,C,s,Steven Stamkos,stamkos,18.514893876745347,47.0,8900,LA@TB,TB,LA,,,,,,C/UTIL,stamkos8900cs
stutzle7800ct,93.72,Tim Stutzle,7800,C,0,OTT,MTL-S.Montembeault,16.28,20.4,12.2,1.65,2.1,1,1,13,0,2.2,66,2,1,4.0,2.7,-227,6.5,65,-194,14.3,2.9,63,42,30,91,17.8,64,35,50,14,0.4,0.55,0.95,19.82,2.88,2.47,3.44,0.72,0.16,0.68,3.15,15.26,13.88,11.26,0.14,0.28,3.53,0.65,0.94,0.7,0.01,0.0,0.25,0.28,0.59,0.06,3.29,0.64,0.5,1.14,21.62,3.16,3.14,4.07,0.77,0.2,0.57,3.71,17.29,16.0,0.14,0.07,3.97,0.71,17.71,3.57,3.0,0.57,3.57,0.71,21.51,4.12,0.14,0.0,49.81,45.96,46.79,44.71,41.56,3.26,0.25,3.4,0.25,48.21,52.6,44.57,40.07,3.71,0.21,3.4,0.35,39.57,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,stutzle,t,stutzle7800ct,86475-142017,C,t,Tim Stuetzle,stutzle,15.586363358931107,44.0,7800,MON@OTT,OTT,MON,,,,,,C/UTIL,stutzle7800ct
dubois7900cp,92.51,Pierre-Luc Dubois,7900,C,0,WPG,PHI-C.Hart,15.79,19.8,11.8,0.96,2.0,2,1,16,0,2.7,36,0,2,3.7,2.5,-227,6.0,85,-220,14.3,1.2,67,31,28,90,15.8,66,26,26,15,0.35,0.54,0.89,18.71,2.85,2.91,4.34,0.67,0.12,0.58,3.49,13.61,13.82,10.72,0.15,0.13,3.29,0.92,1.18,0.78,0.0,0.0,0.2,0.41,1.21,0.0,3.0,0.4,0.53,0.93,19.05,2.93,3.67,5.5,0.67,0.11,0.47,4.13,16.57,12.29,0.13,0.13,3.55,0.93,15.75,4.13,3.88,0.25,5.63,2.0,19.72,4.03,0.13,0.0,47.44,43.85,49.22,45.9,42.44,3.06,0.24,2.8,0.25,47.07,45.93,40.93,44.87,3.43,0.27,2.73,0.17,43.13,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,dubois,p,dubois7900cp,86475-70901,C,p,Pierre-Luc Dubois,dubois,15.89199951171875,50.0,7900,PHI@WPG,WPG,PHI,,,,,,C/UTIL,dubois7900cp
ek7300cj,90.62,Joel Eriksson Ek,7300,C,0,MIN,BUF-U.Luukkonen,15.01,18.8,11.2,1.41,2.1,2,1,12,0,0.7,29,0,2,3.8,2.9,-181,6.5,29,-196,13.4,2.3,68,33,31,95,15.0,84,15,30,13,0.35,0.4,0.75,18.9,2.38,2.93,3.96,0.74,0.12,0.56,3.48,11.61,10.84,8.6,0.12,0.14,3.25,0.8,1.1,0.73,0.02,0.01,0.21,0.25,0.49,0.02,2.91,0.38,0.54,0.92,19.35,2.85,2.85,4.08,0.7,0.14,0.62,3.46,12.23,12.77,0.15,0.23,3.64,0.85,13.33,4.33,3.67,0.67,4.83,2.0,18.86,3.69,0.17,0.5,44.21,43.86,42.05,41.91,44.62,3.16,0.24,2.73,0.25,45.77,42.88,46.31,48.69,2.85,0.24,2.19,0.26,50.38,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,ek,j,ek7300cj,86475-73949,C,j,Joel Eriksson Ek,ek,14.261701867935503,47.0,7300,BUF@MIN,MIN,BUF,,,,,,C/UTIL,ek7300cj
draisaitl10100cl,90.58,Leon Draisaitl,10100,C,0,EDM,CHI-P.Mrazek,25.39,31.7,19.0,6.04,2.5,2,1,11,0,-3.0,19,0,3,4.5,2.2,-420,6.5,88,-320,20.2,1.0,72,30,23,108,19.1,61,23,23,13,0.59,0.91,1.5,21.78,4.13,3.18,4.35,0.73,0.18,0.49,3.67,15.17,15.82,11.52,0.29,0.3,4.0,1.22,1.71,0.71,0.01,0.01,0.29,0.61,0.42,0.0,2.69,0.64,0.82,1.45,21.59,4.03,2.45,3.45,0.71,0.26,0.36,2.82,16.82,15.36,0.27,0.45,3.67,1.09,16.0,2.33,2.17,0.17,2.67,1.0,20.94,2.44,0.17,0.33,50.58,47.32,50.23,44.53,39.1,3.22,0.29,2.8,0.25,49.17,50.93,42.67,38.0,3.08,0.32,2.86,0.13,37.86,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,draisaitl,l,draisaitl10100cl,86475-58331,C,l,Leon Draisaitl,draisaitl,21.14680903008644,47.0,10100,CHI@EDM,EDM,CHI,,,,,,C/UTIL,draisaitl10100cl
malkin7400ce,90.4,Evgeni Malkin,7400,C,0,PIT,SJ-K.Kahkonen,16.64,20.8,12.4,2.83,2.2,2,1,10,0,-0.1,50,0,2,4.1,2.6,-250,6.5,82,-240,14.8,0.7,64,30,26,93,17.7,61,30,30,13,0.41,0.56,0.98,18.67,3.15,3.15,4.02,0.78,0.13,0.33,3.48,14.52,12.42,11.06,0.16,0.29,3.96,1.02,1.38,0.74,0.0,0.0,0.25,0.28,0.62,0.0,3.11,0.43,0.57,1.0,20.03,3.0,3.0,4.29,0.7,0.14,0.43,3.43,14.5,13.36,0.21,0.21,4.8,1.36,16.0,3.5,3.25,0.25,4.25,2.13,19.78,3.93,0.25,0.25,48.26,48.71,48.38,46.16,42.77,3.33,0.22,2.92,0.16,48.57,45.0,45.21,46.77,3.93,0.2,2.62,0.24,42.17,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,malkin,e,malkin7400ce,86475-8595,C,e,Evgeni Malkin,malkin,14.745833079020182,48.0,7400,SJ@PIT,PIT,SJ,,,,,,C/UTIL,malkin7400ce
point8400cb,89.22,Brayden Point,8400,C,0,TB,LA-J.Quick,15.96,20.0,11.9,0.1,1.9,1,1,10,0,0.9,19,0,2,3.7,2.5,-225,6.0,83,-200,14.6,0.1,61,28,29,100,18.8,78,21,42,14,0.46,0.48,0.93,19.54,2.86,2.74,3.67,0.75,0.17,0.43,3.17,14.13,13.42,10.53,0.18,0.18,3.85,0.87,1.1,0.79,0.0,0.0,0.27,0.29,0.21,0.0,2.9,0.73,0.6,1.33,18.73,4.26,3.13,4.14,0.76,0.23,0.33,3.47,16.0,13.57,0.27,0.2,3.49,0.79,12.33,3.29,2.86,0.43,3.83,1.33,18.64,3.78,0.14,0.14,44.93,44.35,43.85,43.63,48.31,3.4,0.27,3.09,0.25,48.29,42.85,43.64,46.0,3.14,0.3,3.15,0.15,46.67,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,point,b,point8400cb,86475-58926,C,b,Brayden Point,point,16.861702127659573,47.0,8400,LA@TB,TB,LA,,,,,,C/UTIL,point8400cb
scheifele7400cm,85.11,Mark Scheifele,7400,C,0,WPG,PHI-C.Hart,15.85,19.9,11.8,2.04,2.1,1,1,4,0,-3.5,29,0,2,3.7,2.5,-227,6.0,85,-220,15.6,2.2,62,32,30,90,15.5,66,33,33,15,0.58,0.47,1.05,20.56,3.06,2.42,3.46,0.7,0.24,0.53,2.95,15.21,15.36,11.42,0.16,0.14,3.35,0.65,0.99,0.66,0.0,0.0,0.42,0.33,0.65,0.01,2.48,0.6,0.53,1.13,19.29,3.51,2.0,3.36,0.6,0.3,0.4,2.4,14.21,13.5,0.2,0.27,3.57,0.71,14.5,2.13,2.13,0.0,3.5,0.88,19.58,3.9,0.0,0.25,47.44,43.85,49.22,45.9,42.44,3.06,0.24,2.8,0.25,47.07,45.93,40.93,44.87,3.43,0.27,2.73,0.17,43.13,1/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,scheifele,m,scheifele7400cm,86475-15321,C,m,Mark Scheifele,scheifele,14.43800048828125,50.0,7400,PHI@WPG,WPG,PHI,,,,,,C/UTIL,scheifele7400cm
