RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
stutzle8000ct,94.54,Tim Stutzle,8000,C,0,OTT,CHI-PMrazek,17.83,22.3,13.3,2.79,2.2,1,1,12,0,0.3,35,0,3,4.2,2.5,-275,6.5,88,-205,15.9,3.9,66,45,27,86,19.8,70,50,30,10,0.45,0.63,1.07,19.91,3.23,2.57,3.57,0.72,0.17,0.71,3.28,15.49,13.63,11.51,0.14,0.3,3.56,0.7,0.99,0.71,0.01,0.0,0.29,0.33,0.55,0.06,2.76,0.5,1.0,1.5,21.54,4.18,2.8,3.7,0.76,0.18,0.7,3.5,17.7,14.8,0.2,0.2,4.22,0.7,18.0,3.33,2.67,0.67,3.33,1.0,22.18,3.85,0.0,0.33,47.06,46.01,49.94,44.27,39.4,3.34,0.26,2.8,0.24,44.9,51.83,46.3,41.92,4.1,0.27,2.67,0.16,46.2,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,stutzle,t,stutzle8000ct,87112-142017,C,t,Tim Stuetzle,stutzle,16.638775261080994,49.0,8000,CHI@OTT,OTT,CHI,,,,,,C/UTIL,stutzle8000ct
draisaitl9600cl,94.02,Leon Draisaitl,9600,C,0,EDM,NYR-IShesterkin,20.27,25.4,15.2,1.95,2.1,2,1,12,0,0.0,43,0,2,3.7,3.5,-125,7.0,24,-125,20.2,1.1,72,31,22,105,15.8,66,22,33,9,0.59,0.94,1.53,21.84,4.2,3.15,4.33,0.73,0.19,0.49,3.64,15.21,16.02,11.65,0.31,0.3,4.03,1.26,1.73,0.73,0.01,0.01,0.26,0.63,0.43,0.0,2.76,0.5,0.7,1.2,21.64,3.33,2.3,3.1,0.74,0.22,0.2,2.5,16.7,15.0,0.4,0.1,3.58,1.1,16.0,3.2,3.2,0.0,4.4,2.0,22.25,4.62,0.4,0.2,48.02,47.23,45.52,44.55,45.01,3.27,0.3,2.73,0.2,49.6,48.0,40.6,41.89,3.0,0.3,2.67,0.17,38.2,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYR,draisaitl,l,draisaitl9600cl,87112-58331,C,l,Leon Draisaitl,draisaitl,20.677358951208728,53.0,9600,NYR@EDM,EDM,NYR,,,,,,C/UTIL,draisaitl9600cl
mcdavid10200cc,90.76,Connor McDavid,10200,C,0,EDM,NYR-IShesterkin,24.84,31.0,18.6,5.29,2.4,1,1,23,0,-3.6,94,0,2,3.7,3.5,-125,7.0,24,-125,24.7,4.8,81,44,15,105,25.7,88,55,11,9,0.68,1.12,1.8,22.41,4.82,4.16,5.27,0.79,0.16,0.44,4.6,18.84,15.31,14.37,0.21,0.5,3.88,1.08,1.4,0.77,0.01,0.04,0.46,0.59,0.44,0.05,3.85,0.5,1.1,1.6,23.46,4.09,5.3,5.9,0.9,0.09,0.7,6.0,19.7,14.3,0.0,0.7,3.47,1.0,18.4,6.0,5.4,0.6,5.6,1.6,23.89,4.59,0.0,0.4,48.02,47.23,45.52,44.55,45.01,3.27,0.3,2.73,0.2,49.6,48.0,40.6,41.89,3.0,0.3,2.67,0.17,38.2,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYR,mcdavid,c,mcdavid10200cc,87112-64102,C,c,Connor McDavid,mcdavid,25.76727183948864,55.0,10200,NYR@EDM,EDM,NYR,,,,,,C/UTIL,mcdavid10200cc
kopitar7000ca,88.88,Anze Kopitar,7000,C,0,LA,ANA-JGibson,14.02,17.6,10.4,1.04,2.0,1,1,10,0,-0.2,35,1,4,4.2,2.5,-272,6.5,96,-205,12.8,1.1,60,34,38,95,17.4,77,55,22,9,0.23,0.56,0.79,20.43,2.32,2.29,3.05,0.75,0.1,1.12,3.41,14.66,13.57,10.93,0.06,0.18,3.16,0.55,0.74,0.75,0.0,0.01,0.17,0.37,0.13,0.01,3.11,0.44,0.78,1.22,19.47,3.76,2.44,3.0,0.81,0.18,1.11,3.56,12.56,12.33,0.22,0.11,2.58,0.44,14.0,3.0,2.0,1.0,2.0,0.0,18.08,2.61,0.0,0.5,50.48,48.04,51.64,44.46,42.48,3.23,0.22,3.2,0.26,43.11,55.91,46.89,43.55,3.0,0.26,3.27,0.17,36.8,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,kopitar,a,kopitar7000ca,87112-8394,C,a,Anze Kopitar,kopitar,13.149091131036933,55.0,7000,LA@ANH,LA,ANH,,,,,,C/UTIL,kopitar7000ca
danault5600cp,88.67,Phillip Danault,5600,C,0,LA,ANA-JGibson,12.45,15.7,9.2,2.34,2.2,2,2,9,0,2.0,71,1,4,4.2,2.5,-272,6.5,96,-205,12.1,2.3,71,38,28,95,11.3,66,33,33,9,0.33,0.4,0.73,18.49,2.37,2.12,2.98,0.71,0.15,0.91,3.02,13.95,12.77,10.64,0.07,0.13,2.38,0.35,0.46,0.76,0.0,0.05,0.25,0.22,0.62,0.0,2.25,0.11,0.56,0.67,18.54,2.17,2.11,2.78,0.76,0.05,1.11,3.22,13.22,14.67,0.0,0.33,1.93,0.56,11.0,2.0,1.0,1.0,1.5,1.0,17.68,2.46,0.0,1.0,50.48,48.04,51.64,44.46,42.48,3.23,0.22,3.2,0.26,43.11,55.91,46.89,43.55,3.0,0.26,3.27,0.17,36.8,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,danault,p,danault5600cp,87112-15277,C,p,Phillip Danault,danault,11.545454545454543,55.0,5600,LA@ANH,LA,ANH,,,,,,C/UTIL,danault5600cp
zibanejad8500cm,87.84,Mika Zibanejad,8500,C,0,NYR,EDM-SSkinner,15.66,19.6,11.7,-0.4,1.8,1,1,13,0,-1.7,22,1,2,3.5,3.7,105,7.0,76,104,16.8,0.8,71,26,24,103,20.8,66,33,33,9,0.47,0.6,1.07,20.23,3.17,3.14,4.56,0.69,0.15,0.5,3.64,13.2,13.19,10.09,0.25,0.15,3.27,1.08,1.59,0.68,0.02,0.02,0.2,0.43,0.15,0.01,3.1,1.0,0.33,1.33,19.1,4.18,3.0,4.56,0.66,0.33,0.67,3.67,9.89,13.0,0.44,0.0,2.39,1.0,9.2,4.4,3.2,1.2,5.4,2.2,18.19,2.07,0.6,0.0,41.63,45.01,44.55,45.52,47.23,2.79,0.25,3.45,0.23,41.89,40.6,48.0,49.6,2.11,0.26,3.0,0.23,46.0,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,zibanejad,m,zibanejad8500cm,87112-14565,C,m,Mika Zibanejad,zibanejad,17.39999954788773,54.0,8500,NYR@EDM,NYR,EDM,,,,,,C/UTIL,zibanejad8500cm
crosby8400cs,84.88,Sidney Crosby,8400,C,0,PIT,NYI-ISorokin,15.07,18.9,11.3,-0.79,1.8,1,1,16,0,1.2,43,1,3,3.0,3.1,-105,6.0,45,-110,17.5,0.8,73,35,26,91,20.0,90,40,10,10,0.48,0.78,1.26,20.15,3.75,2.97,4.02,0.74,0.16,0.58,3.54,17.68,14.62,13.14,0.1,0.23,3.75,0.77,0.93,0.83,0.0,0.0,0.38,0.54,0.69,0.03,2.97,0.3,1.3,1.6,19.59,4.9,3.1,4.3,0.72,0.1,0.4,3.5,20.7,16.7,0.2,0.5,3.11,0.8,25.75,3.25,3.0,0.25,4.25,0.75,19.12,3.32,0.0,0.0,52.87,49.44,48.87,46.48,44.28,3.31,0.21,2.89,0.16,57.0,51.0,48.4,50.33,3.2,0.28,2.75,0.18,49.6,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYI,crosby,s,crosby8400cs,87112-8594,C,s,Sidney Crosby,crosby,17.09622595445165,53.0,8400,PIT@NYI,PIT,NYI,,,,,,C/UTIL,crosby8400cs
nelson7300cb,84.77,Brock Nelson,7300,C,0,NYI,PIT-CDesmith,16.43,20.6,12.3,2.83,2.3,2,1,15,0,2.0,43,1,3,3.1,3.0,-115,6.0,55,-110,14.4,1.4,73,39,25,96,17.2,91,50,8,12,0.46,0.46,0.92,18.52,2.98,2.83,3.63,0.78,0.16,0.56,3.4,13.53,14.47,9.76,0.13,0.09,2.9,0.83,1.08,0.77,0.0,0.0,0.33,0.36,0.31,0.06,3.09,0.58,0.5,1.08,18.7,3.46,3.42,4.58,0.75,0.17,0.42,3.83,17.25,15.17,0.08,0.08,3.11,0.67,14.6,4.2,3.8,0.4,5.4,1.8,19.59,3.72,0.2,0.2,47.94,44.28,46.48,48.87,49.44,2.69,0.21,3.0,0.21,50.33,48.4,51.0,57.0,2.83,0.12,3.5,0.29,59.75,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,nelson,b,nelson7300cb,87112-21897,C,b,Brock Nelson,nelson,14.626316003632128,57.0,7300,PIT@NYI,NYI,PIT,,,,,,C/UTIL,nelson7300cb
horvat8300cb,82.36,Bo Horvat,8300,C,0,NYI,PIT-CDesmith,16.13,20.2,12.1,0.48,1.9,1,1,9,0,-0.7,82,1,3,3.1,3.0,-115,6.0,55,-110,17.4,2.3,63,33,27,84,15.3,60,30,40,10,0.65,0.42,1.06,20.05,3.17,2.85,3.76,0.76,0.23,0.65,3.49,13.05,13.19,9.7,0.24,0.13,3.62,0.99,1.33,0.74,0.05,0.01,0.35,0.28,0.35,0.08,3.47,0.4,0.6,1.0,21.17,2.83,2.7,3.56,0.76,0.15,0.5,3.2,14.33,12.67,0.1,0.3,4.37,0.67,16.0,4.0,3.25,0.75,4.25,0.75,21.76,4.06,0.25,0.25,47.94,44.28,46.48,48.87,49.44,2.69,0.21,3.0,0.21,50.33,48.4,51.0,57.0,2.83,0.12,3.5,0.29,59.75,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,horvat,b,horvat8300cb,87112-42478,C,b,Bo Horvat,horvat,17.22222222222222,54.0,8300,PIT@NYI,NYI,PIT,,,,,,C/UTIL,horvat8300cb
trocheck6400cv,81.55,Vincent Trocheck,6400,C,0,NYR,EDM-SSkinner,10.78,13.6,8.0,-0.97,1.7,2,2,5,0,-2.4,35,1,2,3.5,3.7,105,7.0,76,104,11.4,0.6,59,27,40,101,12.5,55,33,44,9,0.28,0.38,0.67,18.95,2.12,2.64,3.94,0.67,0.11,0.51,3.15,13.9,11.79,10.37,0.1,0.11,3.28,0.84,1.18,0.71,0.01,0.0,0.18,0.27,0.66,0.02,2.25,0.22,0.67,0.89,18.09,2.95,2.11,3.44,0.61,0.11,0.67,2.78,15.44,13.78,0.0,0.11,1.97,0.56,12.8,2.6,2.0,0.6,3.2,1.2,17.61,1.46,0.0,0.2,41.63,45.01,44.55,45.52,47.23,2.79,0.25,3.45,0.23,41.89,40.6,48.0,49.6,2.11,0.26,3.0,0.23,46.0,2/17/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,trocheck,v,trocheck6400cv,87112-15283,C,v,Vincent Trocheck,trocheck,12.559259485315394,54.0,6400,NYR@EDM,NYR,EDM,,,,,,C/UTIL,trocheck6400cv
