,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
acciari4200cn,68.12,Noel Acciari,4200,C,0,TOR,BUF-U.Luukkonen,6.21,7.9,4.5,-1.03,1.5,4,0,0,0,-1.3,42,0,2,4,3.1,-175,7,51,-164,6.8,0.2,49,20,32,97,5.8,44,11,33,9,0.17,0.14,0.31,13.5,1.38,1.35,1.82,0.74,0.12,0.89,2.24,9.26,10.59,7.15,0,0,0.18,0.01,0.01,1,0,0.02,0.17,0.12,0.25,0.04,1.59,0.1,0,0.1,16.33,0.37,2,2.67,0.75,0.05,0.9,2.9,11.8,11,0,0,0.37,0,12.8,3.6,3,0.6,3.4,0,15.15,0.07,0,0,48.12,47.33,42.07,42.7,44.77,3.12,0.24,2.73,0.26,53.09,44.1,44.82,45,2.45,0.3,2.2,0.32,45.25,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,acciari,n,acciari4200cn,87209-62861,C,n,Noel Acciari,acciari,7.457142966,56,4200,TOR@BUF,TOR,BUF,,,,,,C/UTIL,acciari4200cn,2900
aho7900cs,89.89,Sebastian Aho,7900,C,0,CAR,STL-J.Binnington,16.98,21.3,12.7,2.15,2.1,1,1,8,0,3.2,76,0,3,4.1,2.1,-362,6,84,-265,14.6,-0.4,66,25,26,99,15.9,66,22,33,9,0.45,0.47,0.93,19.25,2.9,2.81,4.06,0.69,0.16,0.34,3.15,14.03,10.59,10.89,0.09,0.16,3.25,0.61,1.06,0.58,0.04,0.02,0.32,0.29,0.51,0.06,3.06,1,0.1,1.1,18.9,3.49,3.3,4.5,0.73,0.3,0.2,3.5,14.9,9.5,0.3,0,2.53,0.7,19,2.5,2.5,0,4.5,0.25,19.44,2.86,0,0,49.74,51.96,47.61,36.82,40.76,3.15,0.19,2.5,0.23,51.8,42.9,37.2,42.8,2.5,0.28,2.9,0.21,44.2,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,aho,s,aho7900cs,87209-73946,C,s,Sebastian Aho,aho,15.72499975,48,7900,STL@CAR,CAR,STL,,,,,,C/UTIL,aho7900cs,7100
alexandrov3500cn,22.56,Nikita Alexandrov,3500,C,0,STL,CAR-F.Andersen,4.65,6,3.3,-1.15,1.3,3,0,1,0,0.5,65,0,2,2.1,4.1,287,6,16,215,4.6,-0.1,11,4,13,69,0.8,0,0,25,8,0.17,0.11,0.28,9.06,1.85,0.94,1.29,0.73,0.18,0.5,1.44,6.94,8.06,5.22,0,0,0.21,0,0.06,0,0,0,0.17,0.11,0.44,0,1.25,0.33,0,0.33,10.59,1.87,0.67,2,0.33,0.5,0.33,1,8,8.33,0,0,1.12,0,11,1,1,0,3,1,14.85,3.37,0,0,40.35,40.76,36.82,47.61,51.96,2.94,0.26,3.3,0.19,42.8,37.2,42.9,51.8,3.2,0.16,2.7,0.11,56,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,alexandrov,n,alexandrov3500cn,87209-113932,C,n,Nikita Alexandrov,alexandrov,5.178947449,19,3500,STL@CAR,STL,CAR,,,,,,C/UTIL,alexandrov3500cn,2500
allison4100ww,37.97,Wade Allison,4100,W,0,PHI,EDM-S.Skinner,6.49,8.3,4.7,-0.78,1.6,2,0,0,0,-1.2,50,2,1,2.6,4.7,262,7,24,245,7.2,0,26,10,16,89,6.1,45,18,45,11,0.21,0.1,0.31,12.25,1.52,1.41,2.03,0.7,0.15,1.05,2.46,10.64,12.33,8.46,0,0,0.4,0.05,0.05,1,0,0,0.21,0.1,0.38,0,1.59,0.18,0.09,0.27,11.95,1.35,1.09,1.45,0.75,0.17,1.18,2.27,10.55,13,0,0,0.1,0,10.43,2,0.71,1.29,1,0,12.48,0.15,0,0,43.23,43.18,44.84,50.01,47.36,2.91,0.13,3.44,0.23,44.17,40.5,51.42,49.6,2.08,0.16,3.2,0.25,47.57,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,allison,w,allison4100ww,87209-128513,W,w,Wade Allison,allison,7.220512977,39,4100,PHI@EDM,PHI,EDM,,,,,,W/UTIL,allison4100ww,2900
amadio4800wm,66.31,Michael Amadio,4800,W,0,VGK,CHI-P.Mrazek,7.74,9.8,5.6,-0.89,1.6,2,0,0,0,-1.9,9,0,3,4.2,2.5,-295,6.5,72,-280,6.7,-0.4,39,21,40,87,7.3,55,22,44,9,0.23,0.14,0.37,12.56,1.77,1.37,1.74,0.79,0.17,0.3,1.67,12.7,11.02,9.08,0.01,0,0.26,0.04,0.04,1,0,0,0.21,0.14,0.3,0,2.17,0.3,0.1,0.4,12.59,1.91,2.2,2.9,0.76,0.14,0.2,2.4,13.9,11.4,0,0,0.39,0.1,14.2,3,2.8,0.2,3.4,0.2,12.49,0.73,0,0,49.85,50.15,50.17,47.76,39.2,2.61,0.21,2.81,0.24,49.5,50.42,48.2,40.08,2.6,0.04,2.75,0.18,44,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,amadio,m,amadio4800wm,87209-59142,W,m,Michael Amadio,amadio,6.697618757,42,4800,VGK@CHI,VGK,CHI,,,,,,W/UTIL,amadio4800wm,2900
aman3500cn,41.1,Nils Aman,3500,C,0,VAN,NAS-J.Saros,4.13,5.3,2.9,-1.67,1.2,4,0,0,0,-4.9,65,0,3,3,3.7,135,6.5,37,140,3.7,-1.5,27,10,47,55,5.8,40,20,30,10,0.05,0.12,0.17,12.1,0.84,0.76,1.02,0.74,0.06,0.57,1.33,7.48,10.45,5.53,0,0,0.09,0,0,0,0,0,0.05,0.12,0.14,0,1.01,0.14,0.14,0.29,12.53,1.39,1.43,1.71,0.83,0.1,0.43,1.86,8,8.86,0,0,0,0,8,1.86,1.43,0.43,1.71,0,12.53,0,0,0,44.91,43.44,47.57,46.23,44.95,3.17,0.27,3.33,0.23,44.64,43.89,41.09,49.78,3,0.21,2.56,0.22,47,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,aman,n,aman3500cn,87209-170839,C,n,Nils Aman,aman,3.657143002,42,3500,VAN@NSH,VAN,NSH,,,,,,C/UTIL,aman3500cn,2500
andersen8500gf,77.5,Frederik Andersen,8500,G,0,CAR,STL-JBinnington,20.04,25.1,15,1.91,2.4,1,0,7,0,-5.2,48,0,0,4.1,2.1,-362,6,83,-265,16.9,-0.2,23,17,11,99,14.8,44,33,22,9,2.37,0,0,0,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82,40.76,0,0,0,0,0,0,37.2,42.8,0,0,0,0,44.2,2/21/2023,0,23.2,0.63,0.31,58.63,0.06,20.7,2.43,0.71,0.67,40.35,3.45,28.99,3.3,0.19,2.94,0.26,2.9,29.9,2.7,0.11,3.2,0.16,30.4,STL,andersen,f,andersen8500gf,87209-23072,G,f,Frederik Andersen,andersen,16.12631547,19,8500,STL@CAR,CAR,STL,,,,,,G,andersen8500gf,8300
anderson3900dm,58.15,Mikey Anderson,3900,D,0,LA,MIN-F.Gustavsson,5.89,7.5,4.3,-1.48,1.5,1,0,0,0,-0.9,78,0,3,2.9,3.2,105,6,48,110,6.1,-0.9,55,14,20,95,6.3,66,33,33,9,0.03,0.2,0.23,21.45,0.64,1.05,1.58,0.67,0.03,1.55,2.61,16.61,16.89,12.54,0,0,0.1,0.01,0.01,1,0,0.01,0.03,0.19,0.57,0,1.08,0,0.2,0.2,22.38,0.54,0.7,0.9,0.78,0,1.8,2.5,14.8,20.9,0,0,0.07,0,15.25,3.25,0.75,2.5,1,0,22.09,0.1,0,0,46.04,47.96,42.15,44.44,44.61,3.24,0.23,3.28,0.23,44.8,45.17,45.9,50.08,3.1,0.35,2.92,0.09,51.5,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,anderson,m,anderson3900dm,87209-103753,D,m,Mikey Anderson,anderson,6.350877193,57,3900,LA@MIN,LA,MIN,,,,,,D/UTIL,anderson3900dm,3200
anderson4400wj,47.73,Josh Anderson,4400,W,0,MTL,NJD-V.Vanecek,9.12,11.5,6.7,1.27,2.1,1,2,12,0,-2.6,95,0,3,2.3,4.4,287,6.5,19,275,8.5,0.1,58,27,36,84,10.4,85,42,14,7,0.3,0.13,0.43,16.82,1.53,2.21,3.18,0.7,0.13,0.68,2.89,12,13.9,8.84,0.06,0,1.9,0.41,0.53,0.77,0,0,0.24,0.13,1.02,0,2.74,0.3,0.3,0.6,18.03,2,2.8,4.3,0.65,0.11,1.1,3.9,11.7,17.1,0.1,0,1.35,0.9,9.6,4.2,3.2,1,4.2,1.8,16.74,1.33,0.2,0,45.84,41.35,45.18,47.13,49.13,3.11,0.17,2.94,0.21,40.1,53,50.6,50.09,2.9,0.24,2.91,0.19,50.71,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,anderson,j,anderson4400wj,87209-42772,W,j,Josh Anderson,anderson,9.301851626,54,4400,MON@NJ,MON,NJ,,,,,,W/UTIL,anderson4400wj,4100
armia4200wj,40,Joel Armia,4200,W,0,MTL,NJD-V.Vanecek,8.33,10.6,6.1,0.87,2,3,1,4,0,-3,41,0,3,2.3,4.4,287,6.5,19,275,6.6,0.1,46,16,19,86,11.5,33,22,11,9,0.14,0.17,0.31,14.6,1.27,1.78,2.4,0.74,0.08,0.51,2.29,10.4,11.05,7.54,0.02,0.03,0.89,0.24,0.27,0.88,0.02,0,0.1,0.14,0.41,0,1.48,0.25,0.75,1,14.93,4.02,1,1.25,0.8,0.25,0.5,1.5,11.25,8,0,0.25,1.24,0,11.25,1.5,1,0.5,1.25,0,14.93,1.24,0,0.25,45.84,41.35,45.18,47.13,49.13,3.11,0.17,2.94,0.21,40.1,53,50.6,50.09,2.9,0.24,2.91,0.19,50.71,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,armia,j,armia4200wj,87209-42983,W,j,Joel Armia,armia,6.591666751,36,4200,MON@NJ,MON,NJ,,,,,,W/UTIL,armia4200wj,2900
