,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
acciari4200cn,65,Noel Acciari,4200,C,0,TOR,MIN-FGustavsson,5.21,6.7,3.7,-2.03,1.2,4,0,1,0,-3.5,34,0,3,3.6,2.5,-210,6,85,-152,6.8,0.1,50,20,33,96,5.8,44,33,11,9,0.17,0.14,0.31,13.5,1.38,1.33,1.8,0.74,0.12,0.88,2.21,9.25,10.59,7.15,0,0,0.18,0.01,0.01,1,0,0.02,0.17,0.12,0.25,0.04,1.38,0.1,0,0.1,16.08,0.37,1.9,2.56,0.74,0.05,0.9,2.8,11.6,11.6,0,0,0.27,0,12,3,2.5,0.5,2.83,0,14.85,0.06,0,0,48.24,47.06,42.56,42.88,44.51,3.12,0.25,3.22,0.23,50.6,47.92,44.4,49.23,2.5,0.32,2.69,0.06,48.63,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,acciari,n,acciari4200cn,87268-62861,C,n,Noel Acciari,acciari,7.326315897,57,4200,MIN@TOR,TOR,MIN,,,,,,C/UTIL,acciari4200cn,2800
addison4300dc,37.65,Calen Addison,4300,D,0,MIN,TOR-I.Samsonov,6.98,8.9,5.1,-1.25,1.6,3,1,2,0,-4,2,2,1,2.5,3.6,171,6,15,126,7.3,-0.6,28,12,30,96,7.5,50,16,8,12,0.05,0.44,0.49,16.17,1.82,1.26,1.77,0.71,0.04,0.63,1.89,11.59,10.43,8.66,0,0.32,3.67,0.38,0.49,0.78,0,0,0.05,0.12,0.39,0,1.23,0,0.44,0.44,15.79,1.67,1.33,1.78,0.75,0,0.78,2.11,10.67,11.44,0,0.11,3.84,0.33,12,2,1.4,0.6,2,0.4,15.83,3.47,0,0.2,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,addison,c,addison4300dc,87268-97055,D,c,Calen Addison,addison,7.490566038,53,4300,MIN@TOR,MIN,TOR,,,,,,D/UTIL,addison4300dc,2600
aho4100ds,62.9,Sebastian Aho,4100,D,0,NYI,LA-J.Quick,16.73,21,12.4,8.93,4.1,3,2,2,0,-3.2,73,0,2,3.3,2.9,-135,6,55,-134,6,-0.8,48,21,29,97,8.7,75,16,50,12,0.09,0.22,0.31,16.62,1.12,1.14,0,0,0.08,1.06,2.21,0,0,0,0,0.03,0,0,0,0,0,0,0.09,0.19,0.34,0,1.13,0.09,0.45,0.55,17.24,1.91,1.55,0,0,0.06,0.91,2.45,0,0,0,0.09,0,0,0,2,0.67,1.33,0,0,18.3,0,0,0,45.39,44.19,44.46,49.21,47.98,2.7,0.2,3.13,0.25,47.92,45.6,50.58,46.2,2.83,0.15,3.4,0.15,49.33,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,aho,s,aho4100ds,87268-82154,D,s,Sebastian Aho,aho,6.537500109,56,4100,LA@NYI,NYI,LA,,,,,,D/UTIL,aho4100ds,3300
aho7900cs,85.23,Sebastian Aho,7900,C,0,CAR,OTT-CTalbot,16.73,20.9,12.5,1.9,2.1,1,1,9,0,-1.8,42,1,3,4.1,2.6,-250,6.5,77,-265,14.7,-0.3,67,26,26,100,17.2,70,30,30,10,0.46,0.47,0.94,19.21,2.94,2.82,4.09,0.69,0.16,0.35,3.17,14.16,10.56,11.02,0.09,0.16,3.23,0.61,1.06,0.58,0.04,0.02,0.33,0.29,0.51,0.06,3.13,0.8,0.2,1,19.05,3.15,3.4,4.6,0.74,0.24,0.1,3.5,16.5,9.6,0.3,0,2.26,0.7,20.4,3,2.8,0.2,4.8,0.2,18.95,2.28,0,0,51.33,52.18,44.29,36.77,45.61,3.14,0.19,3.41,0.2,53.4,47.4,37.2,43.5,2.2,0.32,4.2,0.14,39,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,aho,s,aho7900cs,87268-73946,C,s,Sebastian Aho,aho,15.97550995,49,7900,OTT@CAR,CAR,OTT,,,,,,C/UTIL,aho7900cs,6600
allen6900gj,38.35,Jake Allen,6900,G,0,MTL,PHI-C.Hart,14.8,18.7,10.9,-0.49,2.1,1,0,1,0,-1.1,66,1,0,2.7,3.4,140,6,54,125,15.5,-0.2,39,19,10,86,17.4,44,11,22,9,3.44,0,0,0,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.24,42.98,0,0,0,0,0,0,51.2,44.09,0,0,0,0,43.71,2/24/2023,0,30.6,0.37,0.51,58.6,0.02,29.8,3.2,0.4,0.67,47.1,2.58,29.57,3.49,0.26,2.92,0.13,2.27,27.45,3.2,0.28,2.09,0.09,26,PHI,allen,j,allen6900gj,87268-9112,G,j,Jake Allen,allen,13.84242387,33,6900,MON@PHI,MON,PHI,,,,,,G,allen6900gj,7000
allison4200ww,62.22,Wade Allison,4200,W,0,PHI,MTL-J.Allen,7.54,9.6,5.5,0.08,1.8,2,0,1,0,0.3,82,1,3,3.4,2.7,-165,6,46,-145,7.4,0.1,28,11,16,89,5.8,40,50,20,10,0.2,0.13,0.33,12.31,1.61,1.43,2.03,0.7,0.14,1.05,2.48,10.6,12.35,8.45,0,0,0.4,0.05,0.05,1,0,0,0.2,0.13,0.43,0,1.72,0.2,0.1,0.3,11.97,1.5,1.2,1.4,0.86,0.17,1.1,2.3,10.3,12.4,0,0,0.14,0,9.86,2.14,0.86,1.29,1,0,12.84,0.2,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,allison,w,allison4200ww,87268-128513,W,w,Wade Allison,allison,7.359999847,40,4200,MON@PHI,PHI,MON,,,,,,W/UTIL,allison4200ww,3500
andersen7800gf,70.7,Frederik Andersen,7800,G,0,CAR,OTT-C.Talbot,18.88,23.7,14.1,2,2.4,1,0,7,0,0.9,91,1,0,4.1,2.6,-250,6.5,77,-265,17.4,0,24,18,11,100,17.8,50,20,40,10,2.31,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.77,45.61,0,0,0,0,0,0,37.2,43.5,0,0,0,0,39,2/24/2023,0,23.1,0.63,0.31,58.51,0.06,21.6,2.29,0.71,0.75,40.67,2.93,31.86,3.3,0.19,3.39,0.26,3.8,31.9,2.8,0.11,3.5,0.23,30.33,OTT,andersen,f,andersen7800gf,87268-23072,G,f,Frederik Andersen,andersen,17.11999969,20,7800,OTT@CAR,CAR,OTT,,,,,,G,andersen7800gf,8500
anderson3800dm,54,Mikey Anderson,3800,D,0,LA,NYI-I.Sorokin,6.18,7.9,4.5,-0.97,1.6,1,0,1,0,-3.6,73,2,1,2.9,3.3,114,6,45,112,6.1,-0.9,56,14,19,96,7.9,77,22,44,9,0.03,0.2,0.23,21.53,0.64,1.08,1.61,0.67,0.02,1.55,2.63,16.67,16.85,12.63,0,0,0.11,0.01,0.01,1,0,0.01,0.03,0.19,0.56,0,1.25,0,0.3,0.3,22.88,0.79,1.1,1.4,0.79,0,1.9,3,15.7,19.3,0,0,0.09,0,16.83,3.33,1.17,2.17,1.5,0,23.2,0.1,0,0,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,anderson,m,anderson3800dm,87268-103753,D,m,Mikey Anderson,anderson,6.461017156,59,3800,LA@NYI,LA,NYI,,,,,,D/UTIL,anderson3800dm,3000
anderson4600wj,58.75,Josh Anderson,4600,W,0,MTL,PHI-C.Hart,10.76,13.6,8,2.52,2.3,1,1,10,0,-3.9,77,1,3,2.7,3.4,140,6,54,125,8.5,0.1,59,27,35,84,10.9,85,14,42,7,0.28,0.12,0.4,16.92,1.42,2.24,3.23,0.69,0.12,0.65,2.89,12.11,14,8.91,0.06,0,1.91,0.41,0.54,0.77,0,0,0.22,0.12,1.04,0,2.72,0.2,0.3,0.5,18.03,1.66,2.9,4.3,0.67,0.07,1.1,4,11.9,16.4,0.1,0,1.23,0.9,10,4.33,3.5,0.83,4.5,1.5,17,1.25,0.17,0,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,anderson,j,anderson4600wj,87268-42772,W,j,Josh Anderson,anderson,9.278181596,55,4600,MON@PHI,MON,PHI,,,,,,W/UTIL,anderson4600wj,3800
andersondolan3700cj,45.22,J. Anderson-Dolan,3700,C,0,LA,NYI-ISorokin,3.94,5.1,2.8,-2.27,1.1,4,0,1,0,-1.2,49,2,1,2.9,3.3,114,6,45,112,5.7,0,28,7,16,96,8.4,44,22,33,9,0.15,0.09,0.24,11.16,1.29,1.22,1.68,0.72,0.12,0.67,1.89,8.91,9.68,6.77,0,0.02,0.43,0.02,0.02,1,0,0,0.15,0.07,0.13,0,1.2,0.29,0.14,0.43,12.51,2.06,1.29,1.57,0.82,0.22,0.86,2.14,7.29,13.43,0,0.14,1.02,0,4.33,1.67,0.33,1.33,0.33,0,8.14,0.01,0,0,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,andersondolan,j,andersondolan3700cj,87268-82026,C,j,Jaret Anderson-Dolan,andersondolan,5.556818182,44,3700,LA@NYI,LA,NYI,,,,,,C/UTIL,andersondolan3700cj,2500
