RylandID_master,Unnamed: 0,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
agozzino3600wa,agozzino3600wa,68.17,Andrew Agozzino,3600,W,0,SJ,WPG-C.Hellebuyck,9.4,11.9,6.9,3.11,2.6,2,1,4,0,-2.5,94,0,3,2.8,3.9,172,6.5,8,155,18.2,1.3,10,10,0,20,18.2,66,0,66,3,0.33,0.67,1.0,15.06,3.98,2.33,3.0,0.78,0.14,1.0,3.33,8.33,11.67,6.67,0.0,0.0,1.41,0.0,0.33,0.0,0.33,0.0,0.0,0.67,0.0,0.0,2.24,0.33,0.67,1.0,15.06,3.98,2.33,3.0,0.78,0.14,1.0,3.33,8.33,11.67,0.0,0.0,1.41,0.0,8.33,3.33,2.33,1.0,3.0,0.33,15.06,1.41,0.0,0.0,43.56,45.86,43.83,46.95,44.85,2.56,0.18,2.9,0.2,45.92,41.5,46.08,46.5,2.69,0.11,3.07,0.23,48.29,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WPG,agozzino,a,88511-42628,W,a,Andrew Agozzino,agozzino,15.33333333,3.0,3600,WPG@SJ,SJ,WPG,,,,,,W/UTIL,agozzino3600wa,3200
aho7200cs,aho7200cs,79.96,Sebastian Aho,7200,C,0,CAR,TB-A.Vasilevskiy,16.28,20.4,12.2,2.88,2.3,1,1,6,0,-1.3,93,0,2,3.3,2.9,-135,6.0,58,-140,14.8,0.2,65,30,28,100,13.2,64,35,21,14,0.48,0.46,0.94,19.22,2.93,2.84,4.09,0.7,0.17,0.35,3.2,14.43,10.87,11.23,0.08,0.11,3.21,0.57,0.95,0.6,0.04,0.02,0.35,0.32,0.46,0.04,2.73,0.57,0.14,0.71,19.59,2.17,3.0,4.0,0.75,0.19,0.21,3.21,16.62,12.69,0.07,0.07,2.76,0.38,15.57,2.29,2.29,0.0,3.43,0.0,19.88,2.52,0.0,0.0,49.68,52.8,43.98,36.55,45.78,3.14,0.19,3.14,0.22,56.15,42.0,35.38,46.33,2.62,0.29,3.13,0.28,48.14,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,aho,s,88511-73946,C,s,Sebastian Aho,aho,15.23384634,65.0,7200,TB@CAR,CAR,TB,,,,,,C/UTIL,aho7200cs,6700
allison4000ww,allison4000ww,48.21,Wade Allison,4000,W,0,PHI,MTL-C.Primeau,7.22,9.2,5.2,0.15,1.8,2,0,0,0,-1.4,44,0,3,3.6,3.0,-150,6.5,63,-170,6.7,-0.3,32,11,25,87,4.6,27,45,0,11,0.16,0.1,0.26,12.66,1.23,1.44,2.14,0.67,0.11,1.06,2.5,10.9,12.86,8.67,0.0,0.0,0.33,0.04,0.04,1.0,0.0,0.0,0.16,0.1,0.72,0.0,1.89,0.0,0.0,0.0,14.13,0.0,1.63,2.71,0.6,0.0,1.25,2.88,11.43,15.86,0.0,0.0,0.03,0.0,10.0,3.0,1.4,1.6,2.0,0.0,13.34,0.0,0.0,0.0,47.12,43.29,48.65,48.66,41.48,2.82,0.14,3.3,0.26,42.7,53.2,46.0,40.53,2.3,0.17,2.93,0.3,41.13,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,allison,w,88511-128513,W,w,Wade Allison,allison,6.72,50.0,4000,MON@PHI,PHI,MON,,,,,,W/UTIL,allison4000ww,2800
amadio4000wm,amadio4000wm,50.9,Michael Amadio,4000,W,0,VGK,EDM-S.Skinner,5.77,7.4,4.1,-1.3,1.4,2,0,0,0,-0.6,23,0,3,3.5,3.7,-100,7.0,66,-110,6.8,-0.5,44,25,39,87,6.8,76,23,38,13,0.22,0.15,0.37,12.55,1.77,1.48,1.87,0.79,0.15,0.36,1.84,11.78,10.93,8.44,0.01,0.01,0.49,0.07,0.09,0.83,0.0,0.0,0.21,0.14,0.23,0.0,1.77,0.15,0.23,0.38,13.12,1.74,1.23,1.5,0.82,0.12,0.69,1.92,10.0,12.08,0.0,0.0,0.97,0.17,12.33,2.5,1.5,1.0,1.67,0.0,13.27,0.03,0.0,0.0,44.43,48.52,44.38,49.87,47.41,2.48,0.22,3.43,0.22,44.67,40.92,57.92,44.58,2.33,0.25,2.92,0.29,45.86,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,amadio,m,88511-59142,W,m,Michael Amadio,amadio,6.877965895,59.0,4000,EDM@VGK,VGK,EDM,,,,,,W/UTIL,amadio4000wm,2500
aman3700cn,aman3700cn,36.46,Nils Aman,3700,C,0,VAN,STL-J.Binnington,4.75,6.1,3.4,-1.46,1.3,4,0,1,0,0.8,45,0,2,3.3,3.3,-110,6.5,55,-105,4.5,-1.1,37,16,43,72,7.3,69,30,46,13,0.07,0.17,0.24,12.57,1.14,0.78,1.09,0.72,0.09,0.59,1.37,7.74,10.84,5.67,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.03,0.07,0.14,0.27,0.0,1.0,0.15,0.38,0.54,13.45,2.41,0.92,1.15,0.8,0.17,0.38,1.31,8.54,11.23,0.0,0.0,0.08,0.0,8.0,1.13,0.75,0.38,0.88,0.0,13.83,0.07,0.0,0.0,44.05,41.99,48.6,45.01,40.38,3.3,0.25,2.48,0.23,39.38,46.29,45.15,39.43,3.15,0.2,3.0,0.29,37.57,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STL,aman,n,88511-170839,C,n,Nils Aman,aman,4.433898409,59.0,3700,VAN@STL,VAN,STL,,,,,,C/UTIL,aman3700cn,2500
anderson3800dm,anderson3800dm,47.12,Mikey Anderson,3800,D,0,LA,CGY-J.Markstrom,6.39,8.1,4.7,-0.76,1.7,1,0,1,0,-2.8,91,0,2,2.9,3.3,115,6.0,76,120,7.0,-0.3,65,21,20,93,11.0,90,9,63,11,0.06,0.21,0.27,21.79,0.74,1.15,1.7,0.68,0.05,1.72,2.87,16.73,16.44,12.63,0.01,0.0,0.12,0.03,0.03,1.0,0.0,0.01,0.05,0.2,0.56,0.0,1.15,0.25,0.25,0.5,21.79,1.38,1.25,1.92,0.65,0.2,2.25,3.5,17.0,14.83,0.08,0.0,0.21,0.08,16.5,3.33,1.67,1.67,2.0,0.17,21.41,0.37,0.17,0.0,46.21,47.5,39.55,44.07,52.71,3.32,0.24,3.34,0.19,50.25,42.07,40.17,54.79,3.5,0.26,2.86,0.13,54.86,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CGY,anderson,m,88511-103753,D,m,Mikey Anderson,anderson,7.14657551,73.0,3800,LA@CGY,LA,CGY,,,,,,D/UTIL,anderson3800dm,3500
anderson4000wj,anderson4000wj,26.77,Joey Anderson,4000,W,0,CHI,DAL-J.Oettinger,5.2,6.7,3.7,-1.87,1.3,3,0,0,0,-2.1,28,0,2,2.3,3.9,242,6.0,7,230,5.6,-0.4,21,7,18,69,6.8,46,53,23,13,0.18,0.11,0.29,11.1,1.57,1.11,1.88,0.59,0.16,0.5,1.61,9.96,7.77,7.73,0.0,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.18,0.11,0.0,0.0,1.29,0.21,0.14,0.36,12.42,1.74,1.14,2.14,0.53,0.19,0.57,1.71,9.79,8.86,0.0,0.0,0.06,0.0,12.0,1.43,1.29,0.14,2.29,0.0,13.52,0.06,0.0,0.0,43.06,38.93,47.17,50.28,46.96,2.99,0.16,2.88,0.17,38.07,45.08,48.43,46.08,3.07,0.07,2.42,0.17,42.57,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,anderson,j,88511-82993,W,j,Joey Anderson,anderson,5.268965622,29.0,4000,DAL@CHI,CHI,DAL,,,,,,W/UTIL,anderson4000wj,2600
andersson6300dr,andersson6300dr,75.81,Rasmus Andersson,6300,D,0,CGY,LA-J.Korpisalo,12.09,15.2,9.0,-0.44,1.9,1,1,8,0,-2.5,93,0,3,3.3,2.9,-135,6.0,24,-140,11.8,-0.3,62,21,34,103,13.7,46,53,30,13,0.14,0.51,0.65,23.75,1.64,2.1,2.84,0.74,0.07,1.54,3.64,18.29,15.98,14.05,0.02,0.24,2.95,0.43,0.63,0.68,0.02,0.01,0.1,0.26,0.59,0.0,1.75,0.29,0.5,0.79,23.23,2.04,2.14,2.71,0.79,0.13,1.64,3.79,18.71,14.71,0.07,0.14,2.16,0.43,18.43,4.14,2.71,1.43,3.29,0.57,22.92,2.16,0.14,0.14,48.19,52.71,44.07,39.55,47.5,3.11,0.2,3.22,0.26,54.79,40.17,42.07,50.25,2.43,0.21,3.08,0.24,52.33,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,andersson,r,88511-66688,D,r,Rasmus Andersson,andersson,12.44507008,71.0,6300,LA@CGY,CGY,LA,,,,,,D/UTIL,andersson6300dr,6100
appleton3800wm,appleton3800wm,57.45,Mason Appleton,3800,W,0,WPG,SJ-J.Reimer,7.06,9.0,5.1,0.38,1.9,3,0,0,0,-0.6,44,0,3,3.9,2.8,-207,6.5,92,-180,5.9,-0.2,29,10,24,86,5.7,53,30,15,13,0.1,0.21,0.31,16.24,1.15,1.65,2.2,0.75,0.06,0.31,1.96,12.3,12.98,9.61,0.02,0.0,0.28,0.02,0.04,0.5,0.0,0.0,0.08,0.21,0.46,0.02,1.75,0.09,0.09,0.18,15.13,0.71,2.09,2.82,0.74,0.04,0.36,2.45,13.45,10.0,0.0,0.0,0.3,0.0,13.43,2.14,1.71,0.43,2.71,0.0,15.52,0.46,0.0,0.0,47.82,44.85,46.95,43.83,45.86,3.26,0.21,3.1,0.17,46.5,46.08,41.5,45.92,3.57,0.12,3.69,0.17,44.0,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,appleton,m,88511-82155,W,m,Mason Appleton,appleton,6.148484664,33.0,3800,WPG@SJ,WPG,SJ,,,,,,W/UTIL,appleton3800wm,2600
archibald3500wj,archibald3500wj,33.78,Josh Archibald,3500,W,0,PIT,DET-A.Nedeljkovic,4.64,6.0,3.3,-1.46,1.3,4,0,0,0,-1.3,61,0,3,3.9,2.8,-194,6.5,83,-175,3.9,-1.7,25,7,40,104,4.1,69,30,7,13,0.07,0.08,0.15,9.92,0.91,1.0,1.44,0.69,0.07,0.44,1.44,7.12,7.86,5.42,0.0,0.0,0.07,0.0,0.04,0.0,0.0,0.0,0.07,0.08,0.63,0.0,0.94,0.07,0.07,0.14,9.01,0.93,0.86,1.21,0.71,0.08,0.64,1.5,6.14,6.21,0.0,0.0,0.01,0.0,7.0,2.0,1.14,0.86,1.57,0.0,8.12,0.0,0.0,0.0,49.26,51.86,46.6,47.07,39.26,3.27,0.21,3.01,0.21,56.64,41.85,43.79,39.31,3.43,0.21,3.54,0.17,41.33,3/28/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,archibald,j,88511-58685,W,j,Josh Archibald,archibald,4.37037037,54.0,3500,PIT@DET,PIT,DET,,,,,,W/UTIL,archibald3500wj,2500
