combo_id,RylandID_master,Unnamed: 0,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
sebastianahoCAR,aho7000cs,aho7000cs,78.38,Sebastian Aho,7000,C,0,CAR,MTL-SMontembeault,16.97,21.2,12.7,3.99,2.4,1,1,8,0,-3.4,94,1,2,4.2,2.5,-277,6.5,67,-310,14.5,0.0,64,29,29,100,13.0,66,33,20,15,0.45,0.46,0.92,19.27,2.86,2.84,4.09,0.7,0.16,0.36,3.2,14.62,10.93,11.36,0.07,0.12,3.19,0.55,0.91,0.61,0.03,0.02,0.35,0.33,0.48,0.04,2.77,0.5,0.19,0.69,19.38,2.14,2.88,3.93,0.73,0.17,0.19,3.06,16.27,12.33,0.06,0.06,2.69,0.33,16.0,2.5,2.5,0.0,3.88,0.0,19.45,2.4,0.0,0.0,52.88,53.22,48.38,36.6,41.87,3.12,0.19,3.25,0.27,56.73,52.63,35.53,41.63,2.6,0.26,2.88,0.3,43.71,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,aho,s,88647-73946,C,s,Sebastian Aho,aho,14.994029486357276,67.0,7000,CAR@MON,CAR,MON,,,,,,C/UTIL,aho7000cs,6600
wadeallisonPHI,allison3900ww,allison3900ww,50.49,Wade Allison,3900,W,0,PHI,BUF-ULuukkonen,6.12,7.8,4.4,-0.76,1.6,4,0,1,0,0.1,44,1,2,3.3,3.3,-110,6.5,39,100,6.6,-0.3,32,11,26,88,4.6,33,41,0,12,0.15,0.1,0.25,12.86,1.17,1.44,2.14,0.67,0.11,1.06,2.5,10.92,13.02,8.67,0.0,0.0,0.32,0.04,0.04,1.0,0.0,0.0,0.15,0.1,0.69,0.0,1.31,0.0,0.0,0.0,14.86,0.0,1.6,2.56,0.63,0.0,1.2,2.8,11.44,16.11,0.0,0.0,0.03,0.0,10.43,2.86,1.43,1.43,2.0,0.0,14.61,0.0,0.0,0.0,42.81,43.14,42.87,48.94,45.8,2.79,0.15,2.79,0.25,41.67,44.93,48.0,46.87,2.25,0.22,2.47,0.24,45.14,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,allison,w,88647-128513,W,w,Wade Allison,allison,6.615384615384615,52.0,3900,BUF@PHI,PHI,BUF,,,,,,W/UTIL,allison3900ww,2700
michaelamadioVGK,amadio4200wm,amadio4200wm,48.8,Michael Amadio,4200,W,0,VGK,MIN-MFleury,8.0,10.2,5.8,0.54,1.9,3,2,2,0,-3.6,22,0,2,3.1,3.1,-111,6.0,45,-115,7.0,-0.4,44,26,39,87,7.7,78,21,42,14,0.23,0.15,0.38,12.49,1.83,1.49,1.87,0.79,0.15,0.35,1.84,11.65,10.99,8.33,0.01,0.01,0.48,0.07,0.08,0.83,0.0,0.0,0.22,0.14,0.23,0.0,1.81,0.27,0.2,0.47,12.98,2.17,1.27,1.5,0.84,0.21,0.6,1.87,10.21,11.71,0.0,0.0,0.83,0.14,13.0,2.0,1.83,0.17,2.0,0.0,12.56,0.01,0.0,0.0,47.61,48.19,44.48,50.13,44.1,2.49,0.22,3.2,0.22,43.43,49.57,57.57,42.36,2.43,0.24,3.14,0.25,40.43,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,amadio,m,88647-59142,W,m,Michael Amadio,amadio,7.12459026399206,61.0,4200,MIN@VGK,VGK,MIN,,,,,,W/UTIL,amadio4200wm,2700
joeyandersonCHI,anderson3900wj,anderson3900wj,21.74,Joey Anderson,3900,W,0,CHI,NJD-VVanecek,4.88,6.3,3.5,-2.0,1.3,4,0,1,0,-4.1,36,0,2,2.3,4.4,272,6.5,31,260,5.5,-0.5,23,7,20,69,6.5,46,53,20,15,0.17,0.1,0.27,11.24,1.44,1.17,1.93,0.6,0.14,0.5,1.67,9.86,7.96,7.61,0.0,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.17,0.1,0.0,0.0,1.08,0.2,0.13,0.33,12.56,1.58,1.33,2.2,0.61,0.15,0.53,1.87,9.53,9.0,0.0,0.0,0.05,0.0,9.71,1.71,1.43,0.29,2.14,0.0,13.31,0.06,0.0,0.0,43.16,38.84,44.81,49.93,50.81,2.98,0.16,2.9,0.18,37.87,46.47,47.73,56.2,3.0,0.11,2.27,0.15,55.43,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,anderson,j,88647-82993,W,j,Joey Anderson,anderson,5.1870968726373485,31.0,3900,NJ@CHI,CHI,NJ,,,,,,W/UTIL,anderson3900wj,2600
joelarmiaMON,armia4000wj,armia4000wj,50.31,Joel Armia,4000,W,0,MTL,CAR-ARaanta,5.86,7.5,4.2,-1.21,1.5,1,0,1,0,0.0,67,0,2,2.5,4.2,222,6.5,33,245,6.4,0.0,35,11,13,89,0.0,0,0,0,16,0.13,0.16,0.29,14.68,1.19,1.78,2.48,0.72,0.07,0.6,2.38,10.51,11.05,7.74,0.0,0.02,0.77,0.18,0.2,0.89,0.0,0.0,0.13,0.13,0.49,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.94,41.87,36.6,48.38,53.22,2.82,0.18,3.16,0.19,41.63,35.53,52.63,56.73,2.31,0.22,2.27,0.12,57.88,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,armia,j,88647-42983,W,j,Joel Armia,armia,6.413513595993455,37.0,4000,CAR@MON,MON,CAR,DTD,Illness,,,,W/UTIL,armia4000wj,3100
viktorarvidssonLA,arvidsson6000wv,arvidsson6000wv,77.17,Viktor Arvidsson,6000,W,0,LA,SEA-MJones,13.48,16.9,10.0,2.51,2.2,2,2,18,0,-3.5,98,1,2,3.0,3.1,-105,6.0,66,-110,12.6,1.6,59,24,30,93,18.0,92,7,38,13,0.31,0.43,0.74,17.01,2.61,2.9,3.92,0.74,0.11,0.58,3.48,14.28,12.78,10.89,0.11,0.15,2.17,0.54,0.7,0.78,0.01,0.0,0.19,0.28,0.25,0.04,3.01,0.46,0.46,0.92,17.86,3.09,4.77,6.08,0.78,0.1,0.62,5.38,14.92,12.85,0.15,0.23,2.4,0.54,13.83,4.67,4.33,0.33,6.17,0.5,17.87,2.25,0.33,0.33,43.66,47.34,42.33,43.87,46.86,3.35,0.24,2.93,0.24,49.54,38.36,40.85,50.0,3.31,0.23,2.86,0.18,53.0,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,arvidsson,v,88647-59207,W,v,Viktor Arvidsson,arvidsson,13.367143031529018,70.0,6000,LA@SEA,LA,SEA,,,,,,W/UTIL,arvidsson6000wv,6100
zachaston-reeseTOR,astonreese3700wz,astonreese3700wz,38.48,Z. Aston-Reese,3700,W,0,TOR,OTT-MSogaard,4.82,6.2,3.4,-1.67,1.3,4,0,1,0,-4.3,44,1,3,3.7,3.0,-160,6.5,69,-152,4.8,-1.4,48,15,45,86,7.5,53,30,23,13,0.13,0.05,0.18,11.22,0.96,1.21,1.8,0.67,0.11,0.56,1.77,8.17,9.37,6.27,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.38,0.01,1.17,0.25,0.08,0.33,10.03,1.97,1.5,2.27,0.66,0.17,0.5,2.0,7.0,8.91,0.0,0.0,0.03,0.0,8.0,2.86,2.14,0.71,3.14,0.0,10.6,0.04,0.0,0.0,46.63,45.77,44.37,43.91,45.49,3.17,0.24,3.53,0.19,43.92,45.6,45.62,46.73,2.85,0.27,3.2,0.23,50.29,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,astonreese,z,88647-79820,W,z,Zach Aston-Reese,astonreese,4.34929560271787,71.0,3700,TOR@OTT,TOR,OTT,,,,,,W/UTIL,astonreese3700wz,2500
andreasathanasiouCHI,athanasiou4700wa,athanasiou4700wa,54.82,A. Athanasiou,4700,W,0,CHI,NJD-VVanecek,9.7,12.3,7.1,1.26,2.1,1,2,5,0,-1.6,73,0,2,2.3,4.4,272,6.5,31,260,8.0,0.1,56,20,34,94,7.7,66,33,20,15,0.21,0.17,0.38,15.96,1.43,2.01,3.06,0.66,0.1,0.58,2.59,11.28,14.84,8.73,0.03,0.02,1.95,0.29,0.51,0.58,0.0,0.0,0.17,0.15,0.44,0.01,2.35,0.07,0.4,0.47,17.23,1.64,1.8,3.27,0.55,0.04,0.47,2.27,9.53,15.67,0.07,0.07,3.18,0.4,10.14,2.71,2.29,0.43,3.71,0.71,17.09,2.88,0.14,0.0,43.16,38.84,44.81,49.93,50.81,2.98,0.16,2.9,0.18,37.87,46.47,47.73,56.2,3.0,0.11,2.27,0.15,55.43,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,athanasiou,a,88647-43139,W,a,Andreas Athanasiou,athanasiou,8.001351021431589,74.0,4700,NJ@CHI,CHI,NJ,,,,,,W/UTIL,athanasiou4700wa,3900
kevinbahlNJ,bahl3500dk,bahl3500dk,33.05,Kevin Bahl,3500,D,0,NJD,CHI-AStalock,4.1,5.3,2.9,-2.41,1.2,3,0,1,0,-3.6,61,1,2,4.4,2.3,-342,6.5,69,-330,4.3,-1.1,22,8,24,75,4.3,26,46,13,15,0.07,0.17,0.24,14.43,1.0,0.67,1.09,0.62,0.1,0.98,1.65,12.69,12.12,9.31,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.17,0.54,0.0,0.74,0.08,0.17,0.25,15.21,0.99,0.58,0.73,0.8,0.14,0.58,1.17,14.8,12.6,0.0,0.0,0.0,0.0,17.0,1.5,1.0,0.5,1.17,0.0,15.45,0.0,0.0,0.0,51.01,50.81,49.93,44.81,38.84,2.75,0.19,2.77,0.24,56.2,47.73,46.47,37.87,2.2,0.27,2.67,0.25,41.0,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,bahl,k,88647-97107,D,k,Kevin Bahl,bahl,3.856410099909856,39.0,3500,NJ@CHI,NJ,CHI,,,,,,D/UTIL,bahl3500dk,2500
ivanbarbashevVGK,barbashev4900wi,barbashev4900wi,55.33,Ivan Barbashev,4900,W,0,VGK,MIN-MFleury,10.66,13.5,7.9,1.83,2.2,1,1,5,0,-3.6,78,0,2,3.1,3.1,-111,6.0,45,-115,8.7,0.9,56,28,43,96,11.9,64,35,28,14,0.21,0.35,0.56,16.28,2.06,1.48,2.03,0.73,0.14,0.5,1.97,11.59,14.37,8.82,0.02,0.04,1.74,0.21,0.3,0.72,0.0,0.0,0.19,0.31,0.47,0.03,2.32,0.33,0.47,0.8,18.25,2.63,1.73,2.57,0.67,0.19,0.8,2.53,14.21,16.86,0.13,0.0,1.98,0.29,16.33,2.17,1.5,0.67,2.5,0.67,18.48,1.97,0.17,0.0,47.61,48.19,44.48,50.13,44.1,2.49,0.22,3.2,0.22,43.43,49.57,57.57,42.36,2.43,0.24,3.14,0.25,40.43,4/1/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,barbashev,i,88647-58880,W,i,Ivan Barbashev,barbashev,8.6413330078125,75.0,4900,MIN@VGK,VGK,MIN,,,,,,W/UTIL,barbashev4900wi,4200
