entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3053182232,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-159629,86412-41391,86412-128511,86412-15217,86412-103523,86412-70199,86412-42772,86412-82156,86412-9112,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3053182234,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-59261,86412-8655,86412-11150,86412-135875,86412-21926,86412-8608,86412-97108,86412-73889,86412-8612,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3053182235,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-41391,86412-82006,86412-145545,86412-58880,86412-39243,86412-8608,86412-70483,86412-8182,86412-9112,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3053182236,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-15346,86412-82006,86412-103624,86412-135875,86412-12262,86412-74016,86412-43135,86412-8875,86412-8612,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3053182237,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-41391,86412-62445,86412-12220,86412-23071,86412-14178,86412-14217,86412-97108,86412-70483,86412-70509,,,,,,,,,,,,,,,,,,,
3053182238,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-113269,86412-68623,86412-12253,86412-135875,86412-66671,86412-8608,86412-148097,86412-58880,86412-9112,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3053182239,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-16969,86412-41391,86412-145545,86412-15239,86412-103523,86412-70199,86412-23071,86412-97022,86412-74064,,86412-59218:David Pastrnak,86412-59218,W,David,David Pastrnak,Pastrnak,23.46383083,47,10500,BOS@TB,BOS,TB,,,,,,W/UTIL
3053182240,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-128506,86412-41391,86412-12253,86412-70483,86412-12460,86412-66726,86412-8875,86412-97079,86412-8612,,86412-41391:Nathan MacKinnon,86412-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.92285679,35,10400,ANH@COL,COL,ANH,,,,,,C/UTIL
3053182241,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-41391,86412-81974,86412-12220,86412-42772,86412-103523,86412-148185,86412-73889,86412-8635,86412-14466,,86412-70924:Tage Thompson,86412-70924,C,Tage,Tage Thompson,Thompson,21.32978723,47,10200,BUF@WPG,BUF,WPG,,,,,,C/UTIL
3053182242,86412-262636806,$800 Thu NHL Deflection (0.25 To Enter),86412-113269,86412-15346,86412-23071,86412-70125,86412-14178,86412-8608,86412-70905,86412-97079,86412-58909,,86412-43214:Nikita Kucherov,86412-43214,W,Nikita,Nikita Kucherov,Kucherov,20.07826034,46,10000,BOS@TB,TB,BOS,,,,,,W/UTIL
