entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3071787020","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3071787021","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3071787022","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3071787023","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","","4) You can not use this form to create new entries"
"3071787024","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","",""
"3071787026","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3071787027","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-64102:Connor McDavid,87112-64102,C,Connor,Connor McDavid,McDavid,25.767271839488636,55,10200,NYR@EDM,EDM,NYR,,,,,,C/UTIL
"3071787028","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82170:Jason Robertson,87112-82170,W,Jason,Jason Robertson,Robertson,19.59272682883523,55,9600,DAL@MIN,DAL,MIN,,,,,,W/UTIL
"3071787029","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-58331:Leon Draisaitl,87112-58331,C,Leon,Leon Draisaitl,Draisaitl,20.677358951208728,53,9600,NYR@EDM,EDM,NYR,,,,,,C/UTIL
"3071787030","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-135875:Kirill Kaprizov,87112-135875,W,Kirill,Kirill Kaprizov,Kaprizov,18.594443992332177,54,9100,DAL@MIN,MIN,DAL,,,,,,W/UTIL
"3071787031","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-12609:Zach Hyman,87112-12609,W,Zach,Zach Hyman,Hyman,18.333333333333332,54,9000,NYR@EDM,EDM,NYR,,,,,,W/UTIL
"3071787032","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97147:Brady Tkachuk,87112-97147,W,Brady,Brady Tkachuk,Tkachuk,17.254716981132077,53,8800,CHI@OTT,OTT,CHI,,,,,,W/UTIL
"3071787033","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-14563:Ryan Nugent-Hopkins,87112-14563,W,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,16.419999556107953,55,8600,NYR@EDM,EDM,NYR,,,,,,W/UTIL
"3071787034","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-14565:Mika Zibanejad,87112-14565,C,Mika,Mika Zibanejad,Zibanejad,17.39999954788773,54,8500,NYR@EDM,NYR,EDM,,,,,,C/UTIL
"3071787035","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8412:Jonathan Quick,87112-8412,G,Jonathan,Jonathan Quick,Quick,9.351724558863147,29,8400,LA@ANH,LA,ANH,,,,,,G
"3071787036","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8594:Sidney Crosby,87112-8594,C,Sidney,Sidney Crosby,Crosby,17.09622595445165,53,8400,PIT@NYI,PIT,NYI,,,,,,C/UTIL
"3071787038","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-54028:Pheonix Copley,87112-54028,G,Pheonix,Pheonix Copley,Copley,18.545454545454547,22,8400,LA@ANH,LA,ANH,,,,,,G
"3071787040","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-42478:Bo Horvat,87112-42478,C,Bo,Bo Horvat,Horvat,17.22222222222222,54,8300,PIT@NYI,NYI,PIT,,,,,,C/UTIL
"3071787042","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-12690:Scott Wedgewood,87112-12690,G,Scott,Scott Wedgewood,Wedgewood,15.157894736842104,19,8200,DAL@MIN,DAL,MIN,,,,,,G
"3071787043","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-103202:Jake Oettinger,87112-103202,G,Jake,Jake Oettinger,Oettinger,19.404651730559593,43,8200,DAL@MIN,DAL,MIN,,,,,,G
