entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3072953383","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3072953386","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3072953389","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3072953391","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","4) You can not use this form to create new entries"
"3072953393","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","",""
"3072953395","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3072953396","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-64102:Connor McDavid,87247-64102,C,Connor,Connor McDavid,McDavid,25.9293107657597,58,10500,EDM@PIT,EDM,PIT,,,,,,C/UTIL
"3072953399","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-59218:David Pastrnak,87247-59218,W,David,David Pastrnak,Pastrnak,22.558929443359375,56,10200,BOS@SEA,BOS,SEA,,,,,,W/UTIL
"3072953401","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-111493:Jack Hughes,87247-111493,C,Jack,Jack Hughes,Hughes,21.23396272479363,53,10100,LA@NJ,NJ,LA,,,,,,C/UTIL
"3072953403","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70924:Tage Thompson,87247-70924,C,Tage,Tage Thompson,Thompson,20.20909090909091,55,10000,BUF@TB,BUF,TB,,,,,,C/UTIL
"3072953404","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-58331:Leon Draisaitl,87247-58331,C,Leon,Leon Draisaitl,Draisaitl,20.78214372907366,56,9900,EDM@PIT,EDM,PIT,,,,,,C/UTIL
"3072953406","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-84409:Elias Pettersson,87247-84409,C,Elias,Elias Pettersson,Pettersson,19.805455433238638,55,9700,VAN@STL,VAN,STL,,,,,,C/UTIL
"3072953409","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-43214:Nikita Kucherov,87247-43214,W,Nikita,Nikita Kucherov,Kucherov,19.166072300502233,56,9600,BUF@TB,TB,BUF,,,,,,W/UTIL
"3072953414","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-135875:Kirill Kaprizov,87247-135875,W,Kirill,Kirill Kaprizov,Kaprizov,18.635086862664473,57,8900,MIN@CBJ,MIN,CBJ,,,,,,W/UTIL
"3072953416","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-54809:Linus Ullmark,87247-54809,G,Linus,Linus Ullmark,Ullmark,24.02162129170186,37,8900,BOS@SEA,BOS,SEA,,,,,,G
"3072953417","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-120415:Jeremy Swayman,87247-120415,G,Jeremy,Jeremy Swayman,Swayman,15.87199951171875,25,8900,BOS@SEA,BOS,SEA,,,,,,G
