entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083064536","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3083064537","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3083064538","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3083064539","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","","4) You can not use this form to create new entries"
"3083064540","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","",""
"3083064541","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3083064542","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-41391:Nathan MacKinnon,88010-41391,C,Nathan,Nathan MacKinnon,MacKinnon,23.65370460792824,54,10400,COL@TOR,COL,TOR,,,,,,C/UTIL
"3083064543","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-70899:Auston Matthews,88010-70899,C,Auston,Auston Matthews,Matthews,20.349152128575213,59,10200,COL@TOR,TOR,COL,,,,,,C/UTIL
"3083064544","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-70924:Tage Thompson,88010-70924,C,Tage,Tage Thompson,Thompson,19.9742431640625,66,9800,BUF@WSH,BUF,WSH,,,,,,C/UTIL
"3083064545","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-66737:Mikko Rantanen,88010-66737,W,Mikko,Mikko Rantanen,Rantanen,19.107692307692307,65,9200,COL@TOR,COL,TOR,,,,,,W/UTIL
"3083064546","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-135875:Kirill Kaprizov,88010-135875,W,Kirill,Kirill Kaprizov,Kaprizov,18.58923152043269,65,9000,MIN@STL,MIN,STL,O,Lower body,,,,W/UTIL
"3083064547","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-59276:William Nylander,88010-59276,W,William,William Nylander,Nylander,18.140909830729168,66,8800,COL@TOR,TOR,COL,,,,,,W/UTIL
"3083064548","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-80479:Jonas Johansson,88010-80479,G,Jonas,Jonas Johansson,Johansson,5.599999904632568,1,8600,COL@TOR,COL,TOR,,,,,,G
"3083064549","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-82094:Alexandar Georgiev,88010-82094,G,Alexandar,Alexandar Georgiev,Georgiev,19.918367346938776,49,8600,COL@TOR,COL,TOR,,,,,,G
"3083064550","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-83213:Pavel Francouz,88010-83213,G,Pavel,Pavel Francouz,Francouz,17.850000381469727,16,8600,COL@TOR,COL,TOR,DTD,Lower body,,,,G
"3083064551","88010-263237673","$500 Wed NHL Five Hole (150 Entries Max)","","","","","","","","","","",88010-8718:Alex Ovechkin,88010-8718,W,Alex,Alex Ovechkin,Ovechkin,17.683871361517138,62,8400,BUF@WSH,WSH,BUF,DTD,Lower body,,,,W/UTIL
