entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083603711","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3083603712","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3083603713","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3083603714","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","","4) You can not use this form to create new entries"
"3083603715","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","",""
"3083603716","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3083603717","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-64102:Connor McDavid,88061-64102,C,Connor,Connor McDavid,McDavid,26.863234576056986,68,10600,DAL@EDM,EDM,DAL,,,,,,C/UTIL
"3083603718","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-41391:Nathan MacKinnon,88061-41391,C,Nathan,Nathan MacKinnon,MacKinnon,23.436363636363637,55,10400,COL@OTT,COL,OTT,,,,,,C/UTIL
"3083603720","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-58331:Leon Draisaitl,88061-58331,C,Leon,Leon Draisaitl,Draisaitl,20.99090946081913,66,10200,DAL@EDM,EDM,DAL,,,,,,C/UTIL
"3083603721","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-59218:David Pastrnak,88061-59218,W,David,David Pastrnak,Pastrnak,21.972726532907195,66,10100,BOS@WPG,BOS,WPG,,,,,,W/UTIL
"3083603722","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-111493:Jack Hughes,88061-111493,C,Jack,Jack Hughes,Hughes,20.23333255828373,63,9800,TB@NJ,NJ,TB,,,,,,C/UTIL
"3083603723","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-84409:Elias Pettersson,88061-84409,C,Elias,Elias Pettersson,Pettersson,19.765625,64,9700,VAN@ARI,VAN,ARI,,,,,,C/UTIL
"3083603724","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70904:Matthew Tkachuk,88061-70904,W,Matthew,Matthew Tkachuk,Tkachuk,20.232812881469727,64,9700,MON@FLA,FLA,MON,,,,,,W/UTIL
"3083603725","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-43214:Nikita Kucherov,88061-43214,W,Nikita,Nikita Kucherov,Kucherov,19.230881634880514,68,9500,TB@NJ,TB,NJ,,,,,,W/UTIL
"3083603726","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-82170:Jason Robertson,88061-82170,W,Jason,Jason Robertson,Robertson,19.102941176470587,68,9400,DAL@EDM,DAL,EDM,,,,,,W/UTIL
"3083603727","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66737:Mikko Rantanen,88061-66737,W,Mikko,Mikko Rantanen,Rantanen,19.153029933120266,66,9100,COL@OTT,COL,OTT,,,,,,W/UTIL
