entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3085697153","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3085697154","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3085697155","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3085697156","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","","4) You can not use this form to create new entries"
"3085697157","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","",""
"3085697158","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3085697160","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-59218:David Pastrnak,88253-59218,W,David,David Pastrnak,Pastrnak,21.98260940330616,69,10200,OTT@BOS,BOS,OTT,,,,,,W/UTIL
"3085697161","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-70904:Matthew Tkachuk,88253-70904,W,Matthew,Matthew Tkachuk,Tkachuk,20.71492573752332,67,10100,FLA@PHI,FLA,PHI,,,,,,W/UTIL
"3085697162","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-70899:Auston Matthews,88253-70899,C,Auston,Auston Matthews,Matthews,20.237095986643144,62,10000,TOR@NYI,TOR,NYI,,,,,,C/UTIL
"3085697163","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-111493:Jack Hughes,88253-111493,C,Jack,Jack Hughes,Hughes,19.80605986624053,66,9900,MIN@NJ,NJ,MIN,,,,,,C/UTIL
"3085697164","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-84409:Elias Pettersson,88253-84409,C,Elias,Elias Pettersson,Pettersson,19.958208226445894,67,9800,VGK@VAN,VAN,VGK,,,,,,C/UTIL
"3085697165","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-70924:Tage Thompson,88253-70924,C,Tage,Tage Thompson,Thompson,19.337681867074274,69,9700,NSH@BUF,BUF,NSH,,,,,,C/UTIL
"3085697166","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-43214:Nikita Kucherov,88253-43214,W,Nikita,Nikita Kucherov,Kucherov,19.164788044674296,71,9400,TB@MON,TB,MON,,,,,,W/UTIL
"3085697168","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-54809:Linus Ullmark,88253-54809,G,Linus,Linus Ullmark,Ullmark,24.111629042514537,43,9100,OTT@BOS,BOS,OTT,,,,,,G
"3085697169","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-120415:Jeremy Swayman,88253-120415,G,Jeremy,Jeremy Swayman,Swayman,17.549999237060547,32,9100,OTT@BOS,BOS,OTT,,,,,,G
"3085697170","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-82170:Jason Robertson,88253-82170,W,Jason,Jason Robertson,Robertson,19.15142822265625,70,9000,SEA@DAL,DAL,SEA,,,,,,W/UTIL
