RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arizona3500,71.56,Arizona,3500,ARI,LA,,,6.7,14.5,1.4,2.63,1.9,6.5,0,4.07,-2,0.35,0,0,1,0,0.73,2,0,22.3,24.8,0.8,2.5,47,38,0,0,0,0,0,0,0,0,0,0,0,0,1.22,7.17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,100,1,0,20,5.1,0.8,-2500,0,0,82,0.35,0.17,17,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5472,0.4956,0.0069,0.0478,7.7,9.63,4.81,3.09,0.2273,arizona,arizona,a,arizona3500,40932-12546,D,a,Arizona Cardinals,cardinals,4.090909091,11,3500,LAR@ARI,ARI,LAR,,,,,,Cardinals,Cardinals,arizona,arizona3500
baltimore4000,72.32,Baltimore,4000,BAL,SF,,,8,14.4,0.9,2.32,2,10.5,7,5.68,-12,0.22,0,0,3,0,0.73,-0.4,0,25.3,19.8,-0.2,-5.5,45,61,0,0,0,0,0,0,0,0,0,0,0,0,3.11,6.23,0,0,0,0,0,0,0,0,0,43,1,0.91,14.9,800,0,0,100,1,0,70,10.6,2.9,-2000,0,0,88,0.53,0.11,26,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4619,0.4968,0.0202,0.0379,6.88,9.33,4.07,2.83,0.1571,baltimore,baltimore,b,baltimore4000,40932-12555,D,b,Baltimore Ravens,ravens,10.18181818,11,4000,SF@BAL,BAL,SF,,,,,,Ravens,Ravens,baltimore,baltimore4000
carolina4700,87.01,Carolina,4700,CAR,WAS,,,9.6,15.6,2.5,1.67,2,14.5,6,7.93,-2,0.27,0,0,5,0,0.81,1.1,0,24.5,14,-0.8,-10.5,38.5,65,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.51,0,0,0,0,0,0,0,0,0,64,0.55,0.07,4.5,700,0,0,100,0.25,0,40,80,2.7,-1300,0,0,100,0.55,0,20,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.4925,0.5,0.016,0.0477,7.3,9.25,4.6,2.57,0.25,carolina,carolina,c,carolina4700,40932-12553,D,c,Carolina Panthers,panthers,8.545454545,11,4700,WAS@CAR,CAR,WAS,,,,,,Panthers,Panthers,carolina,carolina4700
cincinnati3500,77.01,Cincinnati,3500,CIN,NYJ,,,6.8,14,1,2.73,1.9,0.5,13,4.07,-9,0.65,0,0,2,0,0.82,3.9,0,20.3,22.8,2.3,2.5,43,28,0,0,0,0,0,0,0,0,0,0,0,0,1.22,5.31,0,0,0,0,0,0,0,0,0,42,0.69,0.23,4.3,500,0,0,66,0.66,0.33,30,4.4,-0.4,-2500,0,0,81,0.36,0.18,22,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5102,0.5171,0.0062,0.0405,8.44,9.56,5.13,3.36,0.1699,cincinnati,cincinnati,c,cincinnati3500,40932-12528,D,c,Cincinnati Bengals,bengals,3.272727273,11,3500,NYJ@CIN,CIN,NYJ,,,,,,Bengals,Bengals,cincinnati,cincinnati3500
cleveland4600,78.66,Cleveland,4600,CLE,@PIT,,,8,14.9,1,0.39,1.7,3,4,7.61,1,0.7,0,0,2,0,0.11,2.4,0,20.5,19.5,0,-1,40,66,0,0,0,0,0,0,0,0,0,0,0,0,2.43,8.61,0,0,0,0,0,0,0,0,0,50,0.75,0.56,9.4,300,0,0,100,0.6,0,50,7.8,1.1,-1400,0,0,95,0.45,0.04,24,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.47,0.4649,0.0134,0.0369,6.9,9.13,4.69,2.82,0.2044,cleveland,cleveland,c,cleveland4600,40932-12529,D,c,Cleveland Browns,browns,6.818181818,11,4600,CLE@PIT,CLE,PIT,,,,,,Browns,Browns,cleveland,cleveland4600
denver4400,74.37,Denver,4400,DEN,LAC,,,7.5,13.6,1.3,0.54,1.7,0.5,8,6.96,-8,0.49,0,0,2,0,0.61,4.3,0,17.3,21.8,-1.5,4.5,39,32,0,0,0,0,0,0,0,0,0,0,0,0,2.17,7.11,0,0,0,0,0,0,0,0,0,35,0.55,0.07,5.3,100,0,0,100,0.33,0,30,5.9,-0.7,-1600,0,0,63,0.4,0.36,22,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4802,0.4531,0.0116,0.0283,6.95,7.75,40,2.64,0.1371,denver,denver,d,denver4400,40932-12531,D,d,Denver Broncos,broncos,5.909090909,11,4400,LAC@DEN,DEN,LAC,,,,,,Broncos,Broncos,denver,denver4400
green bay4800,88.79,Green Bay,4800,GB,@NYG,,,9.1,15.1,1.6,0.85,1.9,3,10,8.25,3,0.76,0,0,3,0,0.61,7.2,0,25,18.5,-1.3,-6.5,43.5,86,0,0,0,0,0,0,0,0,0,0,0,0,1.88,6.78,0,0,0,0,0,0,0,0,0,33,0.92,0.77,2,600,0,0,50,0.25,0.5,40,5.1,-1.3,-1200,0,0,68,0.36,0.32,25,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.5292,0.5257,0.0105,0.0458,8.03,10.63,5.07,3.64,0.1941,bay,green bay,g,green bay4800,40932-12533,D,g,Green Bay Packers,packers,6.090909091,11,4800,GB@NYG,GB,NYG,,,,,,Bay,Bay,green bay,green bay4800
indianapolis4300,72.53,Indianapolis,4300,IND,TEN,,,7.1,14,0.9,0.46,1.7,0.5,9,6.64,-6,0.65,0,0,1,0,0.73,1.8,0,20.3,21.3,-2.7,1,41.5,48,0,0,0,0,0,0,0,0,0,0,0,0,2.22,6.85,0,0,0,0,0,0,0,0,0,0,0,0,6.4,-500,0,0,100,0.6,0,50,7.7,1.7,-1700,0,0,100,0.65,0,23,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4759,0.4426,0.0133,0.032,7.1,7.81,5.33,30,0.168,indianapolis,indianapolis,i,indianapolis4300,40932-12535,D,i,Indianapolis Colts,colts,6.636363636,11,4300,TEN@IND,IND,TEN,,,,,,Colts,Colts,indianapolis,indianapolis4300
jacksonville4400,76.47,Jacksonville,4400,JAX,TB,,,8.3,16.4,1.9,1.34,1.9,14.5,6,6.96,0,0.34,0,0,1,0,0.76,2.9,0,21.8,24.8,-3.2,3,46.5,37,0,0,0,0,0,0,0,0,0,0,0,0,2.16,9.82,0,0,0,0,0,0,0,0,0,78,0.65,0.1,4,800,0,0,66,0.66,0.33,30,7.3,1.6,-1600,0,0,72,0.54,0.27,22,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.499,0.4893,0.0119,0.044,7.09,8.63,4.56,3.36,0.2029,jacksonville,jacksonville,j,jacksonville4400,40932-12554,D,j,Jacksonville Jaguars,jaguars,6.909090909,11,4400,TB@JAC,JAC,TB,,,,,,Jaguars,Jaguars,jacksonville,jacksonville4400
kansas city4200,76.34,Kansas City,4200,KC,OAK,,,7.5,15,1.4,1.18,1.8,6.5,20,6.32,1,0.46,0,0,4,0,0.53,0.4,0,30.5,19,-1.8,-11.5,49.5,55,0,0,0,0,0,0,0,0,0,0,0,0,2.5,8.77,0,0,0,0,0,0,0,0,0,33,0.61,0.05,7,500,0,0,100,0.75,0,40,7.6,20,-1800,0,0,85,0.5,0.14,28,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4991,0.5489,0.0137,0.0457,7.17,12.07,6.29,3.23,0.2155,city,kansas city,k,kansas city4200,40932-12536,D,k,Kansas City Chiefs,chiefs,7.636363636,11,4200,OAK@KC,KC,OAK,,,,,,City,City,kansas city,kansas city4200
