RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3300,73.85,Arizona,3300,ARI,@SF,,,6.2,14.6,0.91,2.77,1.9,6.5,3.43,6,-3,0,0,0.51,1,0,0.45,-2.4,0,21.5,28,1.7,6.5,49.5,57,0,0,0,0,0,0,0,0,0,0,0,0,1.26,6.65,0,0,0,0,0,0,0,0,0,72,0.58,0,0,0,0,0,0,0,0,0,40,-1.3,0,0,0,73,0.4,0.26,15,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5396,0.457,0.0074,0.0457,7.9,11.27,5.6,3.23,0.2071,arizona,arizona,a,arizona3300,47691-12546:Arizona Cardinals,47691-12546,D,a,Arizona Cardinals,cardinals,4.3125,16,3300,ARI@SF,ARI,SF,,,,Cardinals,Cardinals,arizona,arizona3300
atlanta3600,63.77,Atlanta,3600,ATL,SEA,,,5.8,13.26,1.42,1.41,1.6,0.5,4.39,-1,-9,0,0,0.2,2,0,0.36,-1.3,0,25.3,24.3,1.3,-1,49.5,42,0,0,0,0,0,0,0,0,0,0,0,0,2.28,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,-0.1,0,0,0,62,0.43,0.37,16,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5247,0.4909,0.0133,0.0418,7.68,10.13,5.93,3.77,0.1908,atlanta,atlanta,a,atlanta3600,47691-12525:Atlanta Falcons,47691-12525,D,a,Atlanta Falcons,falcons,6.125,16,3600,SEA@ATL,ATL,SEA,,,,Falcons,Falcons,atlanta,atlanta3600
baltimore4800,47.41,Baltimore,4800,BAL,CLE,,,7.9,14.34,1.22,-0.35,1.6,6.5,8.25,15,2,0,0,0.83,3,0,0.11,-0.2,0,27,20,-1.5,-7,47,63,0,0,0,0,0,0,0,0,0,0,0,0,2.15,6.45,0,0,0,0,0,0,0,0,0,76,0.76,0.03,0,0,0,0,0,0,0,0,9.4,0.9,0,0,0,85,0.6,0.15,20,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4453,0.4727,0.0132,0.038,6.6,9.64,4.75,3.18,0.1481,baltimore,baltimore,b,baltimore4800,47691-12555:Baltimore Ravens,47691-12555,D,b,Baltimore Ravens,ravens,9.875,16,4800,CLE@BAL,BAL,CLE,,,,Ravens,Ravens,baltimore,baltimore4800
buffalo4700,45.31,Buffalo,4700,BUF,NYJ,,,8.1,14.54,0.74,0.17,1.7,10.5,7.93,8,-3,0,0,0.51,3,0,0.62,-3.8,0,23,16.5,0,-6.5,39.5,75,0,0,0,0,0,0,0,0,0,0,0,0,2.73,7.81,0,0,0,0,0,0,0,0,0,71,0.89,0.33,0,0,0,0,0,0,0,0,90,0.4,0,0,0,100,0.63,0,19,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4434,0.4647,0.016,0.0295,6.34,8.86,4.64,3.64,0.1855,buffalo,buffalo,b,buffalo4700,47691-12526:Buffalo Bills,47691-12526,D,b,Buffalo Bills,bills,8.5625,16,4700,NYJ@BUF,BUF,NYJ,,,,Bills,Bills,buffalo,buffalo4700
carolina3400,70.81,Carolina,3400,CAR,LV,,,6,14.27,1.41,2.25,1.8,0.5,3.75,-1,-3,0,0,0.51,1,0,0.68,-2.4,0,22.5,25.5,-0.3,3,48,41,0,0,0,0,0,0,0,0,0,0,0,0,2.71,10.21,0,0,0,0,0,0,0,0,0,82,0.61,0.02,0,0,0,0,0,0,0,0,6.1,0.2,0,0,0,78,0.35,0.21,14,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5063,0.5419,0.0152,0.0545,7.5,10.29,4.5,30,0.2708,carolina,carolina,c,carolina3400,47691-12553:Carolina Panthers,47691-12553,D,c,Carolina Panthers,panthers,6.25,16,3400,LV@CAR,CAR,LV,,,,Panthers,Panthers,carolina,carolina3400
chicago4400,37.91,Chicago,4400,CHI,@DET,,,6.4,14.69,1.43,-0.56,1.5,10.5,6.96,3,-5,0,0,0.4,1,0,0.53,-0.4,0,20,22.5,-1.3,2.5,42.5,44,0,0,0,0,0,0,0,0,0,0,0,0,1.85,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,-2.1,0,0,0,95,0.25,0.05,20,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4861,0.4719,0.0108,0.0354,6.67,9.2,3.87,2.43,0.1884,chicago,chicago,c,chicago4400,47691-12527:Chicago Bears,47691-12527,D,c,Chicago Bears,bears,6.5625,16,4400,CHI@DET,CHI,DET,,,,Bears,Bears,chicago,chicago4400
cincinnati3600,72.15,Cincinnati,3600,CIN,LAC,,,6,14.47,1.14,1.61,1.7,3,4.39,3,0,0,0,0.72,3,0,0.78,1.2,0,19.5,22,-1,2.5,41.5,45,0,0,0,0,0,0,0,0,0,0,0,0,2.3,5.64,0,0,0,0,0,0,0,0,0,82,0.56,0.01,0,0,0,0,0,0,0,0,3.8,-1.9,0,0,0,76,0.41,0.23,17,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4885,0.5136,0.0115,0.0407,8.2,10.5,5.36,3.23,0.1633,cincinnati,cincinnati,c,cincinnati3600,47691-12528:Cincinnati Bengals,47691-12528,D,c,Cincinnati Bengals,bengals,4.1875,16,3600,LAC@CIN,CIN,LAC,,,,Bengals,Bengals,cincinnati,cincinnati3600
cleveland3000,73.58,Cleveland,3000,CLE,@BAL,,,4.6,14.28,1.21,2.14,1.5,0.5,2.46,0,0,0,0,0.72,1,0,0.73,1,0,20,27,0,7,47,37,0,0,0,0,0,0,0,0,0,0,0,0,2.86,6.95,0,0,0,0,0,0,0,0,0,76,0.76,0.03,0,0,0,0,0,0,0,0,6.6,-0.6,0,0,0,94,0.47,0.05,19,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4888,0.5034,0.0152,0.0444,7.14,10.57,5.38,3.09,0.2162,cleveland,cleveland,c,cleveland3000,47691-12529:Cleveland Browns,47691-12529,D,c,Cleveland Browns,browns,5.6875,16,3000,CLE@BAL,CLE,BAL,,,,Browns,Browns,cleveland,cleveland3000
detroit3700,83.71,Detroit,3700,DET,CHI,,,7.6,15.66,1.51,2.89,2.1,3,4.71,1,7,0,0,0.95,4,0,0.62,0.9,0,22.5,20,-0.3,-2.5,42.5,56,0,0,0,0,0,0,0,0,0,0,0,0,1.08,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-1.7,0,0,0,83,0.38,0.16,18,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5171,0.4769,0.0062,0.0445,7.91,10.4,5.46,4.18,0.2051,detroit,detroit,d,detroit3700,47691-12532:Detroit Lions,47691-12532,D,d,Detroit Lions,lions,5.0625,16,3700,CHI@DET,DET,CHI,,,,Lions,Lions,detroit,detroit3700
green bay3900,49.17,Green Bay,3900,GB,@MIN,,,5.8,14.31,1.49,0.44,1.5,0.5,5.36,5,8,0,0,0.97,1,0,0.36,-1.2,0,21.5,22.5,0,1,44,55,0,0,0,0,0,0,0,0,0,0,0,0,3.14,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,-2.8,0,0,0,79,0.37,0.2,24,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4774,0.5571,0.017,0.0401,7.59,10.13,5.07,3.23,0.1776,bay,green bay,g,green bay3900,47691-12533:Green Bay Packers,47691-12533,D,g,Green Bay Packers,packers,7,16,3900,GB@MIN,GB,MIN,,,,Bay,Bay,green bay,green bay3900
indianapolis3700,70.43,Indianapolis,3700,IND,@JAX,,,7.2,14.24,1.34,2.49,1.9,14.5,4.71,4,-15,0,0,0.03,3,0,0.78,-3.9,0,25.5,18.5,-1,-7,44,66,0,0,0,0,0,0,0,0,0,0,0,0,2.65,7.01,0,0,0,0,0,0,0,0,0,81,0.86,0.26,0,0,0,0,0,0,0,0,6.6,-0.8,0,0,0,83,0.55,0.16,18,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5,0.4448,0.0158,0.0382,7.38,8.67,4.67,2.5,0.1846,indianapolis,indianapolis,i,indianapolis3700,47691-12535:Indianapolis Colts,47691-12535,D,i,Indianapolis Colts,colts,7.9375,16,3700,IND@JAC,IND,JAC,,,,Colts,Colts,indianapolis,indianapolis3700
jacksonville3500,67.17,Jacksonville,3500,JAX,IND,,,6,14.48,0.99,1.93,1.7,0.5,4.07,6,2,0,0,0.83,1,0,0.45,-2.5,0,18.5,25.5,-1,7,44,34,0,0,0,0,0,0,0,0,0,0,0,0,2.07,9.73,0,0,0,0,0,0,0,0,0,81,0.86,0.26,0,0,0,0,0,0,0,0,7.6,0.2,0,0,0,87,0.68,0.12,16,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5031,0.5195,0.0113,0.0481,7.68,7.6,4.13,30,0.2632,jacksonville,jacksonville,j,jacksonville3500,47691-12554:Jacksonville Jaguars,47691-12554,D,j,Jacksonville Jaguars,jaguars,6.4375,16,3500,IND@JAC,JAC,IND,,,,Jaguars,Jaguars,jacksonville,jacksonville3500
la chargers4200,66.43,LA Chargers,4200,LAC,@CIN,,,7.7,15.9,1.48,1.38,1.8,3,6.32,11,9,0,0,0.98,3,0,0.29,-0.5,0,22,19.5,-1.5,-2.5,41.5,55,0,0,0,0,0,0,0,0,0,0,0,0,2.52,6.41,0,0,0,0,0,0,0,0,0,82,0.56,0.01,0,0,0,0,0,0,0,0,5.6,-1.8,0,0,0,94,0.33,0.05,18,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5103,0.4874,0.0132,0.0396,7.33,6.93,3.46,2.56,0.2268,chargers,la chargers,l,la chargers4200,47691-12548:Los Angeles Chargers,47691-12548,D,l,Los Angeles Chargers,chargers,5.1875,16,4200,LAC@CIN,LAC,CIN,,,,Angeles,LA,la chargers,la chargers4200
las vegas3200,92.44,Las Vegas,3200,LV,@CAR,,,6.4,13.76,1.72,3.29,2,0.5,3.11,0,-5,0,0,0.4,1,0,0.79,7.7,0,25.5,22.5,1.2,-3,48,59,0,0,0,0,0,0,0,0,0,0,0,0,1.82,5.86,0,0,0,0,0,0,0,0,0,82,0.61,0.02,0,0,0,0,0,0,0,0,5.3,-1.1,0,0,0,73,0.4,0.26,15,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5212,0.5039,0.0103,0.0558,8.26,90,5.29,3.31,0.2593,vegas,las vegas,l,las vegas3200,47691-12537:Las Vegas Raiders,47691-12537,D,l,Las Vegas Raiders,raiders,4.375,16,3200,LV@CAR,LV,CAR,,,,Vegas,Vegas,las vegas,las vegas3200
miami3500,83.51,Miami,3500,MIA,@NE,,,6.5,14.25,0.53,2.43,1.9,0.5,4.07,2,-1,0,0,0.63,3,0,0.22,2.2,0,17,24.5,-1,7.5,41.5,48,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4.24,0,0,0,0,0,0,0,0,0,75,0.55,0.01,0,0,0,0,0,0,0,0,4.5,-0.8,0,0,0,91,0.33,0.08,12,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5125,0.4977,0.0136,0.0491,7.66,10.47,4.64,2.55,0.2166,miami,miami,m,miami3500,47691-12539:Miami Dolphins,47691-12539,D,m,Miami Dolphins,dolphins,3.375,16,3500,MIA@NE,MIA,NE,,,,Dolphins,Dolphins,miami,miami3500
minnesota4300,32.45,Minnesota,4300,MIN,GB,,,5.9,13.13,1.42,-0.74,1.4,0.5,6.64,-4,-10,0,0,0.16,1,0,0.09,-2.1,0,22.5,21.5,-2.5,-1,44,45,0,0,0,0,0,0,0,0,0,0,0,0,2.7,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0.4,0,0,0,100,0.69,0,23,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5171,0.5375,0.0161,0.0318,6.84,9.53,4.64,2.67,0.1399,minnesota,minnesota,m,minnesota4300,47691-12540:Minnesota Vikings,47691-12540,D,m,Minnesota Vikings,vikings,9.0625,16,4300,GB@MIN,MIN,GB,,,,Vikings,Vikings,minnesota,minnesota4300
new england4600,57.64,New England,4600,NE,MIA,,,8.5,15.06,1.18,0.89,1.8,14.5,7.61,11,-11,0,0,0.13,5,0,0.29,-4.1,0,24.5,17,-0.5,-7.5,41.5,52,0,0,0,0,0,0,0,0,0,0,0,0,4.91,9.41,0,0,0,0,0,0,0,0,0,75,0.55,0.01,0,0,0,0,0,0,0,0,12.6,2.6,0,0,0,89,0.63,0.1,19,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.4192,0.4148,0.0286,0.0297,60,7.08,40,3.33,0.1647,england,new england,n,new england4600,47691-12541:New England Patriots,47691-12541,D,n,New England Patriots,patriots,14.5,16,4600,MIA@NE,NE,MIA,,,,England,England,new england,new england4600
new orleans4100,61.75,New Orleans,4100,NO,TB,,,6.3,13.87,0.98,0.3,1.5,3,6,15,-12,0,0,0.09,1,0,0.11,6,0,26.5,22,-0.3,-4.5,48.5,46,0,0,0,0,0,0,0,0,0,0,0,0,2.09,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0.7,0,0,0,95,0.61,0.04,21,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4625,0.4161,0.0135,0.0424,6.86,9.73,5.29,3.64,0.1781,orleans,new orleans,n,new orleans4100,47691-12542:New Orleans Saints,47691-12542,D,n,New Orleans Saints,saints,9,16,4100,TB@NO,NO,TB,,,,Orleans,Orleans,new orleans,new orleans4100
ny jets3900,57.96,NY Jets,3900,NYJ,@BUF,,,6.1,14.07,0.93,0.74,1.6,0.5,5.36,7,-4,0,0,0.45,2,0,0.09,-1.1,0,16.5,23,-0.5,6.5,39.5,25,0,0,0,0,0,0,0,0,0,0,0,0,1.82,6.2,0,0,0,0,0,0,0,0,0,71,0.89,0.33,0,0,0,0,0,0,0,0,7.1,10,0,0,0,100,0.5,0,18,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4635,0.3648,0.0107,0.0383,6.83,10.21,6.08,3.36,0.1678,jets,ny jets,n,ny jets3900,47691-12544:New York Jets,47691-12544,D,n,New York Jets,jets,8.375,16,3900,NYJ@BUF,NYJ,BUF,,,,York,NY,ny jets,ny jets3900
philadelphia4500,53.3,Philadelphia,4500,PHI,@WAS,,,8,15.77,0.56,0.71,1.8,6.5,7.29,3,1,0,0,0.78,3,0,0.68,-3.3,0,23.5,18,-1.8,-5.5,41.5,61,0,0,0,0,0,0,0,0,0,0,0,0,1.97,7.36,0,0,0,0,0,0,0,0,0,78,0.73,0.04,0,0,0,0,0,0,0,0,6.2,-1.5,0,0,0,85,0.45,0.15,20,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4632,0.4196,0.012,0.0444,7.33,8.47,4.75,3.5,0.2047,philadelphia,philadelphia,p,philadelphia4500,47691-12545:Philadelphia Eagles,47691-12545,D,p,Philadelphia Eagles,eagles,7.0625,16,4500,PHI@WAS,PHI,WAS,,,,Eagles,Eagles,philadelphia,philadelphia4500
san francisco5000,24.12,San Francisco,5000,SF,ARI,,,6.6,15.95,1.47,-2.29,1.3,6.5,8.89,4,4,0,0,0.89,1,0,0.22,-0.6,0,28,21.5,0.7,-6.5,49.5,43,0,0,0,0,0,0,0,0,0,0,0,0,1.72,8.62,0,0,0,0,0,0,0,0,0,72,0.58,0,0,0,0,0,0,0,0,0,10.1,20,0,0,0,85,0.71,0.14,21,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4406,0.4936,0.01,0.0416,6.14,8.14,4.46,3.45,0.2281,francisco,san francisco,s,san francisco5000,47691-12549:San Francisco 49ers,47691-12549,D,s,San Francisco 49ers,49ers,10.1875,16,5000,ARI@SF,SF,ARI,,,,Francisco,Francisco,san francisco,san francisco5000
seattle4000,60.58,Seattle,4000,SEA,@ATL,,,6.8,14.62,0.89,1.12,1.7,0.5,5.68,8,3,0,0,0.86,1,0,0.16,-1.8,0,24.3,25.3,-0.7,1,49.5,58,0,0,0,0,0,0,0,0,0,0,0,0,2.78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0.1,0,0,0,95,0.52,0.04,23,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4957,0.495,0.0166,0.0421,7.38,9.07,4.53,2.58,0.2353,seattle,seattle,s,seattle4000,47691-12550:Seattle Seahawks,47691-12550,D,s,Seattle Seahawks,seahawks,7.75,16,4000,SEA@ATL,SEA,ATL,,,,Seahawks,Seahawks,seattle,seattle4000
tampa bay3800,48.03,Tampa Bay,3800,TB,@NO,,,5.6,13.56,1.13,0.57,1.5,0.5,5.03,0,-6,0,0,0.35,1,0,0.16,-5.9,0,22,26.5,-0.8,4.5,48.5,54,0,0,0,0,0,0,0,0,0,0,0,0,1.88,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,2.5,0,0,0,86,0.66,0.13,15,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.453,0.4019,0.0124,0.0458,7.09,11.36,5.54,30,0.1887,bay,tampa bay,t,tampa bay3800,47691-12551:Tampa Bay Buccaneers,47691-12551,D,t,Tampa Bay Buccaneers,buccaneers,8.5625,16,3800,TB@NO,TB,NO,,,,Bay,Bay,tampa bay,tampa bay3800
washington3400,81.35,Washington,3400,WAS,PHI,,,6.5,13.76,0.49,2.75,1.9,10.5,3.75,15,-18,0,0,0,2,0,0.29,-0.3,0,18,23.5,-1.3,5.5,41.5,39,0,0,0,0,0,0,0,0,0,0,0,0,2.59,8.98,0,0,0,0,0,0,0,0,0,78,0.73,0.04,0,0,0,0,0,0,0,0,6.3,0.8,0,0,0,93,0.56,0.06,16,D,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.509,0.5195,0.0136,0.0467,7.54,10.6,5.67,2.93,0.2201,washington,washington,w,washington3400,47691-12552:Washington Football Team,47691-12552,D,w,Washington Football Team,footballteam,5.875,16,3400,PHI@WAS,WAS,PHI,,,,Football,Football,washington,washington3400
allen7900qbj,70.27,Josh Allen,7900,BUF,NYJ,,,18.44,29.03,9.03,1.48,2.3,10.5,16.96,28.18,1,4.3,1,0.84,2,0,0.64,-5.8,63,23,16.5,0,-6.5,39.5,75,16,28,189,58,6.7,5.82,1.3,35,14.9,63.2,16,4.6,1.8,8.2,6,12,31,4.8,0.5,0.556,5.47,2.33,0.93,71,0.89,0.33,0,0,0,0,0,0,0,0,19.4,2.2,0,0.52,0.31,94,0.66,0.05,18,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen7900qbj,47691-62239:Josh Allen,47691-62239,QB,j,Josh Allen,allen,18.59749985,16,7900,NYJ@BUF,BUF,NYJ,,,,ryland,ryland,josh,allen7900qbj
brady7600qbt,61.49,Tom Brady,7600,TB,@NO,,,17.44,26.13,9.56,1.07,2.3,3,16.37,22.46,-4,1.4,0.83,0.45,1,0,0.73,-4.3,71,22,26.5,-0.8,4.5,48.5,54,23,38,247,60,6.4,6.08,1.4,35,25.6,59.6,8.8,3.7,1.3,4.3,1,2,2,1.3,0.2,0.346,7.2,3.6,1.93,0,0,0,0,0,0,0,0,0,0,0,15.7,-1.8,100,0.37,0.22,78,0.34,0.21,23,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady7600qbt,47691-6498:Tom Brady,47691-6498,QB,t,Tom Brady,brady,16.97999954,16,7600,TB@NO,TB,NO,,,,ryland,ryland,tom,brady7600qbt
brees8100qbd,60.53,Drew Brees,8100,NO,TB,,,18.84,27.14,11.66,1.48,2.3,6.5,17.36,14.4,-4,3.1,0.91,0.45,1,0,0.69,-4.8,58,26.5,22,-0.3,-4.5,48.5,46,24,33,260,74,7.8,8.46,2.5,37,26.9,48.1,18.5,7.6,0.9,3.2,0,0,0,-0.4,0.1,0.222,4,1.93,1.13,0,0,0,0,0,0,0,0,0,0,0,14.2,0.9,0,0.4,0.24,44,0.44,0.55,18,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brees,drew brees,d,brees8100qbd,47691-6504:Drew Brees,47691-6504,QB,d,Drew Brees,brees,20.79636314,11,8100,TB@NO,NO,TB,,,,ryland,ryland,drew,brees8100qbd
bridgewater6800qbt,67.87,Teddy Bridgewater,6800,CAR,LV,,,17.08,24.35,9.49,2.28,2.5,3,14.8,19.4,-7,2.9,1,0.28,1,0,0.75,0.7,45,22.5,25.5,-0.3,3,48,41,19,28,197,67,7.1,6.65,1.3,29,27,46.4,18.9,4.6,1.1,5.7,3,3,3,1.1,0,0.214,2.67,1,0.4,82,0.61,0.02,0,0,0,0,0,0,0,0,5.9,-0.2,0,0.18,0.13,29,0.17,0.7,17,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bridgewater,teddy bridgewater,t,bridgewater6800qbt,47691-33259:Teddy Bridgewater,47691-33259,QB,t,Teddy Bridgewater,bridgewater,10.27333323,9,6800,LV@CAR,CAR,LV,,,,ryland,ryland,teddy,bridgewater6800qbt
burrow6600qbj,64.98,Joe Burrow,6600,CIN,LAC,,,16.52,23.66,9.41,2.11,2.5,3,14.41,17.32,-10,1.9,0.4,0.14,1,0,0.75,-2.6,0,19.5,22,-1,2.5,41.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.56,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow6600qbj,47691-63336:Joe Burrow,47691-63336,QB,j,Joe Burrow,burrow,,,6600,LAC@CIN,CIN,LAC,,,,ryland,ryland,joe,burrow6600qbj
carr7100qbd,70.39,Derek Carr,7100,LV,@CAR,,,17.24,26.09,9.78,1.85,2.4,0.5,15.39,13.56,4,2.9,1,0.94,1,0,0.72,1.2,63,25.5,22.5,1.2,-3,48,59,22,32,253,69,7.8,7.21,1.3,38,23.4,39.6,30.6,4.1,1.6,5.6,1,4,5,3.2,0.1,0.36,5.47,2.53,1.6,82,0.61,0.02,0,0,0,0,0,0,0,0,15.7,-0.4,0,0.43,0.25,93,0.56,0.06,16,QB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7100qbd,47691-45859:Derek Carr,47691-45859,QB,d,Derek Carr,carr,15.77250004,16,7100,LV@CAR,LV,CAR,,,,ryland,ryland,derek,carr7100qbd
