,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3800,11.95,Arizona,3800,ARI,SEA,,,3.9,10.1,-0.5,-1.13,1,1,7,5.03,-4,0.45,0,0,1,0,0.26,-1.9,0,26,29.5,-0.5,3.5,55.5,44,0,0,0,0,0,0,0,0,0,0,0,0,1.56,6.07,0,0,0,0,0,0,0,0,0,0,0,0,6.8,100,0,0,100,0.5,0,40,5.2,0,500,0,0,80,0.6,0.2,15,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5009,0.4404,0.0092,0.0395,7.4,11.6,5.6,3.07,0.1897,arizona,arizona,a,arizona3800,51091-12546:Arizona Cardinals,51091-12546,D,a,Arizona Cardinals,cardinals,7,6,3800,SEA@ARI,ARI,SEA,,,,Cardinals,Cardinals,arizona,arizona3800
atlanta3500,21.84,Atlanta,3500,ATL,DET,,,4.6,13.1,-0.3,0.53,1.3,3,2,4.07,-3,0.51,0,0,2,0,0.62,-1.6,0,27.5,26.5,-2.3,-1,54,53,0,0,0,0,0,0,0,0,0,0,0,0,2.74,5.67,0,0,0,0,0,0,0,0,0,0,0,0,2.4,300,0,0,40,0.4,0.6,50,5.9,0.9,-100,0,0,64,0.47,0.35,17,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5265,0.5245,0.0169,0.0447,7.79,9.4,6.43,3.79,0.2057,atlanta,atlanta,a,atlanta3500,51091-12525:Atlanta Falcons,51091-12525,D,a,Atlanta Falcons,falcons,2.333333333,6,3500,DET@ATL,ATL,DET,,,,Falcons,Falcons,atlanta,atlanta3500
buffalo5000,65.8,Buffalo,5000,BUF,@NYJ,,,8.7,16.4,-0.2,-0.19,1.7,11,14,8.89,1,0.78,0,0,2,0,0.98,2.1,0,28.3,18.8,-1,-9.5,47,65,0,0,0,0,0,0,0,0,0,0,0,0,1.83,7.68,0,0,0,0,0,0,0,0,0,53,0.49,0.02,4.7,600,0,0,100,0,0,30,8.1,-0.2,300,0,0,100,0.52,0,19,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.4918,0.5297,0.0104,0.0382,6.81,10.2,5.33,4.09,0.2157,buffalo,buffalo,b,buffalo5000,51091-12526:Buffalo Bills,51091-12526,D,b,Buffalo Bills,bills,3.333333333,6,5000,BUF@NYJ,BUF,NYJ,,,,Bills,Bills,buffalo,buffalo5000
carolina3200,14.26,Carolina,3200,CAR,@NO,,,2.4,9.2,-0.8,-0.71,0.8,1,3,3.11,-6,0.34,0,0,1,0,0.98,-2.3,0,21.3,28.3,-0.5,7,49.5,51,0,0,0,0,0,0,0,0,0,0,0,0,1.71,5.89,0,0,0,0,0,0,0,0,0,0,0,0,5.3,-300,0,0,100,0.5,0,40,2.9,-2.2,-200,0,0,75,0.18,0.25,16,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.5095,0.543,0.0094,0.0558,7.3,10.75,4.94,3.08,0.25,carolina,carolina,c,carolina3200,51091-12553:Carolina Panthers,51091-12553,D,c,Carolina Panthers,panthers,3.833333333,6,3200,CAR@NO,CAR,NO,,,,Panthers,Panthers,carolina,carolina3200
cincinnati3600,25.9,Cincinnati,3600,CIN,CLE,,,5.2,12.9,-0.3,0.81,1.4,3,-2,4.39,-5,0.4,0,0,1,0,0.85,0.2,0,22.8,27.3,-1.5,4.5,50,38,0,0,0,0,0,0,0,0,0,0,0,0,2.94,6.27,0,0,0,0,0,0,0,0,0,50,0.78,0.04,4.8,300,0,0,100,0.5,0,40,4.3,-0.1,0,0,0,73,0.46,0.26,15,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4667,0.4857,0.0162,0.043,7.69,10,5.5,3.23,0.2071,cincinnati,cincinnati,c,cincinnati3600,51091-12528:Cincinnati Bengals,51091-12528,D,c,Cincinnati Bengals,bengals,3.333333333,6,3600,CLE@CIN,CIN,CLE,,,,Bengals,Bengals,cincinnati,cincinnati3600
cleveland4700,38.62,Cleveland,4700,CLE,@CIN,,,7,14,0.4,-0.93,1.5,7,7,7.93,2,0.83,0,0,1,0,0.05,1.7,0,27.3,22.8,-0.5,-4.5,50,62,0,0,0,0,0,0,0,0,0,0,0,0,2.85,5.87,0,0,0,0,0,0,0,0,0,50,0.78,0.04,8.5,800,0,0,75,0.75,0.25,40,6.2,-0.2,1700,0,0,82,0.47,0.17,17,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5,0.5175,0.0162,0.0505,7.18,11.47,5.6,3.36,0.2267,cleveland,cleveland,c,cleveland4700,51091-12529:Cleveland Browns,51091-12529,D,c,Cleveland Browns,browns,6.333333333,6,4700,CLE@CIN,CLE,CIN,,,,Browns,Browns,cleveland,cleveland4700
dallas3700,59.6,Dallas,3700,DAL,@WAS,,,7.9,13.9,-0.3,3.19,2.1,11,2,4.71,-3,0.51,0,0,1,0,0.91,2.4,0,22.8,21.8,-2,-1,44.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0.97,6.38,0,0,0,0,0,0,0,0,0,45,0.95,0.54,1,200,0,0,25,0.25,0.75,40,4.3,-1.9,-100,0,0,68,0.31,0.31,19,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4836,0.519,0.0052,0.0477,70,10.87,5.4,3.08,0.2086,dallas,dallas,d,dallas3700,51091-12530:Dallas Cowboys,51091-12530,D,d,Dallas Cowboys,cowboys,1.166666667,6,3700,DAL@WAS,DAL,WAS,,,,Cowboys,Cowboys,dallas,dallas3700
denver3900,15.96,Denver,3900,DEN,KC,,,3.7,11.3,-1.1,-1.66,0.9,1,5,5.36,0,0.72,0,0,1,0,0.71,-0.6,0,19.5,26.5,-0.3,7,46,36,0,0,0,0,0,0,0,0,0,0,0,0,1.59,8.15,0,0,0,0,0,0,0,0,0,15,0.8,0.38,7.5,200,0,0,100,0.25,0,40,6.7,-0.3,-600,0,0,100,0.4,0,15,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.4811,0.5107,0.0092,0.0319,7.3,9.5,50,2.8,0.1278,denver,denver,d,denver3900,51091-12531:Denver Broncos,51091-12531,D,d,Denver Broncos,broncos,6.6,5,3900,KC@DEN,DEN,KC,,,,Broncos,Broncos,denver,denver3900
detroit3400,17.25,Detroit,3400,DET,@ATL,,,4,10.7,-0.3,0.25,1.2,1,4,3.75,-1,0.64,0,0,1,0,0.53,-1.9,0,26.5,27.5,-0.3,1,54,47,0,0,0,0,0,0,0,0,0,0,0,0,1.67,4.44,0,0,0,0,0,0,0,0,0,0,0,0,4.3,400,0,0,66,0.66,0.33,30,3.4,-2.8,-300,0,0,75,0.18,0.25,16,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5241,0.4977,0.0093,0.0472,7.75,10.13,4.69,3.22,0.2237,detroit,detroit,d,detroit3400,51091-12532:Detroit Lions,51091-12532,D,d,Detroit Lions,lions,2.2,5,3400,DET@ATL,DET,ATL,,,,Lions,Lions,detroit,detroit3400
green bay4000,26.53,Green Bay,4000,GB,@HOU,,,5.5,13.7,0.3,-0.18,1.4,3,0,5.68,2,0.83,0,0,1,0,0.8,-1.1,0,29,26.5,-0.5,-2.5,55.5,65,0,0,0,0,0,0,0,0,0,0,0,0,2.32,7.37,0,0,0,0,0,0,0,0,0,0,0,0,3,300,0,0,75,0.25,0.25,40,5.2,-2.2,100,0,0,80,0.4,0.2,20,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4884,0.5575,0.0127,0.045,7.26,90,4.36,2.75,0.2222,bay,green bay,g,green bay4000,51091-12533:Green Bay Packers,51091-12533,D,g,Green Bay Packers,packers,4.8,5,4000,GB@HOU,GB,HOU,,,,Bay,Bay,green bay,green bay4000
