RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona3600,49.27,Arizona,3600,ARI,BUF,,,6.9,13.5,0.3,2.51,1.9,6.5,3,4.39,-4,0.45,0,0,2,0,0.71,-2.3,0,29.5,26.5,3,-3,56,51,0,0,0,0,0,0,0,0,0,0,0,0,1.71,6.64,0,0,0,0,0,0,0,0,0,0,0,0,8,-500,0,0,100,0.66,0,30,5.5,0.3,300,0,0,85,0.64,0.14,14,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5104,0.4868,0.01,0.0386,7.32,11.14,5.36,3.31,0.1859,arizona,arizona,a,arizona3600,51566-12546:Arizona Cardinals,51566-12546,D,a,Arizona Cardinals,cardinals,6.375,8,3600,BUF@ARI,ARI,BUF,,,,Cardinals,Cardinals,arizona,arizona3600
buffalo4100,21.13,Buffalo,4100,BUF,@ARI,,,5.5,11.1,-0.1,-0.5,1.3,3,7,6,-8,0.24,0,0,0,0,0.34,-1.7,0,26.5,29.5,1,3,56,49,0,0,0,0,0,0,0,0,0,0,0,0,2.54,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.3,300,0,0,100,0.5,0,40,8.7,0.8,-600,0,0,100,0.63,0,19,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4891,0.5495,0.0148,0.0397,6.99,10.2,5.2,3.42,0.2157,buffalo,buffalo,b,buffalo4100,51566-12526:Buffalo Bills,51566-12526,D,b,Buffalo Bills,bills,5.555555556,9,4100,BUF@ARI,BUF,ARI,,,,Bills,Bills,buffalo,buffalo4100
carolina3000,25.55,Carolina,3000,CAR,TB,,,4.5,9.7,-0.7,2.04,1.5,0.5,1,2.46,-2,0.57,0,0,1,0,0.96,-1.5,0,21.8,27.8,0.8,6,49.5,39,0,0,0,0,0,0,0,0,0,0,0,0,1.28,4.74,0,0,0,0,0,0,0,0,0,69,0.79,0.05,2.8,-700,0,0,100,0,0,40,2.4,-2.1,-400,0,0,75,0.12,0.25,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.5255,0.5404,0.0072,0.051,7.37,11.19,4.44,2.93,0.2291,carolina,carolina,c,carolina3000,51566-12553:Carolina Panthers,51566-12553,D,c,Carolina Panthers,panthers,3.666666667,9,3000,TB@CAR,CAR,TB,,,,Panthers,Panthers,carolina,carolina3000
cincinnati3400,30.35,Cincinnati,3400,CIN,@PIT,,,5.8,12.6,0,2.05,1.7,0.5,-4,3.75,1,0.78,0,0,1,0,0.42,-3.7,0,19.5,26,0.5,6.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,3.1,6.2,0,0,0,0,0,0,0,0,0,50,0.68,0.31,2,100,0,0,66,0,0.33,30,4.5,0.1,-200,0,0,80,0.46,0.2,15,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.4709,0.4953,0.0171,0.0426,7.47,10.36,5.36,2.85,0.2138,cincinnati,cincinnati,c,cincinnati3400,51566-12528:Cincinnati Bengals,51566-12528,D,c,Cincinnati Bengals,bengals,2.75,8,3400,CIN@PIT,CIN,PIT,,,,Bengals,Bengals,cincinnati,cincinnati3400
cleveland4400,34.74,Cleveland,4400,CLE,HOU,,,6.4,13.5,-0.7,-0.56,1.5,3,6,6.96,1,0.78,0,0,2,0,0.26,-1,0,25.3,20.8,-3,-4.5,46,56,0,0,0,0,0,0,0,0,0,0,0,0,2.64,5.68,0,0,0,0,0,0,0,0,0,53,0.7,0.66,3.7,100,0,0,66,0.33,0.33,30,5.1,-1.4,1400,0,0,78,0.42,0.21,14,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5294,0.5583,0.0145,0.0519,7.37,12.93,6.71,40,0.2155,cleveland,cleveland,c,cleveland4400,51566-12529:Cleveland Browns,51566-12529,D,c,Cleveland Browns,browns,6,8,4400,HOU@CLE,CLE,HOU,,,,Browns,Browns,cleveland,cleveland4400
denver4300,17.08,Denver,4300,DEN,@LV,,,5.5,11.9,-0.9,-1.14,1.3,0.5,-4,6.64,-2,0.57,0,0,0,0,0.05,-3.1,0,23.5,27,0.2,3.5,50.5,45,0,0,0,0,0,0,0,0,0,0,0,0,2.04,7.96,0,0,0,0,0,0,0,0,0,0,0,0,6.8,400,0,0,100,0.75,0,40,6.4,-0.1,-200,0,0,100,0.43,0,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4889,0.5,0.0117,0.0381,7.36,9.87,5.14,2.5,0.1486,denver,denver,d,denver4300,51566-12531:Denver Broncos,51566-12531,D,d,Denver Broncos,broncos,5.75,8,4300,DEN@LV,DEN,LV,,,,Broncos,Broncos,denver,denver4300
detroit3900,44.69,Detroit,3900,DET,WAS,,,6.6,13.9,-0.7,1.24,1.7,3,4,5.36,3,0.87,0,0,2,0,0.42,3.2,0,24.3,21.8,-1,-2.5,46,56,0,0,0,0,0,0,0,0,0,0,0,0,1.66,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3.5,500,0,0,75,0.25,0.25,40,2.9,-2.4,200,0,0,75,0.12,0.25,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5379,0.5033,0.0091,0.0485,7.8,10.4,5.08,3.4,0.2244,detroit,detroit,d,detroit3900,51566-12532:Detroit Lions,51566-12532,D,d,Detroit Lions,lions,2.375,8,3900,WAS@DET,DET,WAS,,,,Lions,Lions,detroit,detroit3900
green bay4800,64.83,Green Bay,4800,GB,JAX,,,8.4,17,-0.2,0.15,1.8,14.5,6,8.25,0,0.72,0,0,4,0,0.62,2.1,0,30.3,16.8,-3.5,-13.5,47,59,0,0,0,0,0,0,0,0,0,0,0,0,2.41,6.58,0,0,0,0,0,0,0,0,0,35,0.81,0.46,2.8,600,0,0,40,0,0.4,50,5.1,-2,900,0,0,71,0.33,0.23,21,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.489,0.5274,0.0131,0.0477,7.32,8.93,4.57,2.5,0.224,bay,green bay,g,green bay4800,51566-12533:Green Bay Packers,51566-12533,D,g,Green Bay Packers,packers,4.5,8,4800,JAC@GB,GB,JAC,,,,Bay,Bay,green bay,green bay4800
houston3500,34.7,Houston,3500,HOU,@CLE,,,6,12.7,-0.7,1.93,1.7,3,5,4.07,-6,0.34,0,0,1,0,0.62,-1.1,0,20.8,25.3,-5,4.5,46,44,0,0,0,0,0,0,0,0,0,0,0,0,1.78,5.72,0,0,0,0,0,0,0,0,0,53,0.7,0.66,2,-300,0,0,66,0,0.33,30,4.7,-1.3,500,0,0,81,0.31,0.18,22,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5385,0.5085,0.0093,0.0533,7.86,11.6,5.53,3.29,0.2299,houston,houston,h,houston3500,51566-12556:Houston Texans,51566-12556,D,h,Houston Texans,texans,2.75,8,3500,HOU@CLE,HOU,CLE,,,,Texans,Texans,houston,houston3500
jacksonville3100,17.71,Jacksonville,3100,JAX,@GB,,,3.9,8.6,-0.8,1.12,1.3,0.5,11,2.78,-5,0.4,0,0,1,0,0.62,-2.4,0,16.8,30.3,-3,13.5,47,41,0,0,0,0,0,0,0,0,0,0,0,0,1.89,5.25,0,0,0,0,0,0,0,0,0,35,0.81,0.46,3.3,-500,0,0,100,0.33,0,30,3.5,-1.9,-400,0,0,68,0.37,0.31,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.542,0.514,0.0097,0.0564,8.62,10.13,4.86,3.38,0.2368,jacksonville,jacksonville,j,jacksonville3100,51566-12554:Jacksonville Jaguars,51566-12554,D,j,Jacksonville Jaguars,jaguars,2.75,8,3100,JAC@GB,JAC,GB,,,,Jaguars,Jaguars,jacksonville,jacksonville3100
la chargers4100,35.21,LA Chargers,4100,LAC,@MIA,,,6.5,13.2,-0.2,0.5,1.6,3,1,6,-4,0.45,0,0,1,0,0.42,-4.3,0,23.5,25,0.2,1.5,48.5,41,0,0,0,0,0,0,0,0,0,0,0,0,1.69,4.64,0,0,0,0,0,0,0,0,0,80,0.79,0,3.3,-400,0,0,100,0,0,30,3.6,-2.7,-100,0,0,100,0.06,0,15,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4662,0.5225,0.0097,0.047,6.69,6.93,3.67,1.75,0.2474,chargers,la chargers,l,la chargers4100,51566-12548:Los Angeles Chargers,51566-12548,D,l,Los Angeles Chargers,chargers,4.625,8,4100,LAC@MIA,LAC,MIA,,,,Angeles,LA,la chargers,la chargers4100
la rams4000,40.21,LA Rams,4000,LA,SEA,,,6.7,13.5,-0.1,1.02,1.7,0.5,13,5.68,9,0.98,0,0,2,0,0.1,0.1,0,29,26,0.5,-3,55,49,0,0,0,0,0,0,0,0,0,0,0,0,2.55,9.63,0,0,0,0,0,0,0,0,0,0,0,0,7,-600,0,0,66,0.33,0.33,30,7.6,0.1,300,0,0,77,0.55,0.22,18,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.4892,0.5269,0.0145,0.0389,6.57,8.87,5.25,3.67,0.2256,rams,la rams,l,la rams4000,51566-12538:Los Angeles Rams,51566-12538,D,l,Los Angeles Rams,rams,7.375,8,4000,SEA@LAR,LAR,SEA,,,,Angeles,LA,la rams,la rams4000
