rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
90,Ryan Tannehill,7600,TEN,KC,,,19.24,30.3,8.2,-0.73,2.5,3.6,20.4,19.97,0,0.79,1,0,1,0,0.69,4.6,66,27.5,31.5,1.5,4,59,44,18,30,230,63,7.7,6.86,1.5,42,0,0,14.7,58.6,23.1,5,1.7,7.1,2,12,18,6.9,0.5,0.702,5.41,2.41,1.41,76,0.58,0.02,18.8,600,0.5,0.26,75,0.5,0,40,17.8,-0.1,1600,0.51,0.27,77,0.4,0.09,22,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,tannehill,ryan tannehill,r,tannehill7600qbr
85,Aaron Rodgers,7900,GB,WAS,,,19.96,31.5,8.4,-0.6,2.5,3.3,24.66,20.56,3,0.92,1,0,1,0,0.99,3.3,61,27,21,-2.5,-6,48,71,22,31,256,71,8.1,8.71,2.8,46,0,0,18.6,58.7,17.3,9,1.3,4.6,2,5,7,3,0.3,0.432,5.65,3.06,1.82,50,0.56,0,21.8,200,0.58,0.34,100,1,0,40,23.6,2.7,1900,0.66,0.39,86,0.77,0.04,22,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,rodgers,aaron rodgers,a,rodgers7900qba
81,Patrick Mahomes,8800,KC,@TEN,,,25.16,36.8,13.5,2.83,2.9,17.3,8.74,22.33,0,0.79,1,0,1,0,0.99,1.3,69,31.5,27.5,1,-4,59,56,27,40,328,67,8.1,7.99,2.7,41,0,0,15.9,57.6,29.8,6.8,2.3,3.8,3,12,21,5.8,0.1,0.564,6.75,3.19,1.44,76,0.58,0.02,25.9,100,0.51,0.33,100,1,0,40,22.3,2.8,2800,0.48,0.32,80,0.61,0.14,21,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mahomes,patrick mahomes,p,mahomes8800qbp
77.5,Kyler Murray,8700,ARI,HOU,,,24.16,36.4,11.9,2.03,2.8,13.9,22.44,22.13,1,0.85,1,0,2,0,0.99,0.6,67,34,13.5,1.5,-20.5,47.5,46,24,34,264,70,7.7,7.24,1.9,41,0,0,18.2,64.8,12.2,5.6,1.8,5.3,7,13,35,4.7,0.5,0.538,6.81,3.5,1.75,0,0,0,20.4,-300,0.51,0.3,100,0.5,0,40,22.1,2.2,2700,0.51,0.33,78,0.47,0.15,19,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,murray,kyler murray,k,murray8700qbk
69,Tua Tagovailoa,7100,MIA,ATL,,,18.2,27.8,8.6,-0.79,2.6,4.6,28.54,18.99,-5,0.38,0.95,0,1,0,0.43,2.1,58,23.5,22,-1,-1.5,45.5,43,19,30,195,63,6.4,5.59,1.2,24,0,0,13.4,51.6,25.7,4,2,6.3,3,6,11,3.1,0.3,0.488,3.56,2.25,1.25,84,0.78,0.07,22.4,400,0.45,0.32,25,0.25,0,40,13.9,-1.5,1100,0.39,0.24,57,0.42,0.15,19,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,tagovailoa,tua tagovailoa,t,tagovailoa7100qbt
67,Matthew Stafford,8100,LA,DET,,,21.88,34.8,9,0.92,2.7,11.1,27.16,20.96,0,0.79,1,0,1,0,0.79,-1.2,58,34,17,1,-17,51,53,22,32,275,67,8.4,8.08,1.9,44,0,0,15,62.7,19.5,5.9,1.9,5.6,1,4,4,2.5,0,0.438,5.06,1.76,0.94,0,0,0,22.2,500,0.56,0.35,100,1,0,50,18.6,-0.2,2100,0.51,0.32,76,0.57,0.09,21,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,stafford,matthew stafford,m,stafford8100qbm
59,Tom Brady,8000,TB,CHI,,,21.88,33.9,9.8,1.12,2.7,9.5,24.44,20.76,0,0.79,1,0,1,0,0.99,-2.6,65,29.8,17.3,-1.2,-12.5,47,55,27,40,322,67,7.9,8.1,2.7,37,0,0,16.8,57.2,19.9,6.8,1.8,3.4,1,2,2,1.3,0.2,0.321,7.69,3.81,1.75,82,0.72,0.18,23.1,200,0.46,0.32,80,0.4,0.2,50,21.9,3.2,2000,0.5,0.34,82,0.6,0.13,23,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brady,tom brady,t,brady8000qbt
58.5,Matt Ryan,7300,ATL,@MIA,,,18.76,30.9,6.6,-0.63,2.6,2.4,18.44,19.39,3,0.92,1,0,1,0,0.43,1.3,68,22,23.5,-1.5,1.5,45.5,57,25,39,271,66,6.9,6.27,1.7,33,0,0,20.5,54.6,21.3,4.4,1.8,5.8,1,5,5,3.8,0.1,0.391,7.2,3.27,1.6,84,0.78,0.07,22.1,200,0.51,0.31,100,0.66,0,30,17.9,-0.7,1300,0.42,0.26,72,0.44,0.11,18,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,ryan,matt ryan,m,ryan7300qbm
55,Sam Darnold,7700,CAR,@NYG,,,17.58,28,7.2,-2.59,2.3,0.5,3.44,20.17,3,0.92,1,0,1,0,0.32,-0.1,64,23,20,-0.3,-3,43,77,19,32,213,60,6.6,4.84,0.9,35,0,0,16.9,63.6,12.9,2.8,3.1,8.3,3,8,15,4.3,0.4,0.571,3.94,1.81,1.19,60,0.49,0,19.6,500,0.42,0.28,66,0.33,0.33,30,14.8,-1.6,1700,0.38,0.23,68,0.52,0.21,19,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,darnold,sam darnold,s,darnold7700qbs
49.5,Lamar Jackson,8400,BAL,CIN,,,24.12,36.3,11.9,2.58,2.9,14,23.08,21.54,-1,0.68,1,0,1,0,0.79,-3.5,64,26.3,19.8,-0.7,-6.5,46,46,18,27,220,66,8.1,7.17,1.7,37,0,0,14,54.9,27.7,6.3,3,6.9,11,20,70,6.1,0.5,0.578,6.44,3.25,1.31,62,0.62,0,23.8,0,0.51,0.36,100,0.5,0,40,21.9,20,2400,0.54,0.34,77,0.45,0.09,22,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jackson,lamar jackson,l,jackson8400qbl
