RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
murray8200qbk,81.44,Kyler Murray,8200,ARI,@MIN,,,20.22,30.0,10.5,-0.93,2.5,8.0,26.64,21.15,1.0,0.82,0.0,0.0,2.0,0.0,0.79,4.5,70.0,22.3,26.3,-1.0,4.0,48.5,60.0,25.0,38.0,244.0,65.0,6.3,5.58,1.1,31.0,122.7,288.2,12.1,32.6,13.6,2.9,1.3,5.5,6.0,18.0,41.0,6.4,0.3,0.56,5.56,2.88,1.63,0.0,0.0,0.0,18.3,400,0.4,0.26,100.0,0.2,0.0,50.0,19.2,-1.5,2200.0,0.4,0.27,68.0,0.31,0.04,22.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8200qbk
hurts9200qbj,78.66,Jalen Hurts,9200,PHI,PIT,,,23.32,33.5,13.1,0.21,2.5,17.0,28.4,23.11,0.0,0.75,0.0,0.0,2.0,0.0,0.76,-0.2,67.0,27.3,15.8,3.5,-11.5,43.0,63.0,17.0,26.0,210.0,64.0,7.9,7.04,0.9,35.0,114.5,223.5,11.5,36.4,16.8,3.5,1.9,6.8,10.0,16.0,51.0,4.7,0.8,0.583,6.18,3.18,2.29,60.0,0.61,0.0,19.6,600,0.44,0.26,100.0,0.25,0.0,40.0,24.5,3.4,3200.0,0.62,0.37,78.0,0.56,0.06,32.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hurts,jalen hurts,j,hurts9200qbj
fields6500qbj,69.63,Justin Fields,6500,CHI,@DAL,,,15.42,23.5,7.3,-2.4,2.4,1.5,26.04,17.82,-1.0,0.63,0.0,0.0,2.0,0.0,0.61,-7.8,59.0,16.8,26.3,-1.2,9.5,43.0,49.0,13.0,22.0,175.0,58.0,7.6,5.31,0.8,37.0,106.3,236.3,10.9,31.3,16.7,3.6,3.6,13.4,8.0,18.0,53.0,6.1,0.3,0.557,3.41,1.41,0.71,0.0,0.0,0.0,17.7,-200,0.48,0.28,100.0,0.75,0.0,40.0,15.1,-1.9,500.0,0.43,0.26,63.0,0.45,0.13,22.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fields,justin fields,j,fields6500qbj
ehlinger6000qbs,66.38,Sam Ehlinger,6000,IND,WAS,,,16.26,24.7,7.9,-0.57,2.7,9.6,7.54,16.83,-10.0,0.11,0.0,0.0,1.0,0.0,0.74,0.4,6.0,21.3,18.8,-2.5,-2.5,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.667,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,40.0,6.9,0.0,0.0,6.93,1.15,15.0,0.15,0.15,20.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ehlinger,sam ehlinger,s,ehlinger6000qbs
smith7000qbg,63.50,Geno Smith,7000,SEA,NYG,,,17.8,26.7,8.9,-1.0,2.5,6.2,19.08,18.8,0.0,0.75,0.0,0.0,1.0,0.0,0.68,-4.5,61.0,23.8,20.8,0.5,-3.0,44.5,54.0,22.0,29.0,238.0,74.0,8.0,7.39,1.6,35.0,162.9,286.9,4.6,21.8,6.3,5.5,1.4,7.6,4.0,11.0,17.0,4.4,0.3,0.531,2.44,0.83,0.22,53.0,0.88,0.68,20.6,400,0.58,0.32,100.0,0.75,0.0,40.0,16.2,0.2,1000.0,0.45,0.27,47.0,0.31,0.05,19.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smith,geno smith,g,smith7000qbg
tagovailoa7700qbt,62.73,Tua Tagovailoa,7700,MIA,@DET,,,18.74,30.0,7.4,-1.43,2.4,13.9,29.18,20.17,-1.0,0.63,0.0,0.0,1.0,0.0,0.47,2.3,59.0,27.8,24.3,1.3,-3.5,52.0,50.0,20.0,30.0,222.0,67.0,7.4,6.67,1.3,42.0,123.3,243.4,9.8,51.9,19.5,4.3,2.0,4.8,2.0,4.0,6.0,2.4,0.1,0.359,4.24,1.82,0.88,0.0,0.0,0.0,15.9,700,0.41,0.26,33.0,0.0,0.0,30.0,14.6,-2.0,1700.0,0.42,0.25,69.0,0.26,0.13,23.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tagovailoa,tua tagovailoa,t,tagovailoa7700qbt
prescott7200qbd,61.99,Dak Prescott,7200,DAL,CHI,,,18.38,29.6,7.2,-0.81,2.6,7.6,26.4,19.19,0.0,0.75,0.0,0.0,1.0,0.0,0.79,-7.2,65.0,26.3,16.8,1.3,-9.5,43.0,51.0,23.0,36.0,248.0,65.0,6.9,6.51,1.8,31.0,149.5,316.5,17.1,58.3,17.5,5.0,1.7,5.5,2.0,5.0,7.0,2.8,0.1,0.29,4.56,1.56,0.83,0.0,0.0,0.0,12.3,200,0.41,0.19,25.0,0.0,0.0,40.0,18.2,-1.3,1200.0,0.45,0.28,50.0,0.31,0.09,22.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prescott,dak prescott,d,prescott7200qbd
goff7300qbj,61.64,Jared Goff,7300,DET,MIA,,,17.72,29.2,6.2,-1.67,2.4,2.2,18.14,19.39,7.0,0.98,0.0,0.0,1.0,0.0,0.37,2.0,64.0,24.3,27.8,0.8,3.5,52.0,50.0,21.0,33.0,235.0,65.0,7.1,6.35,1.7,36.0,123.8,264.5,13.0,38.4,13.4,5.2,1.8,6.5,1.0,2.0,2.0,2.5,0.0,0.133,3.69,1.75,1.06,0.0,0.0,0.0,14.9,-300,0.39,0.23,33.0,0.33,0.66,30.0,15.2,-1.7,1300.0,0.41,0.24,55.0,0.45,0.2,20.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,goff,jared goff,j,goff7300qbj
carr7200qbd,61.12,Derek Carr,7200,LV,@NO,,,17.34,27.6,7.1,-1.85,2.4,6.6,2.94,19.19,-1.0,0.63,0.0,0.0,1.0,0.0,0.61,-3.2,65.0,24.8,23.8,3.0,-1.0,48.5,73.0,23.0,35.0,253.0,66.0,7.1,6.18,1.3,35.0,132.4,309.8,16.8,44.8,17.7,3.7,2.3,5.9,2.0,6.0,8.0,4.3,0.0,0.5,6.06,2.71,1.18,0.0,0.0,0.0,14.3,0,0.4,0.22,100.0,0.33,0.0,30.0,14.9,-3.9,1200.0,0.37,0.23,90.0,0.4,0.0,20.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carr,derek carr,d,carr7200qbd
cousins7800qbk,59.75,Kirk Cousins,7800,MIN,ARI,,,18.62,31.0,6.2,-1.75,2.4,6.3,23.48,20.37,5.0,0.96,0.0,0.0,1.0,0.0,0.39,0.9,65.0,26.3,22.3,2.0,-4.0,48.5,40.0,22.0,34.0,247.0,64.0,7.2,6.77,1.8,39.0,142.1,292.4,14.2,42.7,12.9,5.3,1.8,5.3,1.0,4.0,4.0,2.5,0.1,0.467,6.06,2.94,1.35,0.0,0.0,0.0,17.9,500,0.44,0.27,100.0,0.33,0.0,30.0,16.1,-3.2,1800.0,0.42,0.25,84.0,0.3,0.03,26.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7800qbk
