RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
allen9300qbj,77.93,Josh Allen,9300,BUF,@NYJ,,,25.78,36.3,15.3,2.47,2.8,21.9,23.31,26.8,0.0,0.5,0.0,0.0,2.0,0.0,0.77,-5.2,65.0,28.3,17.8,1.0,-10.5,46.0,62.0,23.0,37.0,272.0,63.0,7.3,6.63,2.2,37.0,164.1,326.5,10.2,47.0,8.6,5.9,3.0,4.4,7.0,18.0,47.0,6.5,0.3,0.659,9.0,4.06,2.47,72.0,0.75,0.06,27.4,300,0.67,0.46,100.0,0.66,0.0,30.0,26.3,4.1,3300.0,0.57,0.4,85.0,0.74,0.03,27.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen9300qbj
murray8200qbk,77.19,Kyler Murray,8200,ARI,SEA,,,22.24,32.4,12.1,1.09,2.7,9.1,21.15,19.0,2.0,0.87,0.0,0.0,2.0,0.0,0.77,-4.8,71.0,26.0,23.5,-1.8,-2.5,49.5,30.0,25.0,39.0,250.0,65.0,6.4,5.5,1.2,31.0,123.5,289.6,11.1,30.0,12.5,3.1,1.5,5.6,6.0,17.0,41.0,6.4,0.3,0.578,5.59,2.82,1.53,0.0,0.0,0.0,18.8,100,0.39,0.26,100.0,0.2,0.0,50.0,19.6,-1.2,2200.0,0.41,0.28,69.0,0.34,0.04,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,murray,kyler murray,k,murray8200qbk
herbert7800qbj,74.86,Justin Herbert,7800,LAC,@ATL,,,20.52,30.9,10.2,0.15,2.6,9.5,20.37,13.1,0.0,0.75,0.0,0.0,1.0,0.0,0.79,1.9,71.0,26.3,23.8,-1.2,-2.5,50.0,47.0,27.0,41.0,295.0,66.0,7.2,6.78,2.0,40.0,146.4,306.4,13.6,37.1,14.4,4.9,2.0,3.8,3.0,8.0,15.0,4.4,0.1,0.541,8.47,4.06,2.41,0.0,0.0,0.0,14.2,-400,0.27,0.18,66.0,0.0,0.33,30.0,21.7,0.6,1800.0,0.47,0.31,80.0,0.52,0.04,21.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,herbert,justin herbert,j,herbert7800qbj
rodgers7000qba,70.28,Aaron Rodgers,7000,GB,@DET,,,18.34,30.3,6.3,-0.46,2.6,14.6,18.8,16.64,-2.0,0.53,0.0,0.0,1.0,0.0,0.72,3.1,62.0,26.8,22.8,-0.2,-4.0,49.5,55.0,23.0,34.0,251.0,68.0,7.4,7.45,2.1,39.0,110.9,268.1,11.2,37.5,10.2,6.2,0.9,5.3,1.0,3.0,4.0,3.0,0.1,0.4,5.94,2.41,1.18,0.0,0.0,0.0,15.2,-300,0.39,0.24,100.0,0.25,0.0,40.0,17.8,-1.9,1000.0,0.47,0.29,72.0,0.27,0.09,22.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rodgers,aaron rodgers,a,rodgers7000qba
lawrence6800qbt,69.32,Trevor Lawrence,6800,JAX,LV,,,17.14,26.3,8.0,-1.26,2.5,3.8,18.4,16.7,-2.0,0.53,0.0,0.0,1.0,0.0,0.43,3.3,64.0,22.8,25.3,0.8,2.5,48.0,41.0,20.0,33.0,209.0,60.0,6.2,5.03,0.8,31.0,112.8,275.4,10.8,42.2,10.5,2.4,2.4,5.2,3.0,9.0,16.0,4.2,0.2,0.563,5.0,2.61,1.67,76.0,0.89,0.22,16.2,-800,0.39,0.23,75.0,0.5,0.25,40.0,12.8,-4.6,800.0,0.32,0.2,90.0,0.38,0.09,21.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lawrence,trevor lawrence,t,lawrence6800qbt
fields7400qbj,67.72,Justin Fields,7400,CHI,MIA,,,17.98,27.6,8.3,-1.6,2.4,1.5,19.58,42.72,3.0,0.91,0.0,0.0,2.0,0.0,0.09,1.6,60.0,21.0,25.0,1.5,4.0,46.0,50.0,13.0,22.0,173.0,58.0,7.7,5.31,0.9,38.0,102.9,235.3,10.3,25.8,13.7,4.1,3.6,13.4,8.0,17.0,50.0,5.8,0.3,0.5670000000000001,3.59,1.41,0.76,59.0,0.56,0.0,21.7,800,0.58,0.32,100.0,1.0,0.0,40.0,15.1,-1.9,1400.0,0.43,0.25,63.0,0.45,0.13,22.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fields,justin fields,j,fields7400qbj
brady6900qbt,64.44,Tom Brady,6900,TB,LA,,,18.18,29.3,7.1,-0.42,2.6,7.5,18.6,15.2,-2.0,0.53,0.0,0.0,1.0,0.0,0.76,-5.5,67.0,22.8,19.8,0.5,-3.0,42.5,62.0,28.0,42.0,290.0,66.0,6.9,6.69,1.6,38.0,155.8,318.4,11.2,33.7,15.2,3.8,1.2,3.2,1.0,2.0,2.0,1.4,0.1,0.308,7.59,3.53,1.76,81.0,0.69,0.16,15.9,-900,0.32,0.22,100.0,0.2,0.0,50.0,16.7,-2.8,900.0,0.37,0.25,80.0,0.32,0.12,25.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brady,tom brady,t,brady6900qbt
smith7500qbg,63.01,Geno Smith,7500,SEA,@ARI,,,18.78,29.3,8.3,-1.0,2.5,7.5,19.78,21.8,-2.0,0.53,0.0,0.0,1.0,0.0,0.39,1.1,62.0,23.5,26.0,2.2,2.5,49.5,70.0,22.0,31.0,240.0,72.0,7.7,7.04,1.6,36.0,154.1,294.5,4.0,13.3,5.2,5.2,1.3,7.2,4.0,12.0,19.0,4.5,0.1,0.457,2.5,0.78,0.11,0.0,0.0,0.0,17.5,600,0.47,0.28,100.0,0.75,0.0,40.0,15.8,0.0,1500.0,0.42,0.26,47.0,0.31,0.05,19.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smith,geno smith,g,smith7500qbg
carr6800qbd,62.55,Derek Carr,6800,LV,@JAX,,,17.54,28.0,7.1,-0.86,2.6,4.4,18.4,18.36,0.0,0.75,0.0,0.0,1.0,0.0,0.54,-3.3,63.0,25.3,22.8,0.3,-2.5,48.0,59.0,23.0,35.0,244.0,66.0,7.0,5.89,1.2,33.0,125.4,304.0,16.1,42.9,16.9,3.4,2.3,5.9,1.0,5.0,8.0,4.2,0.0,0.486,5.72,2.56,1.11,76.0,0.89,0.22,11.5,-300,0.37,0.21,66.0,0.33,0.33,30.0,14.3,-4.5,800.0,0.36,0.23,85.0,0.38,0.04,21.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carr,derek carr,d,carr6800qbd
jones6400qbm,61.18,Mac Jones,6400,NE,IND,,,15.56,24.5,6.6,-2.06,2.4,1.0,17.62,9.68,1.0,0.82,0.0,0.0,1.0,0.0,0.61,-3.6,59.0,22.3,17.8,1.8,-4.5,40.0,60.0,17.0,26.0,199.0,66.0,7.4,5.88,1.1,30.0,113.9,241.1,15.1,46.9,17.0,4.2,3.8,6.1,3.0,6.0,11.0,3.0,0.1,0.47100000000000003,4.18,2.0,1.0,71.0,0.77,0.0,7.3,-200,0.26,0.15,25.0,0.25,0.25,40.0,11.2,-4.4,400.0,0.35,0.19,60.0,0.34,0.21,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,mac jones,m,jones6400qbm
stafford6700qbm,59.32,Matthew Stafford,6700,LA,@TB,,,15.44,24.8,6.1,-2.77,2.3,1.4,18.21,10.5,-1.0,0.63,0.0,0.0,1.0,0.0,0.72,-4.9,63.0,19.8,22.8,-1.0,3.0,42.5,38.0,24.0,36.0,260.0,67.0,7.1,5.44,1.6,38.0,133.3,272.3,9.6,51.9,14.3,4.4,3.6,7.5,1.0,1.0,1.0,1.1,0.1,0.409,7.24,3.71,1.71,81.0,0.69,0.16,13.8,-700,0.35,0.22,100.0,0.0,0.0,30.0,17.3,-2.4,700.0,0.42,0.27,82.0,0.39,0.04,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford6700qbm
ehlinger6300qbs,58.15,Sam Ehlinger,6300,IND,@NE,,,15.38,23.4,7.4,-2.04,2.4,1.1,17.42,7.02,-2.0,0.53,0.0,0.0,1.0,0.0,0.61,-2.0,25.0,17.8,22.3,-2.7,4.5,40.0,40.0,17.0,23.0,201.0,73.0,8.7,7.56,0.0,47.0,110.0,226.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,5.0,7.0,2.9,0.0,0.375,0.19,0.13,0.13,71.0,0.77,0.0,7.5,300,0.24,0.13,33.0,0.0,0.0,30.0,8.2,-0.5,300.0,0.3,0.33,21.0,0.15,0.1,19.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ehlinger,sam ehlinger,s,ehlinger6300qbs
burrow8500qbj,57.98,Joe Burrow,8500,CIN,CAR,,,19.52,29.5,9.6,-2.22,2.3,4.5,21.74,19.14,2.0,0.87,0.0,0.0,1.0,0.0,0.35,-3.1,67.0,24.8,17.8,-0.7,-7.0,42.5,43.0,25.0,36.0,295.0,70.0,8.2,6.95,1.9,42.0,150.8,289.3,11.9,38.0,11.4,5.3,1.9,9.5,3.0,8.0,12.0,4.0,0.3,0.5,5.53,2.53,1.47,71.0,0.45,0.0,26.1,700,0.6,0.44,100.0,0.75,0.0,40.0,20.8,0.6,2500.0,0.48,0.31,80.0,0.48,0.04,25.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burrow,joe burrow,j,burrow8500qbj
tagovailoa8000qbt,57.72,Tua Tagovailoa,8000,MIA,@CHI,,,19.12,30.0,8.2,-1.64,2.4,5.2,20.76,24.08,2.0,0.87,0.0,0.0,1.0,0.0,0.61,-5.9,59.0,25.0,21.0,2.5,-4.0,46.0,50.0,20.0,29.0,235.0,69.0,7.9,7.44,1.5,42.0,137.8,253.8,8.2,46.3,18.5,5.2,2.1,4.9,2.0,5.0,7.0,2.5,0.1,0.325,4.18,1.82,0.82,59.0,0.56,0.0,22.6,1000,0.55,0.35,50.0,0.25,0.0,40.0,15.2,-1.4,2000.0,0.45,0.26,69.0,0.3,0.13,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tagovailoa,tua tagovailoa,t,tagovailoa8000qbt
