,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
agnew5100wrj,63.34,Jamal Agnew,5100,JAX,@IND,,,7.14,10.2,4.1,-0.62,1.4,0.2,7.76,23.0,0.99,0.0,0.0,1.0,0.0,0.06,1.2,23.0,19.8,21.3,1.3,1.5,41.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.06,0.0,0.0,0.0,3.7,300,1.22,0.37,50.0,0.33,0.5,60.0,5.4,0.7,-900.0,1.09,0.24,42.0,0.23,0.19,21.0,WR,10/12/22,0.0,0.0,0.0,0.0,4.0,2.0,23.0,11.0,10.2,0.3,0.0,0.75,0.0,0.11699999999999999,0.3,0.10400000000000001,9.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agnew,jamal agnew,j,agnew5100wrj,81659-79979,WR,j,Jamal Agnew,agnew,4.659999847412109,5.0,5100,JAC@IND,JAC,IND,,,,,,WR/FLEX,ryland,ryland,jamal,agnew5100wrj
aiyuk5800wrb,70.23,Brandon Aiyuk,5800,SF,@ATL,,,9.23,12.9,5.5,-0.12,1.6,2.8,9.35,4.0,0.9,1.0,1.1,2.0,0.0,0.91,5.0,56.0,24.8,20.3,0.0,-4.5,45.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.29,0.18,0.0,0.0,0.0,8.7,100,1.45,0.16,100.0,0.42,0.0,70.0,9.4,1.3,-200.0,1.58,0.17,73.0,0.34,0.11,26.0,WR,10/12/22,0.0,0.0,0.0,0.0,5.0,3.0,57.0,25.0,15.0,0.3,0.0,0.556,0.0,0.201,0.217,0.231,31.6,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aiyuk,brandon aiyuk,b,aiyuk5800wrb,81659-85798,WR,b,Brandon Aiyuk,aiyuk,7.780000305175781,5.0,5800,SF@ATL,SF,ATL,,,,,,WR/FLEX,ryland,ryland,brandon,aiyuk5800wrb
alie-cox4800tem,68.87,Mo Alie-Cox,4800,IND,JAX,,,4.29,6.0,2.6,-1.48,0.9,0.4,5.77,1.0,0.9,0.0,0.0,1.0,0.0,0.15,1.4,37.0,21.3,19.8,-4.2,-1.5,41.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.29,0.18,0.0,0.0,0.0,5.0,0,1.54,0.14,66.0,0.16,0.16,60.0,4.5,-0.7,-1200.0,1.68,0.12,52.0,0.08,0.17,23.0,TE,10/12/22,0.0,0.0,0.0,0.0,2.0,1.0,19.0,13.0,12.6,0.2,0.0,0.33299999999999996,0.0,0.087,0.16,0.091,9.3,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alie-cox,mo alie-cox,m,alie-cox4800tem,81659-24533,TE,m,Mo Alie-Cox,alie-cox,6.220000076293945,5.0,4800,JAC@IND,IND,JAC,,,,,,TE/FLEX,ryland,ryland,mo,alie-cox4800tem
allen9200qbj,88.42,Josh Allen,9200,BUF,@KC,,,27.12,37.7,16.6,4.01,2.9,19.2,23.11,0.0,0.76,1.0,8.1,3.0,0.0,0.75,4.3,66.0,28.3,25.8,0.8,-2.5,54.0,58.0,25.0,38.0,275.0,64.0,7.1,6.65,2.2,34.0,162.8,327.1,12.4,54.4,9.5,5.8,2.6,4.3,7.0,18.0,47.0,6.6,0.4,0.623,9.41,4.29,2.41,64.0,0.32,0.0,29.4,200,0.59,0.46,100.0,1.0,0.0,12.0,27.0,6.6,3200.0,0.57,0.41,86.0,0.8,0.03,30.0,QB,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen9200qbj,81659-62239,QB,j,Josh Allen,allen,30.107998657226563,5.0,9200,BUF@KC,BUF,KC,,,,,,QB,ryland,ryland,josh,allen9200qbj
allgeier5800rbt,80.06,Tyler Allgeier,5800,ATL,SF,,,9.0,11.9,6.1,0.32,1.6,0.7,8.68,3.0,0.91,0.0,1.0,5.0,0.0,0.32,2.8,25.0,20.3,24.8,2.0,4.5,45.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,4.7,0.0,0.462,1.4,0.6,0.0,0.0,0.0,0.0,4.9,1000,0.48,0.2,100.0,0.33,0.0,60.0,4.6,0.8,-200.0,0.44,0.18,75.0,0.25,0.12,80.0,RB,10/12/22,0.0,0.29600000000000004,0.431,9.0,0.0,0.0,6.0,6.0,12.5,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allgeier,tyler allgeier,t,allgeier5800rbt,81659-90428,RB,t,Tyler Allgeier,allgeier,5.474999904632568,4.0,5800,SF@ATL,ATL,SF,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier5800rbt
anderson5300wrr,56.69,Robbie Anderson,5300,CAR,@LA,,,6.0,8.8,3.2,-2.21,1.1,1.0,8.21,2.0,0.86,0.0,0.0,1.0,0.0,0.63,3.4,56.0,15.8,25.8,-1.5,10.0,41.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.35,0.18,0.0,0.0,0.0,3.1,-400,0.64,0.06,66.0,0.44,0.33,90.0,6.1,0.0,-700.0,0.94,0.11,56.0,0.32,0.28,25.0,WR,10/12/22,0.0,0.0,0.0,0.0,6.0,3.0,32.0,17.0,10.1,0.3,0.0,0.444,0.0,0.196,0.41700000000000004,0.16899999999999998,22.9,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anderson,robbie anderson,r,anderson5300wrr,81659-26251,WR,r,Robbie Anderson,anderson,6.220000076293945,5.0,5300,CAR@LAR,CAR,LAR,,,,,,WR/FLEX,ryland,ryland,robbie,anderson5300wrr
andrews7800tem,71.19,Mark Andrews,7800,BAL,@NYG,,,13.38,18.0,8.7,0.6,1.7,14.7,12.78,0.0,0.86,1.0,8.7,7.0,0.0,0.79,-2.8,56.0,25.8,19.8,2.3,-6.0,45.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.65,0.18,63.0,0.45,0.0,17.4,7797,1.74,0.3,88.0,0.88,0.11,90.0,15.5,5.3,1800.0,1.61,0.28,69.0,0.5,0.19,26.0,TE,10/12/22,0.0,0.0,0.0,0.0,9.0,6.0,77.0,24.0,11.9,0.6,0.0,0.44,0.0,0.282,0.44,0.34299999999999997,52.5,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrews,mark andrews,m,andrews7800tem,81659-52436,TE,m,Mark Andrews,andrews,15.039999389648438,5.0,7800,BAL@NYG,BAL,NYG,,,,,,TE/FLEX,ryland,ryland,mark,andrews7800tem
arizona3900,56.58,Arizona,3900,ARI,@SEA,,,6.58,13.6,-0.4,0.52,1.7,1.7,6.06,6.0,0.93,0.0,0.0,1.0,0.0,0.81,-3.2,0.0,26.5,24.0,1.7,-2.5,50.5,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.23,0.0,6.8,300,0.0,0.0,100.0,0.5,0.0,60.0,5.9,-0.5,-2100.0,0.0,0.0,82.0,0.39,0.13,23.0,D,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,0.5247999999999999,0.4866,0.0104,0.0451,7.12,11.38,6.47,4.33,0.1923,arizona,arizona,a,arizona3900,81659-12546,D,a,Arizona Cardinals,cardinals,5.2,5.0,3900,ARI@SEA,ARI,SEA,,,,,,DEF,Cardinals,Cardinals,arizona,arizona3900
atlanta3000,88.29,Atlanta,3000,ATL,SF,,,5.46,12.2,-1.2,2.3,1.8,2.0,3.16,-5.0,0.35,0.0,0.0,1.0,0.0,0.95,2.1,0.0,20.3,24.8,2.0,4.5,45.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,-200,0.0,0.0,80.0,0.6,0.2,50.0,5.5,0.4,-3000.0,0.0,0.0,80.0,0.55,0.2,20.0,D,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.6,0.5239,0.5356000000000001,0.0134,0.0435,7.03,12.47,5.69,30.0,0.21230000000000002,atlanta,atlanta,a,atlanta3000,81659-12525,D,a,Atlanta Falcons,falcons,6.4,5.0,3000,SF@ATL,ATL,SF,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3000
atwell4900wrt,37.18,Tutu Atwell,4900,LA,CAR,,,2.31,3.6,1.0,-4.99,0.5,0.1,7.3,2.0,0.86,0.0,0.0,0.0,0.0,0.06,1.4,4.0,25.8,15.8,1.0,-10.0,41.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,200,5.9,1.48,33.0,0.16,0.0,60.0,5.9,0.0,-1100.0,8.81,1.48,8.0,0.04,0.0,25.0,WR,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,54.0,0.0,0.0,0.0,0.0,0.019,0.0,0.033,17.7,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atwell,tutu atwell,t,atwell4900wrt,81659-92976,WR,t,Tutu Atwell,atwell,1.9666666984558103,3.0,4900,CAR@LAR,LAR,CAR,,,,,,WR/FLEX,ryland,ryland,tutu,atwell4900wrt
