,rating,name,salary,team,opp,time, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
abdullah5400rba,59.42,Ameer Abdullah,5400,LV,NE,4,,3.86,5.1,2.7,-3.82,0.7,0,7.68,0,0.5,0,0,3,0,0.23,0.2,17,23.3,21.8,-0.7,-1.5,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3.3,0,0.478,0.94,0.35,0.06,0,0,0,3.8,600,1.09,0.35,50,0.33,0.5,60,4.8,-0.5,-600,0.98,0.28,54,0.18,0.18,22,RB,12/14/2022,0,0.041,0.26,1,3,2,20,10,7.6,0.1,0,0,0.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,abdullah,ameer abdullah,a,abdullah5400rba,84669-27229,RB,a,Ameer Abdullah,abdullah,2.615384615,13,5400,NE@LV,LV,NE,,,,,,RB/FLEX,ryland,ryland,ameer,abdullah5400rba
adams8500wrd,70.27,Davante Adams,8500,LV,NE,4,,15.2,21,9.4,-0.31,1.8,17,15.51,0,0.78,1,3.3,7,0,0.96,-1.3,58,23.3,21.8,-0.7,-1.5,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0.88,0.53,0,0,0,20.2,0,1.92,0.32,50,0.5,0.5,60,18.1,30,2500,1.67,0.31,58,0.41,0.29,24,WR,12/14/2022,0,0,0,0,10,6,93,28,13.9,0.9,0,0.25,0,0.319,0.516,0.379,60.9,38.7,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams8500wrd,84669-45889,WR,d,Davante Adams,adams,18.27692355,13,8500,NE@LV,LV,NE,,,,,,WR/FLEX,ryland,ryland,davante,adams8500wrd
agholor5400wrn,56.06,Nelson Agholor,5400,NE,@LV,4,,6.42,9.3,3.5,-2.02,1.2,8.1,8.44,-15,0.43,1,2.1,1,0,0.04,-3.9,32,21.8,23.3,0.8,1.5,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,5.4,400,0.9,0.13,57,0.28,0.42,70,6.1,-0.4,-600,1.57,0.19,41,0.16,0.29,24,WR,12/14/2022,0,0,0,0,3,2,29,15,11.9,0.1,0,0,0,0.126,0.167,0.13,21.2,17.8,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor5400wrn,84669-29683,WR,n,Nelson Agholor,agholor,5.354545593,11,5400,NE@LV,NE,LV,,,,,,WR/FLEX,ryland,ryland,nelson,agholor5400wrn
agnew5200wrj,37.21,Jamal Agnew,5200,JAX,DAL,1,,2.95,4.3,1.6,-5.03,0.6,0,7.98,0,0.5,0,0,0,0,0.04,-5.6,8,22,26,1,4,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.18,0.12,53,0.3,0,6.8,300,1.85,0.62,66,0.33,0.33,30,4.1,-0.4,-800,1.47,0.52,30,0.1,0.3,20,WR,12/14/2022,0,0,0,0,2,1,14,8,8.6,0.3,0,0.6,0,0.064,0.158,0.056,6.8,5.8,0,0,0,0,0,0,0,0,0,0,agnew,jamal agnew,j,agnew5200wrj,84669-79979,WR,j,Jamal Agnew,agnew,4.409090909,11,5200,DAL@JAC,JAC,DAL,,,,,,WR/FLEX,ryland,ryland,jamal,agnew5200wrj
akins4700tej,78.77,Jordan Akins,4700,HOU,KC,1,,5.58,7.7,3.4,0.04,1.2,2.9,5.54,-1,0.77,1,0.6,2,0,0.07,8.2,20,17.3,31.8,-1,14.5,49,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.11,0.06,0,0,0,4.2,0,1.04,0.13,80,0.4,0.2,50,50,0.2,-1300,1.85,0.25,43,0.21,0.08,23,TE,12/14/2022,0,0,0,0,2,1,25,15,13,0.1,0,0.143,0,0.087,0.118,0.117,10,5.6,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4700tej,84669-57338,TE,j,Jordan Akins,akins,5.00909077,11,4700,KC@HOU,HOU,KC,,,,,,TE/FLEX,ryland,ryland,jordan,akins4700tej
allen8000wrk,63.02,Keenan Allen,8000,LAC,TEN,4,,13.22,17.9,8.6,-1.15,1.7,9.7,14.37,12,0.96,1,7.9,4,0,0.65,-1.2,52,24.8,21.8,-0.5,-3,46.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.44,0.19,0,0,0,13.2,1000,1.23,0.22,100,0.4,0,50,8.9,-0.5,2000,1.11,0.17,28,0.09,0.28,21,WR,12/14/2022,0,0,0,0,8,5,59,23,11.1,0.3,0,0.143,0,0.188,0.167,0.191,39.9,24.4,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen8000wrk,84669-29253,WR,k,Keenan Allen,allen,11.16666667,6,8000,TEN@LAC,LAC,TEN,,,,,,WR/FLEX,ryland,ryland,keenan,allen8000wrk
allgeier5800rbt,70.55,Tyler Allgeier,5800,ATL,@NO,1,,7.32,9.5,5.1,-1.36,1.3,1.5,8.68,-4,0.62,0,0,4,0,0.11,4,28,19.5,24,2,4.5,43.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,4.6,0.1,0.496,1.54,0.54,0.23,0,0,0,6.1,-200,0.61,0.23,100,0.25,0,40,6.3,-0.8,-200,0.53,0.22,76,0.29,0.17,17,RB,12/14/2022,0.1,0.324,0.482,10,0,0,7,6,8.7,0.1,0,0.05,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allgeier,tyler allgeier,t,allgeier5800rbt,84669-90428,RB,t,Tyler Allgeier,allgeier,7.174999873,12,5800,ATL@NO,ATL,NO,,,,,,RB/FLEX,ryland,ryland,tyler,allgeier5800rbt
anderson4900wrr,44.53,Robbie Anderson,4900,ARI,@DEN,4,,2.91,4.4,1.4,-4.39,0.6,0,7.3,0,0.5,0,0,1,0,0.09,-4.7,41,17.5,19,0,1.5,36.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.11,0,39,0.26,0,4.6,0,1.97,0.16,25,0,0.25,40,5.8,-1.6,-1100,1.37,0.14,30,0.08,0.26,23,WR,12/14/2022,0,0,0,0,4,2,24,14,11.6,0.1,0,0.2,0,0.123,0.125,0.117,18.8,19.6,0,0,0,0,0,0,0,0,0,0,anderson,robbie anderson,r,anderson4900wrr,84669-26251,WR,r,Robbie Anderson,anderson,4.040000153,10,4900,ARI@DEN,ARI,DEN,,,,,,WR/FLEX,ryland,ryland,robbie,anderson4900wrr
arizona4400,61.27,Arizona,4400,ARI,@DEN,4,,8.2,16.6,-0.2,0.54,1.9,4.6,7.66,3,0.84,0,0,3,0,0.49,-2.4,0,17.5,19,0,1.5,36.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,5.07,0,0,0,0,0,0,0,0,0,39,0.26,0,0.8,400,0,0,66,0,0.33,60,5.7,0.4,-1600,0,0,81,0.37,0.14,27,D,12/14/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.7,0.5439,0.4953,0.009,0.0551,7.25,9.76,5.4,3.83,0.241,arizona,arizona,a,arizona4400,84669-12546,D,a,Arizona Cardinals,cardinals,6.384615385,13,4400,ARI@DEN,ARI,DEN,,,,,,DEF,Cardinals,Cardinals,arizona,arizona4400
atlanta3300,81.97,Atlanta,3300,ATL,@NO,1,,5.38,12.4,-1.7,1.25,1.6,8.1,4.13,-17,0.01,0,0,1,0,0.66,10.8,0,19.5,24,2,4.5,43.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.39,0,0,0,0,0,0,0,0,0,0,0,0,5.3,-100,0,0,100,0.33,0,30,50,0.4,-2700,0,0,80,0.45,0.2,20,D,12/14/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.9,0.5321,0.5659,0.0128,0.0436,7.37,11.59,60,3.46,0.203,atlanta,atlanta,a,atlanta3300,84669-12525,D,a,Atlanta Falcons,falcons,5.230769231,13,3300,ATL@NO,ATL,NO,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3300
