,rating,name,salary,team,opp,time, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
agnew5100wrj,37.7,Jamal Agnew,5100,JAX,@TEN,1,,2.83,4.1,1.6,-4.93,0.6,0.5,7.76,-2,0.72,0,0,0,0,0.06,-1.2,8,18.8,22.3,0.5,3.5,41,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.18,0.12,53,0.85,0.04,5.5,400,1.49,0.55,66,0.33,0.33,30,40,-0.4,-900,1.47,0.5,25,0.1,0.3,20,WR,12/7/2022,0,0,0,0,2,1,11,7,7.9,0.3,0,0.6,0,0.063,0.188,0.05,4.1,5.3,0,0,0,0,0,0,0,0,0,0,agnew,jamal agnew,j,agnew5100wrj,84373-79979,WR,j,Jamal Agnew,agnew,4.259999847,10,5100,JAC@TEN,JAC,TEN,,,,,,WR/FLEX,ryland,ryland,jamal,agnew5100wrj
aiyuk6700wrb,52.21,Brandon Aiyuk,6700,SF,TB,4,,7.92,11.2,4.6,-3.48,1.2,4.2,11.4,4,0.88,0.33,1.6,1,0,0.71,0.6,59,20.5,17,-0.3,-3.5,37.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.29,0.12,51,0.73,0.62,11.1,300,1.59,0.17,100,0.4,0,50,11.1,0.8,700,1.64,0.19,79,0.33,0.04,24,WR,12/7/2022,0,0,0,0,6,4,61,24,13.5,0.5,0,0.438,0,0.212,0.296,0.237,36.7,31.5,0,0,0,0,0,0,0,0,0,0,aiyuk,brandon aiyuk,b,aiyuk6700wrb,84373-85798,WR,b,Brandon Aiyuk,aiyuk,11.04166667,12,6700,TB@SF,SF,TB,,,,,,WR/FLEX,ryland,ryland,brandon,aiyuk6700wrb
akins4700tej,62.94,Jordan Akins,4700,HOU,@DAL,1,,4.76,6.5,3,-0.78,1,1,5.54,1,0.88,0,0.8,1,0,0.11,-2.3,19,13.3,30.8,-6.7,17.5,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.11,0.06,0,0,0,5.7,300,1.34,0.18,100,0.6,0,50,50,0.4,-1300,1.91,0.26,43,0.21,0.08,23,TE,12/7/2022,0,0,0,0,2,1,25,16,13,0.1,0,0.143,0,0.081,0.118,0.113,10.1,5.3,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4700tej,84373-57338,TE,j,Jordan Akins,akins,5.409999847,10,4700,HOU@DAL,HOU,DAL,,,,,,TE/FLEX,ryland,ryland,jordan,akins4700tej
allen8700qbj,75.7,Josh Allen,8700,BUF,NYJ,1,,23.98,33.7,14.3,1.85,2.8,16,22.13,0,0.74,1,5,1,0,0.94,-7.7,69,26.5,16.5,-0.5,-10,43,36,23,38,270,62,7.1,6.6,2.1,35,166.5,341.6,5.7,28.8,5.1,5.5,2.4,4.8,8,19,54,6.8,0.5,0.676,9.41,4.24,2.65,35,0.98,0.57,20.3,-500,0.45,0.28,85,0.42,0.14,70,26.2,4.4,2700,0.55,0.38,90,0.73,0.03,30,QB,12/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8700qbj,84373-62239,QB,j,Josh Allen,allen,25.44499969,12,8700,NYJ@BUF,BUF,NYJ,,,,,,QB,ryland,ryland,josh,allen8700qbj
andrews6800tem,79.66,Mark Andrews,6800,BAL,@PIT,1,,9.83,13.3,6.3,-0.61,1.4,5.2,10.44,6,0.98,1,5.8,8,0,0.95,-2.6,54,17.5,19.5,-4,2,37,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.53,0.29,41,0.81,0.11,8.8,-900,1.14,0.14,25,0.25,0.5,40,13.8,1.5,800,1.51,0.26,45,0.37,0.29,24,TE,12/7/2022,0,0,0,0,8,6,75,22,12.2,0.6,0,0.391,0,0.285,0.429,0.35,50.8,34.3,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews6800tem,84373-52436,TE,m,Mark Andrews,andrews,11.472727,11,6800,BAL@PIT,BAL,PIT,,,,,,TE/FLEX,ryland,ryland,mark,andrews6800tem
baltimore4100,66.88,Baltimore,4100,BAL,@PIT,1,,7.28,16.1,-1.5,0.58,1.8,4.5,6.7,2,0.8,0,0,3,0,0.66,0.5,0,17.5,19.5,-4,2,37,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,7.26,0,0,0,0,0,0,0,0,0,41,0.81,0.11,9.3,-600,0,0,100,0.33,0,30,7.1,-0.6,-1900,0,0,95,0.36,0.04,22,D,12/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.2,0.5177,0.4661,0.015,0.0408,7.66,11.31,6.33,3.85,0.1934,baltimore,baltimore,b,baltimore4100,84373-12555,D,b,Baltimore Ravens,ravens,8.416666667,12,4100,BAL@PIT,BAL,PIT,,,,,,DEF,Ravens,Ravens,baltimore,baltimore4100
barkley8200rbs,74.22,Saquon Barkley,8200,NYG,PHI,1,,13.19,17,9.3,-1.47,1.6,8.5,14.66,9,0.97,1,2,4,0,0.91,-0.1,49,19,26,-2,7,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,78,4.2,0.5,0.444,2.06,1.18,0.71,40,0.88,0.68,12.3,-1300,0.51,0.23,80,0.2,0.2,50,13.2,0.1,2200,0.58,0.27,66,0.14,0.23,21,RB,12/7/2022,0.5,0.556,0.749,18,4,3,18,10,6.1,0.1,0,0.212,0.606,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,barkley,saquon barkley,s,barkley8200rbs,84373-64401,RB,s,Saquon Barkley,barkley,16.63333384,12,8200,PHI@NYG,NYG,PHI,Q,Neck,,,,RB/FLEX,ryland,ryland,saquon,barkley8200rbs
bell4900wrd,53.48,David Bell,4900,CLE,@CIN,1,,4.51,6.4,2.7,-2.79,0.9,1.1,7.3,1,0.81,0,0,0,0,0.09,-2.2,31,20.5,26,-1.8,5.5,46.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,46,0.74,0,4.2,0,0.98,0.12,80,0.2,0,50,2.6,-2.4,-1100,1.13,0.08,44,0.05,0.33,18,WR,12/7/2022,0,0,0,0,2,1,14,8,8.5,0,0,0,0,0.075,0,0.062,11.5,5.4,0,0,0,0,0,0,0,0,0,0,bell,david bell,d,bell4900wrd,84373-114180,WR,d,David Bell,bell,2.445454511,11,4900,CLE@CIN,CLE,CIN,,,,,,WR/FLEX,ryland,ryland,david,bell4900wrd
bellinger4800ted,69.07,Daniel Bellinger,4800,NYG,PHI,1,,5.57,7.6,3.6,-0.2,1.2,5.3,5.77,-6,0.54,1,4.2,1,0,0.75,1.4,43,19,26,-2,7,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.17,0.08,40,0.88,0.68,4.9,100,0.98,0.08,20,0,0,50,5.5,0.4,-1200,1.82,0.13,43,0.18,0.18,16,TE,12/7/2022,0,0,0,0,2,2,22,11,8.4,0.3,0,0.4,0,0.11,0.286,0.122,8.9,3.7,0,0,0,0,0,0,0,0,0,0,bellinger,daniel bellinger,d,bellinger4800ted,84373-90307,TE,d,Daniel Bellinger,bellinger,6.614285605,7,4800,PHI@NYG,NYG,PHI,,,,,,TE/FLEX,ryland,ryland,daniel,bellinger4800ted
boone5300rbm,61.28,Mike Boone,5300,DEN,KC,4,,5.2,6.8,3.6,-2.23,1,0.2,7.43,6,0.94,0,0,1,0,0.11,-3.7,12,17.3,26.8,-0.7,9.5,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4.8,0,0.381,0.18,0.06,0,44,0.31,0.1,3.1,700,0.44,0.26,20,0,0,50,3.9,-0.5,-700,1.04,0.33,18,0.09,0.22,22,RB,12/7/2022,0,0.107,0.198,2,1,0,7,6,9.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,boone,mike boone,m,boone5300rbm,84373-58041,RB,m,Mike Boone,boone,2.91428566,7,5300,KC@DEN,DEN,KC,,,,,,RB/FLEX,ryland,ryland,mike,boone5300rbm
