entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"2945898714","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"2945898717","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"2945898722","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"2945898727","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","","4) You can not use this form to create new entries"
"2945898730","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","",""
"2945898733","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"2945898736","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-39280:Derrick Henry,82292-39280,RB,Derrick,Derrick Henry,Henry,17.1999994913737,6,10000,TEN@HOU,TEN,HOU,,,,,,RB/FLEX
"2945898740","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-64401:Saquon Barkley,82292-64401,RB,Saquon,Saquon Barkley,Barkley,18.442858014787948,7,9500,NYG@SEA,NYG,SEA,,,,,,RB/FLEX
"2945898745","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-79970:Cooper Kupp,82292-79970,WR,Cooper,Cooper Kupp,Kupp,20.133333841959637,6,9300,SF@LAR,LAR,SF,,,,,,WR/FLEX
"2945898748","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-69531:Jalen Hurts,82292-69531,QB,Jalen,Jalen Hurts,Hurts,24.643333435058594,6,9200,PIT@PHI,PHI,PIT,,,,,,QB
"2945898751","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-72731:Josh Jacobs,82292-72731,RB,Josh,Josh Jacobs,Jacobs,20.566666920979817,6,9000,LV@NO,LV,NO,,,,,,RB/FLEX
"2945898753","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-85671:Justin Jefferson,82292-85671,WR,Justin,Justin Jefferson,Jefferson,18.270000457763672,6,9000,ARI@MIN,MIN,ARI,,,,,,WR/FLEX
"2945898756","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-53681:Tyreek Hill,82292-53681,WR,Tyreek,Tyreek Hill,Hill,17.085714067731583,7,8700,MIA@DET,MIA,DET,,,,,,WR/FLEX
"2945898758","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-55050:Christian McCaffrey,82292-55050,RB,Christian,Christian McCaffrey,McCaffrey,15.528570992606026,7,8500,SF@LAR,SF,LAR,,,,,,RB/FLEX
"2945898759","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-45889:Davante Adams,82292-45889,WR,Davante,Davante Adams,Adams,16.566666920979817,6,8500,LV@NO,LV,NO,,,,,,WR/FLEX
"2945898762","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-103342:Kenneth Walker III,82292-103342,RB,Kenneth,Kenneth Walker III,Walker III,11.966667175292969,6,8400,NYG@SEA,SEA,NYG,,,,,,RB/FLEX
