entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
2976161977,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-22015,83311-54140,83311-73273,83311-57403,83311-69777,83311-90576,83311-55042,83311-25079,83311-12547,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
2976161979,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-30231,83311-73273,83311-86055,83311-25079,83311-91426,83311-94534,83311-60451,83311-54140,83311-12532,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
2976161980,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-69531,83311-73273,83311-90428,83311-25079,83311-69213,83311-90576,83311-55042,83311-70603,83311-12528,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
2976161982,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-91591,83311-42104,83311-73273,83311-25079,83311-69956,83311-86631,83311-86080,83311-104433,83311-12531,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
2976161984,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-62239,83311-73273,83311-89209,83311-25079,83311-69956,83311-94534,83311-91047,83311-54140,83311-12547,,,,,,,,,,,,,,,,,,,
2976161987,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-62239,83311-73273,83311-86055,83311-87770,83311-90576,83311-91426,83311-91101,83311-25079,83311-12547,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
2976161989,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-31716,83311-42104,83311-73273,83311-85671,83311-86631,83311-94534,83311-60451,83311-34331,83311-12547,,83311-64401:Saquon Barkley,83311-64401,RB,Saquon,Saquon Barkley,Barkley,18.36666701,9,9700,DET@NYG,NYG,DET,,,,,,RB/FLEX
2976161991,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-29358,83311-42104,83311-73273,83311-69956,83311-86997,83311-91419,83311-86080,83311-25079,83311-12545,,83311-25079:Stefon Diggs,83311-25079,WR,Stefon,Stefon Diggs,Diggs,19.61111111,9,9400,CLE@BUF,BUF,CLE,,,,,,WR/FLEX
2976161995,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-31716,83311-54140,83311-73273,83311-31394,83311-85671,83311-86997,83311-55042,83311-25267,83311-12528,,83311-62239:Josh Allen,83311-62239,QB,Josh,Josh Allen,Allen,27.21333313,9,9200,CLE@BUF,BUF,CLE,,,,,,QB
2976162000,83311-260375901,$25K Sun NFL Pooch Punt (150 Entries Max),83311-30231,83311-64401,83311-73273,83311-25079,83311-90576,83311-91426,83311-69451,83311-45631,83311-12528,,83311-85671:Justin Jefferson,83311-85671,WR,Justin,Justin Jefferson,Jefferson,19.41333347,9,9100,DAL@MIN,MIN,DAL,,,,,,WR/FLEX
