entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,,,
2992948630,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-54140,84056-72731,84056-45889,84056-70422,84056-83083,84056-57299,84056-28744,84056-12555,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,,
2992948634,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-72731,84056-90562,84056-40669,84056-45889,84056-91426,84056-57299,84056-110259,84056-12527,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,,
2992948635,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-104433,84056-72731,84056-85671,84056-87418,84056-91426,84056-64031,84056-103564,84056-12532,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,,
2992948637,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-40534,84056-54140,84056-89230,84056-41305,84056-56250,84056-85671,84056-60451,84056-29253,84056-12555,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,,
2992948639,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-104433,84056-64401,84056-41305,84056-45889,84056-56250,84056-31207,84056-29253,84056-12556,,,,,,,,,,,,,,,,,,,,,
2992948641,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-39280,84056-55050,84056-45889,84056-53498,84056-73687,84056-41872,84056-34331,84056-12528,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Time,Injury Indicator,Injury Details,Tier,,,Roster Position,Time
2992948643,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-55165,84056-64401,84056-41305,84056-45889,84056-56018,84056-64031,84056-29253,84056-12534,,84056-53562:Nick Chubb,84056-53562,RB,Nick,Nick Chubb,Chubb,18.1454551,11,9600,CLE@HOU,CLE,HOU,1,,,,,,RB/FLEX,
2992948644,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-64401,84056-70889,84056-45889,84056-56809,84056-91426,84056-57299,84056-103342,84056-12544,,84056-72731:Josh Jacobs,84056-72731,RB,Josh,Josh Jacobs,Jacobs,20.21818126,11,9500,LAC@LV,LV,LAC,4,Q,Calf,,,,RB/FLEX,
2992948646,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-90933,84056-91598,84056-25267,84056-45889,84056-87418,84056-64031,84056-55050,84056-12545,,84056-80001:Austin Ekeler,84056-80001,RB,Austin,Austin Ekeler,Ekeler,19.55454601,11,9200,LAC@LV,LAC,LV,4,,,,,,RB/FLEX,
2992948648,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-103342,84056-30733,84056-40647,84056-53681,84056-85798,84056-41872,84056-110246,84056-12534,,84056-57439:Patrick Mahomes,84056-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.25454434,11,9000,KC@CIN,KC,CIN,4,,,,,,QB,
2992948650,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-64401,84056-70889,84056-45889,84056-56809,84056-91426,84056-57299,84056-103342,84056-12544,,84056-53681:Tyreek Hill,84056-53681,WR,Tyreek,Tyreek Hill,Hill,17.6181821,11,9000,MIA@SF,MIA,SF,4,,,,,,WR/FLEX,
