entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,,
2999102699,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-63336,84373-86055,84373-91598,84373-114180,84373-39716,84373-85701,84373-86244,84373-39280,84373-12531,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
2999102702,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-52442,84373-54140,84373-52917,84373-55987,84373-89981,84373-55335,84373-41305,84373-12547,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
2999102704,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-52442,84373-86055,84373-86997,84373-91426,84373-94534,84373-86244,84373-71706,84373-12534,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
2999102707,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-86875,84373-63855,84373-73048,84373-89981,84373-64585,84373-45439,84373-12530,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
2999102709,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-63759,84373-64401,84373-25079,84373-52917,84373-53390,84373-71706,84373-34331,84373-12547,,,,,,,,,,,,,,,,,,,,
2999102712,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-85607,84373-52442,84373-91598,84373-73048,84373-91426,84373-94534,84373-71706,84373-56018,84373-12547,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,time,Injury Indicator,Injury Details,Tier,,,Roster Position
2999102714,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-64401,84373-93539,84373-73048,84373-90576,84373-94534,84373-71706,84373-52917,84373-12529,,84373-85671:Justin Jefferson,84373-85671,WR,Justin,Justin Jefferson,Jefferson,18.28833389,12,9300,MIN@DET,MIN,DET,1,,,,,,WR/FLEX
2999102716,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-64401,84373-89956,84373-103564,84373-90576,84373-94534,84373-64585,84373-103252,84373-12547,,84373-39280:Derrick Henry,84373-39280,RB,Derrick,Derrick Henry,Henry,17.67166646,12,9000,JAC@TEN,TEN,JAC,1,,,,,,RB/FLEX
2999102719,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-31716,84373-39280,84373-63759,84373-55987,84373-86631,84373-91426,84373-91931,84373-33047,84373-12547,,84373-57439:Patrick Mahomes,84373-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.71833293,12,8800,KC@DEN,KC,DEN,4,,,,,,QB
2999102721,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-55050,84373-86055,84373-52917,84373-73048,84373-94534,84373-91931,84373-54140,84373-12529,,84373-85701:Ja'Marr Chase,84373-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.42499924,8,8700,CLE@CIN,CIN,CLE,1,,,,,,WR/FLEX
